parcel_id,project_id,survey_number,village,land_area_acres,land_use_type,ownership_type,owner_count,ownership_verified,ownership_conflict,document_status,acquisition_status,possession_status,compensation_status,legal_dispute_flag
PARCEL-0000032,LG-000004,Sy.No 102/3C,Govindpur (Anakapalli),84.58,Residential,Private,3,1,1,Rejected,Surveyed,Pending,Disputed,1
PARCEL-0000033,LG-000004,Sy.No 103/3C,Govindpur (Anakapalli),84.58,Commercial,Private,2,1,1,Missing,Identified,Pending,Disputed,1
PARCEL-0000034,LG-000004,Sy.No 104/3C,Bhavanipur (Anakapalli),84.58,Residential,Private,5,1,0,Missing,Identified,Pending,Pending,0
PARCEL-0000035,LG-000004,Sy.No 105/4D,Govindpur (Anakapalli),84.58,Residential,Government,4,0,0,Pending,Identified,Pending,Pending,0
PARCEL-0000036,LG-000004,Sy.No 106/4D,Kishanpur (Anakapalli),84.58,Agricultural,Private,2,0,1,Missing,Identified,Pending,Disputed,1
PARCEL-0000037,LG-000004,Sy.No 107/1A,Devpur (Anakapalli),84.58,Barren,Government,3,0,1,Missing,Surveyed,Pending,Disputed,1
PARCEL-0000038,LG-000004,Sy.No 108/2B,Haripur (Anakapalli),84.58,Barren,Community,3,1,1,Pending,Surveyed,Pending,Disputed,1
PARCEL-0000039,LG-000004,Sy.No 109/1A,Fatehpur (Anakapalli),84.58,Commercial,Private,2,0,1,Pending,Identified,Pending,Disputed,1
PARCEL-0000040,LG-000004,Sy.No 110/3C,Nandpur (Anakapalli),84.58,Residential,Private,4,0,1,Rejected,Surveyed,Pending,Disputed,1
PARCEL-0000041,LG-000004,Sy.No 111/2B,Madhavpur (Anakapalli),84.58,Barren,Community,1,1,0,Missing,Identified,Pending,Pending,0
PARCEL-0000042,LG-000005,Sy.No 101/4D,Govindpur (Bapatla),411.87,Agricultural,Private,4,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0000043,LG-000005,Sy.No 102/4D,Govindpur (Bapatla),411.87,Agricultural,Community,5,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0000044,LG-000005,Sy.No 103/2B,Bhavanipur (Bapatla),411.87,Commercial,Private,5,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0000045,LG-000005,Sy.No 104/4D,Sultanpur (Bapatla),411.87,Agricultural,Community,5,1,1,Verified,Transferred,In Progress,Approved,1
PARCEL-0000046,LG-000005,Sy.No 105/1A,Shivpur (Bapatla),411.87,Commercial,Government,1,1,1,Verified,Transferred,In Progress,Approved,1
PARCEL-0000047,LG-000005,Sy.No 106/3C,Haripur (Bapatla),411.87,Agricultural,Community,3,0,0,Verified,Notified,In Progress,Pending,0
PARCEL-0000048,LG-000005,Sy.No 107/2B,Rampur (Bapatla),411.87,Residential,Community,4,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0000049,LG-000006,Sy.No 101/3C,Gopalpur (Chittoor),141.36,Agricultural,Community,5,1,1,Pending,Identified,Pending,Disputed,1
PARCEL-0000050,LG-000006,Sy.No 102/3C,Devpur (Chittoor),141.36,Barren,Community,5,0,1,Rejected,Identified,Pending,Disputed,1
PARCEL-0000051,LG-000006,Sy.No 103/3C,Devpur (Chittoor),141.36,Commercial,Government,1,1,1,Rejected,Surveyed,Pending,Disputed,1
PARCEL-0000052,LG-000006,Sy.No 104/1A,Sultanpur (Chittoor),141.36,Residential,Government,3,1,1,Pending,Surveyed,Pending,Disputed,1
PARCEL-0000053,LG-000006,Sy.No 105/3C,Shivpur (Chittoor),141.36,Commercial,Private,4,0,1,Rejected,Identified,Pending,Disputed,1
PARCEL-0000054,LG-000006,Sy.No 106/1A,Nandpur (Chittoor),141.36,Barren,Community,4,1,1,Pending,Surveyed,Pending,Disputed,1
PARCEL-0000055,LG-000006,Sy.No 107/2B,Gopalpur (Chittoor),141.36,Residential,Private,4,1,0,Rejected,Surveyed,Pending,Pending,0
PARCEL-0000056,LG-000006,Sy.No 108/4D,Chandpur (Chittoor),141.36,Barren,Private,2,1,1,Pending,Surveyed,Pending,Disputed,1
PARCEL-0000057,LG-000006,Sy.No 109/3C,Rampur (Chittoor),141.36,Commercial,Community,1,0,1,Rejected,Surveyed,Pending,Disputed,1
PARCEL-0000058,LG-000006,Sy.No 110/1A,Shivpur (Chittoor),141.36,Commercial,Private,4,0,1,Missing,Surveyed,Pending,Disputed,1
PARCEL-0000059,LG-000006,Sy.No 111/1A,Anandpur (Chittoor),141.36,Barren,Community,4,1,1,Missing,Identified,Pending,Disputed,1
PARCEL-0000060,LG-000006,Sy.No 112/3C,Gopalpur (Chittoor),141.36,Agricultural,Government,3,1,0,Pending,Identified,Pending,Pending,0
PARCEL-0000061,LG-000006,Sy.No 113/3C,Madhavpur (Chittoor),141.36,Agricultural,Private,1,1,0,Pending,Surveyed,Pending,Pending,0
PARCEL-0000062,LG-000006,Sy.No 114/2B,Bhavanipur (Chittoor),141.36,Residential,Government,5,0,1,Missing,Identified,Pending,Disputed,1
PARCEL-0000063,LG-000007,Sy.No 101/2B,Anandpur (East Godavari),523.83,Agricultural,Community,2,1,1,Rejected,Surveyed,Pending,Disputed,1
PARCEL-0000064,LG-000007,Sy.No 102/4D,Govindpur (East Godavari),523.83,Residential,Community,4,1,1,Pending,Surveyed,Pending,Disputed,1
PARCEL-0000065,LG-000007,Sy.No 103/4D,Anandpur (East Godavari),523.83,Barren,Government,1,0,1,Missing,Identified,Pending,Disputed,1
PARCEL-0000066,LG-000007,Sy.No 104/2B,Anandpur (East Godavari),523.83,Agricultural,Private,4,0,1,Rejected,Identified,Pending,Disputed,1
PARCEL-0000067,LG-000007,Sy.No 105/1A,Nandpur (East Godavari),523.83,Commercial,Government,4,1,0,Rejected,Surveyed,Pending,Pending,0
PARCEL-0000068,LG-000007,Sy.No 106/4D,Shivpur (East Godavari),523.83,Commercial,Private,2,0,0,Rejected,Identified,Pending,Pending,0
PARCEL-0000069,LG-000007,Sy.No 107/4D,Madhavpur (East Godavari),523.83,Commercial,Government,5,0,0,Pending,Identified,Pending,Pending,0
PARCEL-0000070,LG-000007,Sy.No 108/4D,Madhavpur (East Godavari),523.83,Residential,Government,2,0,1,Missing,Surveyed,Pending,Disputed,1
PARCEL-0000071,LG-000007,Sy.No 109/1A,Rampur (East Godavari),523.83,Residential,Private,1,1,1,Pending,Identified,Pending,Disputed,1
PARCEL-0000072,LG-000007,Sy.No 110/1A,Chandpur (East Godavari),523.83,Agricultural,Government,4,1,0,Pending,Identified,Pending,Pending,0
PARCEL-0000073,LG-000007,Sy.No 111/2B,Madhavpur (East Godavari),523.83,Commercial,Private,5,0,0,Pending,Identified,Pending,Pending,0
PARCEL-0000074,LG-000007,Sy.No 112/3C,Anandpur (East Godavari),523.83,Commercial,Private,5,1,0,Missing,Identified,Pending,Pending,0
PARCEL-0000075,LG-000007,Sy.No 113/2B,Shivpur (East Godavari),523.83,Barren,Community,4,0,1,Rejected,Identified,Pending,Disputed,1
PARCEL-0000076,LG-000008,Sy.No 101/3C,Sultanpur (Eluru),382.8,Commercial,Government,1,0,0,Pending,Surveyed,Pending,Pending,0
PARCEL-0000077,LG-000008,Sy.No 102/1A,Rampur (Eluru),382.8,Residential,Private,2,1,1,Missing,Identified,Pending,Disputed,1
PARCEL-0000078,LG-000008,Sy.No 103/4D,Chandpur (Eluru),382.8,Agricultural,Government,5,1,1,Pending,Identified,Pending,Disputed,1
PARCEL-0000079,LG-000008,Sy.No 104/1A,Anandpur (Eluru),382.8,Commercial,Government,4,1,1,Missing,Identified,Pending,Disputed,1
PARCEL-0000080,LG-000008,Sy.No 105/1A,Bhavanipur (Eluru),382.8,Barren,Private,2,1,0,Pending,Identified,Pending,Pending,0
PARCEL-0000081,LG-000008,Sy.No 106/3C,Nandpur (Eluru),382.8,Commercial,Government,3,0,1,Pending,Surveyed,Pending,Disputed,1
PARCEL-0000082,LG-000009,Sy.No 101/4D,Madhavpur (Guntur),347.33,Commercial,Community,1,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0000083,LG-000009,Sy.No 102/4D,Madhavpur (Guntur),347.33,Residential,Government,1,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0000084,LG-000009,Sy.No 103/4D,Nandpur (Guntur),347.33,Agricultural,Private,2,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0000085,LG-000009,Sy.No 104/3C,Gopalpur (Guntur),347.33,Residential,Private,2,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0000086,LG-000009,Sy.No 105/1A,Anandpur (Guntur),347.33,Residential,Government,3,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0000087,LG-000009,Sy.No 106/3C,Anandpur (Guntur),347.33,Agricultural,Private,4,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0000088,LG-000009,Sy.No 107/1A,Nandpur (Guntur),347.33,Residential,Private,3,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0000089,LG-000009,Sy.No 108/2B,Haripur (Guntur),347.33,Commercial,Community,4,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0000090,LG-000009,Sy.No 109/4D,Chandpur (Guntur),347.33,Barren,Community,3,0,0,Verified,Acquired,Taken,Pending,0
PARCEL-0000091,LG-000009,Sy.No 110/3C,Chandpur (Guntur),347.33,Agricultural,Community,4,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0000092,LG-000009,Sy.No 111/3C,Gopalpur (Guntur),347.33,Barren,Private,4,0,0,Verified,Acquired,Taken,Pending,0
PARCEL-0000093,LG-000009,Sy.No 112/3C,Kishanpur (Guntur),347.33,Residential,Community,4,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0000094,LG-000010,Sy.No 101/4D,Fatehpur (Kakinada),1349.54,Commercial,Government,1,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0000095,LG-000010,Sy.No 102/3C,Govindpur (Kakinada),1349.54,Residential,Community,1,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0000096,LG-000010,Sy.No 103/4D,Govindpur (Kakinada),1349.54,Commercial,Private,5,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0000097,LG-000010,Sy.No 104/4D,Rampur (Kakinada),1349.54,Residential,Government,3,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0000098,LG-000010,Sy.No 105/4D,Haripur (Kakinada),1349.54,Residential,Private,1,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0000099,LG-000011,Sy.No 101/1A,Rampur (NTR),92.08,Commercial,Private,3,0,0,Pending,Identified,Pending,Pending,0
PARCEL-0000100,LG-000011,Sy.No 102/4D,Anandpur (NTR),92.08,Barren,Community,4,0,1,Pending,Identified,Pending,Disputed,1
PARCEL-0000101,LG-000011,Sy.No 103/3C,Sultanpur (NTR),92.08,Residential,Community,5,1,1,Rejected,Surveyed,Pending,Disputed,1
PARCEL-0000102,LG-000011,Sy.No 104/2B,Shivpur (NTR),92.08,Agricultural,Community,5,0,0,Pending,Identified,Pending,Pending,0
PARCEL-0000103,LG-000011,Sy.No 105/4D,Gopalpur (NTR),92.08,Commercial,Community,2,1,0,Pending,Identified,Pending,Pending,0
PARCEL-0000104,LG-000011,Sy.No 106/1A,Kalyanpur (NTR),92.08,Commercial,Government,2,1,1,Pending,Identified,Pending,Disputed,1
PARCEL-0000105,LG-000011,Sy.No 107/1A,Gopalpur (NTR),92.08,Agricultural,Government,2,1,0,Missing,Surveyed,Pending,Pending,0
PARCEL-0000106,LG-000011,Sy.No 108/2B,Bhavanipur (NTR),92.08,Agricultural,Government,4,0,1,Pending,Identified,Pending,Disputed,1
PARCEL-0000107,LG-000011,Sy.No 109/4D,Sultanpur (NTR),92.08,Barren,Private,4,1,1,Missing,Surveyed,Pending,Disputed,1
PARCEL-0000108,LG-000011,Sy.No 110/2B,Sultanpur (NTR),92.08,Agricultural,Government,3,1,0,Pending,Surveyed,Pending,Pending,0
PARCEL-0000109,LG-000012,Sy.No 101/2B,Devpur (Nandyal),234.04,Agricultural,Government,2,0,0,Rejected,Identified,Pending,Pending,0
PARCEL-0000110,LG-000012,Sy.No 102/2B,Anandpur (Nandyal),234.04,Commercial,Government,4,1,1,Rejected,Surveyed,Pending,Disputed,1
PARCEL-0000111,LG-000012,Sy.No 103/3C,Chandpur (Nandyal),234.04,Agricultural,Private,5,0,1,Rejected,Surveyed,Pending,Disputed,1
PARCEL-0000112,LG-000012,Sy.No 104/3C,Madhavpur (Nandyal),234.04,Barren,Private,3,1,0,Missing,Identified,Pending,Pending,0
PARCEL-0000113,LG-000012,Sy.No 105/3C,Devpur (Nandyal),234.04,Residential,Private,5,0,1,Rejected,Surveyed,Pending,Disputed,1
PARCEL-0000114,LG-000012,Sy.No 106/2B,Kalyanpur (Nandyal),234.04,Commercial,Community,2,0,0,Rejected,Surveyed,Pending,Pending,0
PARCEL-0000115,LG-000012,Sy.No 107/1A,Devpur (Nandyal),234.04,Barren,Community,1,1,1,Missing,Surveyed,Pending,Disputed,1
PARCEL-0000116,LG-000012,Sy.No 108/2B,Kishanpur (Nandyal),234.04,Commercial,Community,3,1,1,Rejected,Surveyed,Pending,Disputed,1
PARCEL-0000117,LG-000012,Sy.No 109/2B,Gopalpur (Nandyal),234.04,Barren,Private,3,1,1,Missing,Identified,Pending,Disputed,1
PARCEL-0000118,LG-000012,Sy.No 110/2B,Devpur (Nandyal),234.04,Residential,Community,3,1,0,Pending,Surveyed,Pending,Pending,0
PARCEL-0000119,LG-000012,Sy.No 111/4D,Haripur (Nandyal),234.04,Barren,Private,4,1,1,Rejected,Surveyed,Pending,Disputed,1
PARCEL-0000120,LG-000012,Sy.No 112/1A,Gopalpur (Nandyal),234.04,Barren,Private,5,1,1,Rejected,Identified,Pending,Disputed,1
PARCEL-0000121,LG-000012,Sy.No 113/1A,Gopalpur (Nandyal),234.04,Residential,Private,2,1,1,Missing,Identified,Pending,Disputed,1
PARCEL-0000122,LG-000012,Sy.No 114/3C,Shivpur (Nandyal),234.04,Commercial,Community,2,1,0,Missing,Identified,Pending,Pending,0
PARCEL-0000123,LG-000012,Sy.No 115/1A,Chandpur (Nandyal),234.04,Agricultural,Government,3,0,0,Missing,Identified,Pending,Pending,0
PARCEL-0000124,LG-000013,Sy.No 101/4D,Gopalpur (Palnadu),748.65,Commercial,Private,3,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0000125,LG-000013,Sy.No 102/3C,Rampur (Palnadu),748.65,Barren,Private,1,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0000126,LG-000013,Sy.No 103/4D,Chandpur (Palnadu),748.65,Barren,Government,1,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0000127,LG-000013,Sy.No 104/4D,Bhavanipur (Palnadu),748.65,Agricultural,Community,5,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0000128,LG-000013,Sy.No 105/1A,Gopalpur (Palnadu),748.65,Commercial,Community,5,0,0,Verified,Notified,In Progress,Pending,0
PARCEL-0000129,LG-000013,Sy.No 106/2B,Devpur (Palnadu),748.65,Agricultural,Private,4,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0000130,LG-000013,Sy.No 107/3C,Madhavpur (Palnadu),748.65,Commercial,Community,4,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0000131,LG-000014,Sy.No 101/2B,Kishanpur (Parvathipuram Manyam),610.73,Agricultural,Community,1,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0000132,LG-000014,Sy.No 102/2B,Devpur (Parvathipuram Manyam),610.73,Barren,Private,2,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0000133,LG-000014,Sy.No 103/4D,Devpur (Parvathipuram Manyam),610.73,Residential,Private,4,1,1,Verified,Notified,In Progress,Approved,1
PARCEL-0000134,LG-000014,Sy.No 104/3C,Rampur (Parvathipuram Manyam),610.73,Agricultural,Community,2,0,1,Verified,Transferred,In Progress,Pending,1
PARCEL-0000135,LG-000014,Sy.No 105/3C,Shivpur (Parvathipuram Manyam),610.73,Commercial,Private,4,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0000136,LG-000014,Sy.No 106/1A,Madhavpur (Parvathipuram Manyam),610.73,Agricultural,Community,1,0,0,Verified,Acquired,Taken,Pending,0
PARCEL-0000137,LG-000014,Sy.No 107/3C,Kalyanpur (Parvathipuram Manyam),610.73,Commercial,Community,1,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0000138,LG-000014,Sy.No 108/3C,Haripur (Parvathipuram Manyam),610.73,Agricultural,Government,2,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0000139,LG-000014,Sy.No 109/2B,Sultanpur (Parvathipuram Manyam),610.73,Commercial,Community,2,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0000140,LG-000014,Sy.No 110/3C,Devpur (Parvathipuram Manyam),610.73,Commercial,Private,5,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0000141,LG-000014,Sy.No 111/2B,Govindpur (Parvathipuram Manyam),610.73,Agricultural,Government,2,0,0,Verified,Transferred,In Progress,Pending,0
PARCEL-0000142,LG-000014,Sy.No 112/3C,Fatehpur (Parvathipuram Manyam),610.73,Residential,Private,2,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0000143,LG-000014,Sy.No 113/2B,Anandpur (Parvathipuram Manyam),610.73,Agricultural,Community,4,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0000144,LG-000014,Sy.No 114/1A,Nandpur (Parvathipuram Manyam),610.73,Barren,Government,3,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0000145,LG-000014,Sy.No 115/2B,Devpur (Parvathipuram Manyam),610.73,Agricultural,Private,3,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0000146,LG-000015,Sy.No 101/4D,Fatehpur (Prakasam),81.92,Commercial,Community,5,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0000147,LG-000015,Sy.No 102/1A,Shivpur (Prakasam),81.92,Agricultural,Government,5,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0000148,LG-000015,Sy.No 103/4D,Nandpur (Prakasam),81.92,Agricultural,Community,1,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0000149,LG-000015,Sy.No 104/4D,Devpur (Prakasam),81.92,Commercial,Private,2,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0000150,LG-000015,Sy.No 105/4D,Devpur (Prakasam),81.92,Barren,Community,3,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0000151,LG-000016,Sy.No 101/2B,Sultanpur (Sri Potti Sriramulu Nellore),333.04,Agricultural,Private,4,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0000152,LG-000016,Sy.No 102/4D,Sultanpur (Sri Potti Sriramulu Nellore),333.04,Commercial,Government,3,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0000153,LG-000016,Sy.No 103/3C,Madhavpur (Sri Potti Sriramulu Nellore),333.04,Residential,Private,2,1,1,Verified,Acquired,Taken,Approved,1
PARCEL-0000154,LG-000016,Sy.No 104/3C,Chandpur (Sri Potti Sriramulu Nellore),333.04,Commercial,Government,3,1,1,Verified,Notified,In Progress,Approved,1
PARCEL-0000155,LG-000016,Sy.No 105/3C,Madhavpur (Sri Potti Sriramulu Nellore),333.04,Agricultural,Government,1,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0000156,LG-000016,Sy.No 106/3C,Gopalpur (Sri Potti Sriramulu Nellore),333.04,Residential,Government,3,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0000157,LG-000016,Sy.No 107/3C,Devpur (Sri Potti Sriramulu Nellore),333.04,Agricultural,Government,5,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0000158,LG-000016,Sy.No 108/3C,Chandpur (Sri Potti Sriramulu Nellore),333.04,Commercial,Government,5,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0000159,LG-000016,Sy.No 109/4D,Gopalpur (Sri Potti Sriramulu Nellore),333.04,Residential,Government,3,1,1,Verified,Transferred,In Progress,Approved,1
PARCEL-0000160,LG-000016,Sy.No 110/3C,Bhavanipur (Sri Potti Sriramulu Nellore),333.04,Barren,Government,5,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0000161,LG-000016,Sy.No 111/4D,Shivpur (Sri Potti Sriramulu Nellore),333.04,Residential,Community,3,1,0,Verified,Acquired,Taken,Approved,0
PARCEL-0000162,LG-000017,Sy.No 101/3C,Bhavanipur (Sri Sathya Sai),324.37,Barren,Community,3,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0000163,LG-000017,Sy.No 102/4D,Fatehpur (Sri Sathya Sai),324.37,Barren,Government,5,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0000164,LG-000017,Sy.No 103/2B,Govindpur (Sri Sathya Sai),324.37,Commercial,Government,1,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0000165,LG-000017,Sy.No 104/4D,Bhavanipur (Sri Sathya Sai),324.37,Residential,Government,1,1,1,Verified,Transferred,In Progress,Approved,1
PARCEL-0000166,LG-000017,Sy.No 105/4D,Fatehpur (Sri Sathya Sai),324.37,Residential,Community,3,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0000167,LG-000017,Sy.No 106/3C,Shivpur (Sri Sathya Sai),324.37,Agricultural,Private,2,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0000168,LG-000017,Sy.No 107/2B,Gopalpur (Sri Sathya Sai),324.37,Agricultural,Private,5,0,0,Verified,Acquired,Taken,Pending,0
PARCEL-0000169,LG-000017,Sy.No 108/4D,Devpur (Sri Sathya Sai),324.37,Commercial,Private,3,1,0,Verified,Notified,In Progress,Approved,0
PARCEL-0000170,LG-000017,Sy.No 109/2B,Anandpur (Sri Sathya Sai),324.37,Barren,Private,4,1,1,Verified,Acquired,Taken,Approved,1
PARCEL-0000171,LG-000017,Sy.No 110/1A,Kishanpur (Sri Sathya Sai),324.37,Commercial,Community,1,1,0,Verified,Transferred,In Progress,Approved,0
PARCEL-0000172,LG-000017,Sy.No 111/3C,Madhavpur (Sri Sathya Sai),324.37,Agricultural,Private,5,0,1,Verified,Transferred,In Progress,Pending,1
PARCEL-0000173,LG-000018,Sy.No 101/3C,Chandpur (Srikakulam),1143.32,Residential,Community,5,1,1,Rejected,Identified,Pending,Disputed,1
PARCEL-0000174,LG-000018,Sy.No 102/3C,Madhavpur (Srikakulam),1143.32,Barren,Community,5,1,0,Pending,Identified,Pending,Pending,0
PARCEL-0000175,LG-000018,Sy.No 103/1A,Nandpur (Srikakulam),1143.32,Agricultural,Government,1,0,1,Rejected,Surveyed,Pending,Disputed,1
