admin_id,project_id,department,officer_workload,active_case_count,pending_case_count,staff_available,average_processing_days,approval_backlog,historical_delay_rate,coordination_score
ADM-0000032,LG-000010,Environmental Cell,Medium,43,16,14,28,3,0.34,6.8
ADM-0000033,LG-000010,Public Works Dept,Medium,25,13,10,36,0,0.28,9.6
ADM-0000034,LG-000010,Irrigation Department,Medium,46,30,8,21,2,0.1,8.5
ADM-0000035,LG-000011,Revenue Department,High,18,14,13,101,34,0.77,2.8
ADM-0000036,LG-000011,Land Records Cell,High,36,24,12,56,16,0.6,4.7
ADM-0000037,LG-000011,Environmental Cell,High,36,28,9,111,37,0.57,2.2
ADM-0000038,LG-000012,Revenue Department,High,15,16,15,88,15,0.45,3.2
ADM-0000039,LG-000012,Land Records Cell,High,39,13,15,94,32,0.78,4.4
ADM-0000040,LG-000012,Environmental Cell,High,20,8,4,52,40,0.78,2.3
ADM-0000041,LG-000012,Public Works Dept,High,47,20,14,117,31,0.6,3.8
ADM-0000042,LG-000013,Revenue Department,Medium,41,30,11,27,5,0.07,8.8
ADM-0000043,LG-000013,Land Records Cell,Medium,43,12,4,26,1,0.29,7.0
ADM-0000044,LG-000013,Environmental Cell,Medium,44,22,8,12,5,0.12,7.2
ADM-0000045,LG-000013,Public Works Dept,Medium,31,15,7,19,3,0.34,8.5
ADM-0000046,LG-000014,Revenue Department,Medium,26,10,10,40,6,0.23,8.4
ADM-0000047,LG-000014,Land Records Cell,Medium,11,28,13,31,4,0.33,7.2
ADM-0000048,LG-000014,Environmental Cell,Medium,48,20,15,25,2,0.12,7.9
ADM-0000049,LG-000015,Revenue Department,Medium,17,7,12,40,10,0.2,6.5
ADM-0000050,LG-000015,Land Records Cell,Medium,44,6,15,25,5,0.24,8.1
ADM-0000051,LG-000016,Revenue Department,Medium,26,20,12,19,3,0.16,6.7
ADM-0000052,LG-000016,Land Records Cell,Medium,23,8,5,30,6,0.15,7.1
ADM-0000053,LG-000017,Revenue Department,Medium,18,20,10,16,7,0.17,8.4
ADM-0000054,LG-000017,Land Records Cell,Medium,45,24,13,26,3,0.12,7.4
ADM-0000055,LG-000017,Environmental Cell,Medium,37,15,12,39,9,0.08,8.7
ADM-0000056,LG-000018,Revenue Department,High,50,16,3,112,32,0.57,4.4
ADM-0000057,LG-000018,Land Records Cell,High,42,24,4,93,27,0.57,4.3
ADM-0000058,LG-000018,Environmental Cell,High,31,23,15,64,15,0.79,2.5
ADM-0000059,LG-000018,Public Works Dept,High,13,18,6,84,33,0.75,3.3
ADM-0000060,LG-000018,Irrigation Department,High,50,10,3,61,40,0.49,3.9
ADM-0000061,LG-000019,Revenue Department,Medium,33,30,2,34,3,0.32,8.0
ADM-0000062,LG-000019,Land Records Cell,Medium,11,30,9,38,8,0.1,7.6
ADM-0000063,LG-000020,Revenue Department,Medium,42,20,11,33,5,0.18,9.7
ADM-0000064,LG-000020,Land Records Cell,Medium,28,14,4,11,9,0.27,8.9
ADM-0000065,LG-000020,Environmental Cell,Medium,46,13,2,30,7,0.22,8.4
ADM-0000066,LG-000020,Public Works Dept,Medium,28,30,13,29,0,0.14,6.8
ADM-0000067,LG-000020,Irrigation Department,Medium,42,7,15,35,4,0.13,8.5
ADM-0000068,LG-000021,Revenue Department,Medium,36,27,14,35,7,0.26,7.2
ADM-0000069,LG-000021,Land Records Cell,Medium,50,13,10,24,6,0.12,7.1
ADM-0000070,LG-000021,Environmental Cell,Medium,12,24,4,32,7,0.23,6.8
ADM-0000071,LG-000021,Public Works Dept,Medium,29,16,8,10,8,0.12,6.9
ADM-0000072,LG-000022,Revenue Department,Medium,35,20,14,14,7,0.33,7.0
ADM-0000073,LG-000022,Land Records Cell,Medium,44,21,7,30,4,0.19,7.5
ADM-0000074,LG-000023,Revenue Department,Medium,21,26,7,10,1,0.09,9.0
ADM-0000075,LG-000023,Land Records Cell,Medium,27,23,7,21,2,0.31,9.1
ADM-0000076,LG-000023,Environmental Cell,Medium,49,12,10,28,1,0.08,8.4
ADM-0000077,LG-000024,Revenue Department,High,35,12,3,64,16,0.41,4.4
ADM-0000078,LG-000024,Land Records Cell,High,29,19,9,116,23,0.59,4.7
ADM-0000079,LG-000024,Environmental Cell,High,22,10,6,62,10,0.52,4.4
ADM-0000080,LG-000025,Revenue Department,Medium,45,26,12,35,7,0.07,7.0
ADM-0000081,LG-000025,Land Records Cell,Medium,24,10,2,25,4,0.1,8.0
ADM-0000082,LG-000025,Environmental Cell,Medium,17,20,2,24,5,0.35,8.4
ADM-0000083,LG-000026,Revenue Department,High,31,30,7,50,34,0.79,2.8
ADM-0000084,LG-000026,Land Records Cell,High,19,27,15,110,29,0.7,4.1
ADM-0000085,LG-000026,Environmental Cell,High,38,30,9,59,13,0.75,3.8
ADM-0000086,LG-000026,Public Works Dept,High,16,22,2,109,13,0.48,2.4
ADM-0000087,LG-000027,Revenue Department,Medium,37,10,8,10,8,0.15,7.3
ADM-0000088,LG-000027,Land Records Cell,Medium,17,8,10,15,4,0.09,7.3
ADM-0000089,LG-000027,Environmental Cell,Medium,15,9,6,40,6,0.25,6.7
ADM-0000090,LG-000027,Public Works Dept,Medium,30,10,2,32,0,0.14,6.8
ADM-0000091,LG-000028,Revenue Department,Medium,49,25,8,12,1,0.25,8.3
ADM-0000092,LG-000028,Land Records Cell,Medium,28,17,8,13,9,0.28,7.3
ADM-0000093,LG-000028,Environmental Cell,Medium,48,30,12,29,0,0.19,8.0
ADM-0000094,LG-000028,Public Works Dept,Medium,37,24,11,13,5,0.25,8.7
ADM-0000095,LG-000029,Revenue Department,Medium,35,29,14,32,8,0.14,8.4
ADM-0000096,LG-000029,Land Records Cell,Medium,46,30,2,39,2,0.1,9.6
ADM-0000097,LG-000029,Environmental Cell,Medium,31,23,12,35,9,0.32,8.4
ADM-0000098,LG-000029,Public Works Dept,Medium,35,17,5,40,6,0.07,7.8
ADM-0000099,LG-000029,Irrigation Department,Medium,40,8,7,28,7,0.24,7.5
ADM-0000100,LG-000030,Revenue Department,Medium,26,17,9,19,7,0.13,8.4
ADM-0000101,LG-000030,Land Records Cell,Medium,40,7,7,14,7,0.11,9.5
ADM-0000102,LG-000030,Environmental Cell,Medium,10,5,15,26,5,0.2,9.6
ADM-0000103,LG-000031,Revenue Department,High,34,23,13,45,19,0.43,3.6
ADM-0000104,LG-000031,Land Records Cell,High,34,18,7,91,35,0.71,4.4
ADM-0000105,LG-000031,Environmental Cell,High,43,26,11,120,17,0.45,2.0
ADM-0000106,LG-000031,Public Works Dept,High,39,15,4,82,36,0.5,4.0
ADM-0000107,LG-000032,Revenue Department,High,46,28,6,51,39,0.73,4.9
ADM-0000108,LG-000032,Land Records Cell,High,25,26,11,98,32,0.61,3.3
ADM-0000109,LG-000032,Environmental Cell,High,32,30,9,109,19,0.52,3.3
ADM-0000110,LG-000032,Public Works Dept,High,24,14,12,56,40,0.54,4.3
ADM-0000111,LG-000032,Irrigation Department,High,15,25,3,54,33,0.51,2.3
ADM-0000112,LG-000033,Revenue Department,High,29,28,9,70,27,0.72,2.1
ADM-0000113,LG-000033,Land Records Cell,High,22,18,10,77,38,0.79,4.6
ADM-0000114,LG-000033,Environmental Cell,High,45,16,7,102,30,0.72,4.7
ADM-0000115,LG-000033,Public Works Dept,High,14,20,8,112,39,0.83,4.4
ADM-0000116,LG-000034,Revenue Department,Medium,42,10,2,22,6,0.25,9.4
ADM-0000117,LG-000034,Land Records Cell,Medium,45,27,15,18,9,0.2,8.8
ADM-0000118,LG-000034,Environmental Cell,Medium,37,10,6,12,8,0.16,9.6
ADM-0000119,LG-000035,Revenue Department,High,39,22,8,59,16,0.79,4.9
ADM-0000120,LG-000035,Land Records Cell,High,32,30,9,97,39,0.77,4.1
ADM-0000121,LG-000035,Environmental Cell,High,35,5,7,73,26,0.53,4.6
ADM-0000122,LG-000036,Revenue Department,High,44,5,13,51,18,0.8,2.1
ADM-0000123,LG-000036,Land Records Cell,High,13,14,3,78,20,0.71,4.4
ADM-0000124,LG-000036,Environmental Cell,High,34,13,13,66,39,0.46,3.4
ADM-0000125,LG-000036,Public Works Dept,High,18,15,15,63,34,0.66,4.6
ADM-0000126,LG-000037,Revenue Department,High,25,30,12,94,23,0.58,4.7
ADM-0000127,LG-000037,Land Records Cell,High,26,14,11,84,15,0.65,4.0
ADM-0000128,LG-000037,Environmental Cell,High,30,30,11,62,31,0.75,2.8
ADM-0000129,LG-000037,Public Works Dept,High,36,22,5,83,19,0.44,3.7
ADM-0000130,LG-000038,Revenue Department,Medium,50,17,15,12,9,0.07,9.1
ADM-0000131,LG-000038,Land Records Cell,Medium,29,8,3,25,3,0.07,8.3
ADM-0000132,LG-000038,Environmental Cell,Medium,11,12,15,40,4,0.33,7.3
ADM-0000133,LG-000038,Public Works Dept,Medium,32,7,15,37,2,0.34,6.7
ADM-0000134,LG-000038,Irrigation Department,Medium,46,12,15,26,9,0.2,7.8
ADM-0000135,LG-000039,Revenue Department,Medium,23,17,15,28,0,0.25,7.0
ADM-0000136,LG-000039,Land Records Cell,Medium,15,7,5,28,8,0.35,8.6
ADM-0000137,LG-000039,Environmental Cell,Medium,36,22,13,13,8,0.29,8.5
ADM-0000138,LG-000039,Public Works Dept,Medium,43,21,9,20,4,0.11,8.4
ADM-0000139,LG-000040,Revenue Department,Medium,41,28,5,20,10,0.3,7.5
ADM-0000140,LG-000040,Land Records Cell,Medium,36,12,11,38,2,0.21,9.1
ADM-0000141,LG-000040,Environmental Cell,Medium,17,24,11,20,2,0.23,6.6
ADM-0000142,LG-000040,Public Works Dept,Medium,11,30,8,12,5,0.32,9.0
ADM-0000143,LG-000041,Revenue Department,High,25,22,8,93,34,0.57,3.4
ADM-0000144,LG-000041,Land Records Cell,High,29,21,7,112,12,0.8,4.5
ADM-0000145,LG-000042,Revenue Department,High,42,16,14,105,32,0.55,3.6
ADM-0000146,LG-000042,Land Records Cell,High,33,8,14,67,23,0.64,3.2
ADM-0000147,LG-000042,Environmental Cell,High,15,9,2,88,40,0.82,3.8
ADM-0000148,LG-000042,Public Works Dept,High,22,21,15,103,23,0.42,2.8
ADM-0000149,LG-000042,Irrigation Department,High,17,20,9,91,11,0.8,4.1
ADM-0000150,LG-000043,Revenue Department,High,39,27,9,76,34,0.52,2.9
ADM-0000151,LG-000043,Land Records Cell,High,38,15,14,102,32,0.52,2.8
ADM-0000152,LG-000044,Revenue Department,Medium,25,10,7,33,7,0.33,8.5
ADM-0000153,LG-000044,Land Records Cell,Medium,12,29,12,22,7,0.12,9.8
ADM-0000154,LG-000045,Revenue Department,Medium,10,16,5,12,6,0.35,6.9
ADM-0000155,LG-000045,Land Records Cell,Medium,40,19,8,37,8,0.18,9.3
ADM-0000156,LG-000046,Revenue Department,Medium,24,21,3,12,9,0.34,9.4
ADM-0000157,LG-000046,Land Records Cell,Medium,25,26,9,36,6,0.18,8.6
ADM-0000158,LG-000046,Environmental Cell,Medium,27,28,13,18,4,0.24,7.6
ADM-0000159,LG-000046,Public Works Dept,Medium,26,16,3,10,1,0.26,8.1
ADM-0000160,LG-000047,Revenue Department,High,29,14,3,89,31,0.48,3.6
ADM-0000161,LG-000047,Land Records Cell,High,16,20,5,64,29,0.81,4.8
ADM-0000162,LG-000048,Revenue Department,High,22,23,5,91,38,0.61,4.6
ADM-0000163,LG-000048,Land Records Cell,High,36,16,12,84,16,0.58,3.4
ADM-0000164,LG-000048,Environmental Cell,High,44,25,9,83,38,0.77,4.3
ADM-0000165,LG-000049,Revenue Department,High,44,23,5,60,32,0.74,2.6
ADM-0000166,LG-000049,Land Records Cell,High,30,29,5,65,22,0.69,3.8
ADM-0000167,LG-000049,Environmental Cell,High,48,18,10,81,16,0.59,4.5
ADM-0000168,LG-000050,Revenue Department,High,14,9,4,58,26,0.47,4.1
ADM-0000169,LG-000050,Land Records Cell,High,15,29,7,90,20,0.44,3.0
ADM-0000170,LG-000051,Revenue Department,High,31,12,11,105,11,0.55,3.7
ADM-0000171,LG-000051,Land Records Cell,High,38,11,11,97,13,0.4,2.4
ADM-0000172,LG-000051,Environmental Cell,High,11,21,9,53,26,0.48,2.8
ADM-0000173,LG-000051,Public Works Dept,High,46,17,14,113,30,0.73,2.8
ADM-0000174,LG-000051,Irrigation Department,High,17,27,10,107,15,0.81,2.9
ADM-0000175,LG-000052,Revenue Department,Medium,12,7,6,13,8,0.21,6.9
ADM-0000176,LG-000052,Land Records Cell,Medium,16,28,12,23,3,0.06,8.7
ADM-0000177,LG-000053,Revenue Department,Medium,43,19,12,40,8,0.16,8.5
ADM-0000178,LG-000053,Land Records Cell,Medium,35,29,6,26,6,0.1,9.3
ADM-0000179,LG-000053,Environmental Cell,Medium,18,30,2,16,1,0.23,7.7
ADM-0000180,LG-000053,Public Works Dept,Medium,29,8,11,38,6,0.16,7.5
ADM-0000181,LG-000053,Irrigation Department,Medium,11,15,9,16,0,0.11,9.1
ADM-0000182,LG-000054,Revenue Department,High,20,25,14,110,13,0.62,2.7
ADM-0000183,LG-000054,Land Records Cell,High,28,6,8,88,31,0.47,3.4
ADM-0000184,LG-000054,Environmental Cell,High,38,16,10,84,19,0.69,4.4
ADM-0000185,LG-000054,Public Works Dept,High,36,30,5,84,31,0.55,2.7
ADM-0000186,LG-000055,Revenue Department,Medium,45,29,9,22,5,0.24,7.2
ADM-0000187,LG-000055,Land Records Cell,Medium,12,6,9,16,0,0.22,6.6
ADM-0000188,LG-000055,Environmental Cell,Medium,33,25,7,23,0,0.34,9.3
ADM-0000189,LG-000055,Public Works Dept,Medium,15,9,15,13,9,0.21,9.0
ADM-0000190,LG-000055,Irrigation Department,Medium,47,9,9,25,8,0.35,8.9
ADM-0000191,LG-000056,Revenue Department,High,32,20,14,75,27,0.55,2.7
ADM-0000192,LG-000056,Land Records Cell,High,45,5,13,54,13,0.65,2.4
ADM-0000193,LG-000056,Environmental Cell,High,36,6,5,104,23,0.64,4.2
ADM-0000194,LG-000056,Public Works Dept,High,16,26,10,101,32,0.46,4.2
ADM-0000195,LG-000057,Revenue Department,Medium,43,18,5,13,4,0.34,7.3
ADM-0000196,LG-000057,Land Records Cell,Medium,39,6,15,22,4,0.33,8.6
ADM-0000197,LG-000057,Environmental Cell,Medium,20,16,14,21,4,0.31,6.6
ADM-0000198,LG-000057,Public Works Dept,Medium,35,30,5,33,10,0.16,8.3
ADM-0000199,LG-000058,Revenue Department,High,28,14,11,68,39,0.41,5.0
ADM-0000200,LG-000058,Land Records Cell,High,26,23,14,66,22,0.74,4.1
ADM-0000201,LG-000059,Revenue Department,High,30,26,4,56,22,0.71,4.0
ADM-0000202,LG-000059,Land Records Cell,High,10,29,7,114,24,0.82,4.1
ADM-0000203,LG-000059,Environmental Cell,High,35,23,4,54,26,0.69,4.8
ADM-0000204,LG-000059,Public Works Dept,High,14,23,4,86,28,0.58,3.4
ADM-0000205,LG-000060,Revenue Department,High,28,21,10,94,22,0.66,5.0
ADM-0000206,LG-000060,Land Records Cell,High,41,9,9,73,23,0.6,3.9
ADM-0000207,LG-000060,Environmental Cell,High,38,28,6,97,14,0.74,2.4
ADM-0000208,LG-000060,Public Works Dept,High,42,28,13,66,39,0.57,2.6
ADM-0000209,LG-000061,Revenue Department,Medium,17,17,8,13,2,0.32,6.6
ADM-0000210,LG-000061,Land Records Cell,Medium,49,28,2,24,2,0.27,8.7
ADM-0000211,LG-000062,Revenue Department,High,47,12,10,115,12,0.77,3.7
ADM-0000212,LG-000062,Land Records Cell,High,50,27,6,118,10,0.54,4.0
ADM-0000213,LG-000062,Environmental Cell,High,14,15,14,67,11,0.51,3.8
ADM-0000214,LG-000062,Public Works Dept,High,12,30,11,83,30,0.77,4.5
ADM-0000215,LG-000063,Revenue Department,Medium,23,27,8,13,3,0.11,8.9
ADM-0000216,LG-000063,Land Records Cell,Medium,10,15,4,17,0,0.33,7.6
ADM-0000217,LG-000063,Environmental Cell,Medium,42,8,8,20,0,0.32,7.7
ADM-0000218,LG-000064,Revenue Department,Medium,14,20,7,32,0,0.25,6.7
ADM-0000219,LG-000064,Land Records Cell,Medium,14,24,14,22,3,0.3,7.3
ADM-0000220,LG-000064,Environmental Cell,Medium,50,11,2,22,9,0.35,9.7
ADM-0000221,LG-000065,Revenue Department,High,31,21,11,54,24,0.42,4.1
ADM-0000222,LG-000065,Land Records Cell,High,26,28,13,91,18,0.81,2.3
ADM-0000223,LG-000065,Environmental Cell,High,45,16,12,82,21,0.62,4.5
ADM-0000224,LG-000065,Public Works Dept,High,30,18,14,109,14,0.4,3.7
ADM-0000225,LG-000065,Irrigation Department,High,18,16,9,45,32,0.66,4.8
ADM-0000226,LG-000066,Revenue Department,High,17,15,5,68,39,0.8,4.9
ADM-0000227,LG-000066,Land Records Cell,High,47,13,9,88,11,0.6,2.1
ADM-0000228,LG-000066,Environmental Cell,High,41,8,14,101,32,0.49,2.4
ADM-0000229,LG-000066,Public Works Dept,High,48,22,2,90,32,0.73,4.0
ADM-0000230,LG-000067,Revenue Department,High,20,5,2,67,27,0.5,2.9
ADM-0000231,LG-000067,Land Records Cell,High,18,25,15,74,14,0.7,2.5
ADM-0000232,LG-000067,Environmental Cell,High,26,7,6,80,25,0.84,4.0
ADM-0000233,LG-000067,Public Works Dept,High,18,28,15,112,33,0.45,3.3
ADM-0000234,LG-000067,Irrigation Department,High,33,23,11,70,32,0.4,2.4
ADM-0000235,LG-000068,Revenue Department,Medium,46,18,5,31,7,0.12,9.7
ADM-0000236,LG-000068,Land Records Cell,Medium,11,5,10,30,10,0.27,8.1
ADM-0000237,LG-000068,Environmental Cell,Medium,43,16,4,14,1,0.07,8.9
ADM-0000238,LG-000068,Public Works Dept,Medium,38,7,10,18,5,0.1,7.7
ADM-0000239,LG-000068,Irrigation Department,Medium,27,28,4,23,8,0.29,7.4
ADM-0000240,LG-000069,Revenue Department,High,47,11,11,86,24,0.65,3.1
ADM-0000241,LG-000069,Land Records Cell,High,21,6,9,45,35,0.46,2.8
ADM-0000242,LG-000069,Environmental Cell,High,37,10,12,46,12,0.68,4.0
ADM-0000243,LG-000069,Public Works Dept,High,16,9,13,56,14,0.54,4.8
ADM-0000244,LG-000069,Irrigation Department,High,46,12,14,100,38,0.83,3.2
ADM-0000245,LG-000070,Revenue Department,Medium,33,15,9,35,9,0.09,9.1
ADM-0000246,LG-000070,Land Records Cell,Medium,12,12,2,11,4,0.13,7.9
ADM-0000247,LG-000070,Environmental Cell,Medium,29,17,3,14,9,0.12,6.7
ADM-0000248,LG-000070,Public Works Dept,Medium,11,9,13,37,5,0.08,9.1
ADM-0000249,LG-000070,Irrigation Department,Medium,23,28,15,24,5,0.31,9.4
ADM-0000250,LG-000071,Revenue Department,Medium,41,20,7,35,2,0.1,7.7
ADM-0000251,LG-000071,Land Records Cell,Medium,19,5,8,12,6,0.15,6.8
ADM-0000252,LG-000071,Environmental Cell,Medium,48,9,2,30,5,0.22,9.6
ADM-0000253,LG-000071,Public Works Dept,Medium,19,23,6,13,1,0.15,9.4
ADM-0000254,LG-000071,Irrigation Department,Medium,36,11,2,14,9,0.15,9.0
ADM-0000255,LG-000072,Revenue Department,Medium,29,26,12,25,4,0.22,8.8
ADM-0000256,LG-000072,Land Records Cell,Medium,46,14,8,18,1,0.34,7.1
ADM-0000257,LG-000072,Environmental Cell,Medium,48,30,10,37,4,0.08,8.0
ADM-0000258,LG-000072,Public Works Dept,Medium,28,19,10,40,10,0.15,7.8
ADM-0000259,LG-000072,Irrigation Department,Medium,47,22,14,27,1,0.35,7.5
ADM-0000260,LG-000073,Revenue Department,Medium,45,15,13,31,5,0.22,7.1
ADM-0000261,LG-000073,Land Records Cell,Medium,47,26,6,15,10,0.3,7.0
ADM-0000262,LG-000073,Environmental Cell,Medium,30,8,8,13,8,0.15,7.7
ADM-0000263,LG-000073,Public Works Dept,Medium,15,19,3,11,5,0.32,8.2
ADM-0000264,LG-000074,Revenue Department,Medium,44,15,15,34,6,0.08,8.6
ADM-0000265,LG-000074,Land Records Cell,Medium,28,19,12,17,1,0.25,9.3
ADM-0000266,LG-000074,Environmental Cell,Medium,34,12,11,25,9,0.11,7.6
ADM-0000267,LG-000074,Public Works Dept,Medium,17,8,8,19,3,0.17,8.7
ADM-0000268,LG-000075,Revenue Department,Medium,48,14,13,27,0,0.34,8.7
ADM-0000269,LG-000075,Land Records Cell,Medium,27,16,15,32,5,0.23,7.7
ADM-0000270,LG-000075,Environmental Cell,Medium,34,6,4,13,1,0.22,6.9
ADM-0000271,LG-000075,Public Works Dept,Medium,44,23,15,12,2,0.29,8.3
ADM-0000272,LG-000075,Irrigation Department,Medium,35,29,13,19,9,0.29,9.4
ADM-0000273,LG-000076,Revenue Department,High,14,25,4,86,21,0.65,2.9
ADM-0000274,LG-000076,Land Records Cell,High,35,8,2,52,24,0.67,2.7
ADM-0000275,LG-000076,Environmental Cell,High,26,18,8,48,11,0.44,3.7
ADM-0000276,LG-000076,Public Works Dept,High,43,9,9,56,10,0.44,4.6
ADM-0000277,LG-000076,Irrigation Department,High,21,11,4,117,33,0.85,3.9
ADM-0000278,LG-000077,Revenue Department,Medium,48,29,2,32,3,0.19,9.6
ADM-0000279,LG-000077,Land Records Cell,Medium,16,18,2,27,8,0.08,8.5
ADM-0000280,LG-000077,Environmental Cell,Medium,19,9,5,31,9,0.31,8.4
ADM-0000281,LG-000077,Public Works Dept,Medium,34,13,9,25,1,0.21,8.1
ADM-0000282,LG-000077,Irrigation Department,Medium,24,6,9,38,6,0.22,6.8
ADM-0000283,LG-000078,Revenue Department,High,10,15,5,86,23,0.6,4.2
ADM-0000284,LG-000078,Land Records Cell,High,42,24,9,108,32,0.55,2.8
ADM-0000285,LG-000078,Environmental Cell,High,37,7,11,48,17,0.77,3.6
ADM-0000286,LG-000078,Public Works Dept,High,19,10,9,71,37,0.58,4.5
ADM-0000287,LG-000079,Revenue Department,Medium,20,7,2,22,2,0.23,9.4
ADM-0000288,LG-000079,Land Records Cell,Medium,15,23,5,38,7,0.15,9.8
ADM-0000289,LG-000079,Environmental Cell,Medium,16,23,4,15,6,0.18,8.8
ADM-0000290,LG-000079,Public Works Dept,Medium,16,20,7,17,6,0.09,7.9
ADM-0000291,LG-000080,Revenue Department,Medium,28,22,5,24,4,0.13,7.4
ADM-0000292,LG-000080,Land Records Cell,Medium,41,10,5,18,5,0.18,7.6
ADM-0000293,LG-000080,Environmental Cell,Medium,22,21,15,22,9,0.13,8.4
ADM-0000294,LG-000081,Revenue Department,Medium,50,13,3,12,6,0.21,7.9
ADM-0000295,LG-000081,Land Records Cell,Medium,47,26,3,33,9,0.32,7.8
ADM-0000296,LG-000081,Environmental Cell,Medium,17,10,14,25,6,0.17,6.6
ADM-0000297,LG-000081,Public Works Dept,Medium,12,21,4,36,0,0.12,6.9
ADM-0000298,LG-000081,Irrigation Department,Medium,13,25,14,35,2,0.35,7.9
ADM-0000299,LG-000082,Revenue Department,High,29,10,13,62,19,0.81,3.0
ADM-0000300,LG-000082,Land Records Cell,High,19,6,10,68,17,0.55,2.7
ADM-0000301,LG-000082,Environmental Cell,High,46,20,8,99,29,0.82,2.3
ADM-0000302,LG-000082,Public Works Dept,High,26,22,11,96,14,0.81,3.7
ADM-0000303,LG-000082,Irrigation Department,High,44,6,12,92,22,0.64,4.6
ADM-0000304,LG-000083,Revenue Department,Medium,49,22,11,13,0,0.31,8.4
ADM-0000305,LG-000083,Land Records Cell,Medium,47,8,4,11,3,0.24,7.0
ADM-0000306,LG-000084,Revenue Department,Medium,22,22,5,13,0,0.05,9.2
ADM-0000307,LG-000084,Land Records Cell,Medium,28,12,5,31,2,0.11,9.0
ADM-0000308,LG-000085,Revenue Department,Medium,32,13,7,13,2,0.1,7.3
ADM-0000309,LG-000085,Land Records Cell,Medium,29,13,3,34,8,0.23,8.1
ADM-0000310,LG-000085,Environmental Cell,Medium,28,5,4,35,3,0.11,7.8
ADM-0000311,LG-000085,Public Works Dept,Medium,44,18,2,26,3,0.3,9.2
ADM-0000312,LG-000085,Irrigation Department,Medium,12,28,3,24,0,0.34,7.8
ADM-0000313,LG-000086,Revenue Department,Medium,12,12,13,20,0,0.18,7.6
ADM-0000314,LG-000086,Land Records Cell,Medium,42,24,8,37,8,0.28,9.4
ADM-0000315,LG-000086,Environmental Cell,Medium,22,15,7,32,7,0.05,8.1
ADM-0000316,LG-000086,Public Works Dept,Medium,25,28,3,34,2,0.3,8.7
ADM-0000317,LG-000086,Irrigation Department,Medium,23,8,7,20,5,0.24,8.7
ADM-0000318,LG-000087,Revenue Department,Medium,45,17,5,25,2,0.16,6.7
ADM-0000319,LG-000087,Land Records Cell,Medium,47,30,14,21,10,0.16,8.5
ADM-0000320,LG-000088,Revenue Department,Medium,24,15,5,27,9,0.26,8.8
ADM-0000321,LG-000088,Land Records Cell,Medium,36,9,14,30,9,0.22,7.6
ADM-0000322,LG-000088,Environmental Cell,Medium,25,9,6,16,6,0.2,8.5
ADM-0000323,LG-000088,Public Works Dept,Medium,29,8,7,25,1,0.1,8.0
