outcome_id,project_id,planned_duration_days,actual_duration_days,delay_days,delay_flag,final_status,delay_stage,completion_date
OUT-000046,LG-000046,1825,1846,21,0,On Time,None,
OUT-000047,LG-000047,2190,2510,320,1,Delayed,Legal Resolution,2029-11-21
OUT-000048,LG-000048,1825,2297,472,1,Severely Delayed,Compensation,2028-12-03
OUT-000049,LG-000049,2190,2537,347,1,Delayed,Legal Resolution,
OUT-000050,LG-000050,1095,1349,254,1,Delayed,Legal Resolution,2026-08-17
OUT-000051,LG-000051,1825,2054,229,1,Delayed,Legal Resolution,
OUT-000052,LG-000052,1095,1160,65,0,On Time,None,2021-05-08
OUT-000053,LG-000053,2190,2215,25,0,On Time,None,
OUT-000054,LG-000054,1825,2155,330,1,Severely Delayed,Compensation,
OUT-000055,LG-000055,1825,1850,25,0,On Time,None,2023-06-30
OUT-000056,LG-000056,1460,1765,305,1,Severely Delayed,Compensation,
OUT-000057,LG-000057,1095,1124,29,0,On Time,None,
OUT-000058,LG-000058,1095,1374,279,1,Delayed,Legal Resolution,2027-06-22
OUT-000059,LG-000059,730,986,256,1,Delayed,Legal Resolution,
OUT-000060,LG-000060,1460,1788,328,1,Delayed,Legal Resolution,
OUT-000061,LG-000061,2190,2251,61,0,On Time,None,
OUT-000062,LG-000062,2190,2445,255,1,Delayed,Legal Resolution,
OUT-000063,LG-000063,1825,1829,4,0,On Time,None,
OUT-000064,LG-000064,730,778,48,0,On Time,None,
OUT-000065,LG-000065,2190,2490,300,1,Delayed,Legal Resolution,
OUT-000066,LG-000066,730,1042,312,1,Delayed,Legal Resolution,
OUT-000067,LG-000067,730,1012,282,1,Delayed,Legal Resolution,
OUT-000068,LG-000068,2190,2283,93,1,Delayed,Approval,2027-03-28
OUT-000069,LG-000069,730,859,129,1,Delayed,Legal Resolution,2020-06-17
OUT-000070,LG-000070,1095,1105,10,0,On Time,None,
OUT-000071,LG-000071,1460,1521,61,0,On Time,None,
OUT-000072,LG-000072,2190,2260,70,0,On Time,None,
OUT-000073,LG-000073,1460,1501,41,0,On Time,None,
OUT-000074,LG-000074,1095,1155,60,0,On Time,None,
OUT-000075,LG-000075,1460,1488,28,0,On Time,None,
OUT-000076,LG-000076,1825,2460,635,1,Severely Delayed,Compensation,
OUT-000077,LG-000077,1825,1842,17,0,On Time,None,
OUT-000078,LG-000078,2190,2490,300,1,Delayed,Legal Resolution,
OUT-000079,LG-000079,1095,1116,21,0,On Time,None,2024-11-07
OUT-000080,LG-000080,730,797,67,0,On Time,None,
OUT-000081,LG-000081,1460,1524,64,0,On Time,None,
OUT-000082,LG-000082,1095,1375,280,1,Delayed,Legal Resolution,
OUT-000083,LG-000083,1095,1100,5,0,On Time,None,
OUT-000084,LG-000084,2190,2219,29,0,On Time,None,
OUT-000085,LG-000085,2190,2219,29,0,On Time,None,
OUT-000086,LG-000086,730,764,34,0,On Time,None,
OUT-000087,LG-000087,1460,1513,53,0,On Time,None,
OUT-000088,LG-000088,730,840,110,1,Delayed,Approval,
OUT-000089,LG-000089,1095,1134,39,0,On Time,None,
OUT-000090,LG-000090,2190,2258,68,0,On Time,None,
OUT-000091,LG-000091,1460,1464,4,0,On Time,None,
OUT-000092,LG-000092,1460,1704,244,1,Delayed,Legal Resolution,
OUT-000093,LG-000093,1095,1782,687,1,Severely Delayed,Compensation,
OUT-000094,LG-000094,1095,1123,28,0,On Time,None,
OUT-000095,LG-000095,730,1480,750,1,Severely Delayed,Compensation,
OUT-000096,LG-000096,730,891,161,1,Delayed,Legal Resolution,
OUT-000097,LG-000097,1825,1849,24,0,On Time,None,
OUT-000098,LG-000098,1825,1827,2,0,On Time,None,
OUT-000099,LG-000099,1460,1592,132,1,Delayed,Legal Resolution,2028-01-04
OUT-000100,LG-000100,2190,2518,328,1,Delayed,Legal Resolution,
OUT-000101,LG-000101,1460,1467,7,0,On Time,None,
OUT-000102,LG-000102,1095,1441,346,1,Delayed,Legal Resolution,
OUT-000103,LG-000103,1825,1837,12,0,On Time,None,2029-01-04
OUT-000104,LG-000104,1825,1934,109,1,Delayed,Approval,
OUT-000105,LG-000105,1825,2545,720,1,Severely Delayed,Compensation,
OUT-000106,LG-000106,1460,1462,2,0,On Time,None,
OUT-000107,LG-000107,1095,1110,15,0,On Time,None,2021-03-19
OUT-000108,LG-000108,730,1172,442,1,Severely Delayed,Compensation,
OUT-000109,LG-000109,1095,1193,98,1,Delayed,Approval,2028-02-19
OUT-000110,LG-000110,2190,2316,126,1,Delayed,Legal Resolution,
OUT-000111,LG-000111,730,1062,332,1,Delayed,Legal Resolution,
OUT-000112,LG-000112,2190,2209,19,0,On Time,None,
OUT-000113,LG-000113,2190,2677,487,1,Severely Delayed,Compensation,
OUT-000114,LG-000114,1095,1139,44,0,On Time,None,
OUT-000115,LG-000115,1825,1887,62,0,On Time,None,
OUT-000116,LG-000116,730,787,57,0,On Time,None,2023-09-19
OUT-000117,LG-000117,730,747,17,0,On Time,None,
OUT-000118,LG-000118,730,1306,576,1,Severely Delayed,Compensation,
OUT-000119,LG-000119,1825,1913,88,0,On Time,None,
OUT-000120,LG-000120,2190,2299,109,1,Delayed,Approval,2031-03-09
OUT-000121,LG-000121,1825,1889,64,0,On Time,None,
OUT-000122,LG-000122,1095,1155,60,0,On Time,None,
OUT-000123,LG-000123,2190,2411,221,1,Delayed,Legal Resolution,
OUT-000124,LG-000124,1825,1927,102,1,Delayed,Approval,
OUT-000125,LG-000125,2190,2220,30,0,On Time,None,
OUT-000126,LG-000126,1825,1825,0,0,On Time,None,
OUT-000127,LG-000127,2190,2938,748,1,Severely Delayed,Compensation,
OUT-000128,LG-000128,730,1213,483,1,Severely Delayed,Compensation,
OUT-000129,LG-000129,1095,1105,10,0,On Time,None,2026-05-31
OUT-000130,LG-000130,1460,1481,21,0,On Time,None,
OUT-000131,LG-000131,1095,1221,126,1,Delayed,Legal Resolution,
OUT-000132,LG-000132,1095,1202,107,1,Delayed,Approval,
OUT-000133,LG-000133,1825,1899,74,0,On Time,None,2025-09-25
OUT-000134,LG-000134,1825,1831,6,0,On Time,None,
OUT-000135,LG-000135,1095,1104,9,0,On Time,None,
OUT-000136,LG-000136,730,827,97,1,Delayed,Approval,
OUT-000137,LG-000137,2190,2298,108,1,Delayed,Approval,
OUT-000138,LG-000138,730,781,51,0,On Time,None,
OUT-000139,LG-000139,2190,2201,11,0,On Time,None,
OUT-000140,LG-000140,1095,1156,61,0,On Time,None,
OUT-000141,LG-000141,730,731,1,0,On Time,None,
OUT-000142,LG-000142,2190,2289,99,1,Delayed,Approval,
OUT-000143,LG-000143,1825,1854,29,0,On Time,None,
OUT-000144,LG-000144,1095,1392,297,1,Delayed,Legal Resolution,
OUT-000145,LG-000145,730,889,159,1,Delayed,Legal Resolution,
OUT-000146,LG-000146,2190,2196,6,0,On Time,None,
OUT-000147,LG-000147,1460,1550,90,0,On Time,None,2025-11-09
OUT-000148,LG-000148,2190,2868,678,1,Severely Delayed,Compensation,
OUT-000149,LG-000149,1460,1746,286,1,Delayed,Legal Resolution,
OUT-000150,LG-000150,730,833,103,1,Delayed,Approval,
OUT-000151,LG-000151,1460,1482,22,0,On Time,None,
OUT-000152,LG-000152,1460,2092,632,1,Severely Delayed,Compensation,
OUT-000153,LG-000153,730,781,51,0,On Time,None,2026-03-31
OUT-000154,LG-000154,2190,2419,229,1,Delayed,Legal Resolution,
OUT-000155,LG-000155,2190,2199,9,0,On Time,None,2029-01-04
OUT-000156,LG-000156,1825,1898,73,0,On Time,None,2026-11-21
OUT-000157,LG-000157,1825,1890,65,0,On Time,None,2029-12-20
OUT-000158,LG-000158,730,749,19,0,On Time,None,
OUT-000159,LG-000159,730,758,28,0,On Time,None,2022-03-20
OUT-000160,LG-000160,1460,1485,25,0,On Time,None,
OUT-000161,LG-000161,2190,2738,548,1,Severely Delayed,Compensation,2030-03-20
OUT-000162,LG-000162,2190,2207,17,0,On Time,None,2030-05-28
OUT-000163,LG-000163,1095,1122,27,0,On Time,None,
OUT-000164,LG-000164,2190,2207,17,0,On Time,None,
OUT-000165,LG-000165,1095,1118,23,0,On Time,None,
OUT-000166,LG-000166,1460,1549,89,0,On Time,None,2024-01-22
OUT-000167,LG-000167,1825,2082,257,1,Delayed,Legal Resolution,
OUT-000168,LG-000168,2190,2519,329,1,Delayed,Legal Resolution,
OUT-000169,LG-000169,1460,1749,289,1,Delayed,Legal Resolution,
OUT-000170,LG-000170,730,927,197,1,Delayed,Legal Resolution,
OUT-000171,LG-000171,730,783,53,0,On Time,None,2025-04-19
OUT-000172,LG-000172,1095,1175,80,0,On Time,None,
OUT-000173,LG-000173,2190,2623,433,1,Severely Delayed,Compensation,2027-09-23
OUT-000174,LG-000174,1460,1490,30,0,On Time,None,
OUT-000175,LG-000175,1095,1451,356,1,Severely Delayed,Compensation,2025-04-27
OUT-000176,LG-000176,730,730,0,0,On Time,None,
OUT-000177,LG-000177,1460,1998,538,1,Severely Delayed,Compensation,2029-07-25
OUT-000178,LG-000178,2190,2255,65,0,On Time,None,2030-08-20
OUT-000179,LG-000179,1460,1566,106,1,Delayed,Approval,2025-10-03
OUT-000180,LG-000180,1095,1095,0,0,On Time,None,
OUT-000181,LG-000181,2190,2491,301,1,Delayed,Legal Resolution,
OUT-000182,LG-000182,1460,1519,59,0,On Time,None,2025-07-25
OUT-000183,LG-000183,1460,1805,345,1,Delayed,Legal Resolution,
OUT-000184,LG-000184,1095,1121,26,0,On Time,None,
OUT-000185,LG-000185,1460,2028,568,1,Severely Delayed,Compensation,
OUT-000186,LG-000186,1825,2132,307,1,Delayed,Legal Resolution,
OUT-000187,LG-000187,2190,2708,518,1,Severely Delayed,Compensation,
OUT-000188,LG-000188,1095,1283,188,1,Delayed,Legal Resolution,
OUT-000189,LG-000189,1825,2347,522,1,Severely Delayed,Compensation,
OUT-000190,LG-000190,2190,2511,321,1,Delayed,Legal Resolution,
OUT-000191,LG-000191,1825,2069,244,1,Delayed,Legal Resolution,2025-11-16
OUT-000192,LG-000192,1825,1930,105,1,Delayed,Approval,
OUT-000193,LG-000193,1825,2081,256,1,Delayed,Legal Resolution,
OUT-000194,LG-000194,2190,2271,81,0,On Time,None,
OUT-000195,LG-000195,1460,1623,163,1,Delayed,Legal Resolution,
OUT-000196,LG-000196,1095,1437,342,1,Severely Delayed,Compensation,2023-07-21
OUT-000197,LG-000197,1825,1843,18,0,On Time,None,
OUT-000198,LG-000198,1460,1468,8,0,On Time,None,
OUT-000199,LG-000199,1825,2517,692,1,Severely Delayed,Compensation,2031-06-01
OUT-000200,LG-000200,1095,1119,24,0,On Time,None,
OUT-000201,LG-000201,2190,2700,510,1,Severely Delayed,Compensation,
OUT-000202,LG-000202,730,738,8,0,On Time,None,
OUT-000203,LG-000203,1095,1280,185,1,Delayed,Legal Resolution,
OUT-000204,LG-000204,1095,1151,56,0,On Time,None,
OUT-000205,LG-000205,2190,2806,616,1,Severely Delayed,Compensation,
OUT-000206,LG-000206,1825,1926,101,1,Delayed,Approval,
OUT-000207,LG-000207,1825,2339,514,1,Severely Delayed,Compensation,
OUT-000208,LG-000208,1095,1298,203,1,Delayed,Legal Resolution,
OUT-000209,LG-000209,1095,1138,43,0,On Time,None,
OUT-000210,LG-000210,1825,2037,212,1,Delayed,Legal Resolution,
OUT-000211,LG-000211,2190,2264,74,0,On Time,None,
OUT-000212,LG-000212,1460,2189,729,1,Severely Delayed,Compensation,
OUT-000213,LG-000213,1460,1708,248,1,Delayed,Legal Resolution,
OUT-000214,LG-000214,1825,2044,219,1,Delayed,Legal Resolution,
OUT-000215,LG-000215,730,825,95,1,Delayed,Approval,
OUT-000216,LG-000216,1825,1855,30,0,On Time,None,
OUT-000217,LG-000217,1825,1969,144,1,Delayed,Legal Resolution,
OUT-000218,LG-000218,730,840,110,1,Delayed,Approval,
OUT-000219,LG-000219,1460,2018,558,1,Severely Delayed,Compensation,2027-11-10
OUT-000220,LG-000220,730,794,64,0,On Time,None,2025-03-14
OUT-000221,LG-000221,1825,1869,44,0,On Time,None,
OUT-000222,LG-000222,1095,1718,623,1,Severely Delayed,Compensation,
OUT-000223,LG-000223,2190,2293,103,1,Delayed,Approval,
OUT-000224,LG-000224,1825,2111,286,1,Delayed,Legal Resolution,
OUT-000225,LG-000225,1460,1507,47,0,On Time,None,
OUT-000226,LG-000226,1095,1196,101,1,Delayed,Approval,
OUT-000227,LG-000227,1095,1294,199,1,Delayed,Legal Resolution,
OUT-000228,LG-000228,1095,1101,6,0,On Time,None,
OUT-000229,LG-000229,2190,2190,0,0,On Time,None,
OUT-000230,LG-000230,1095,1140,45,0,On Time,None,
OUT-000231,LG-000231,2190,2293,103,1,Delayed,Approval,
OUT-000232,LG-000232,1095,1097,2,0,On Time,None,
OUT-000233,LG-000233,2190,2215,25,0,On Time,None,
OUT-000234,LG-000234,730,796,66,0,On Time,None,
OUT-000235,LG-000235,1095,1430,335,1,Delayed,Legal Resolution,
OUT-000236,LG-000236,1095,1124,29,0,On Time,None,
OUT-000237,LG-000237,1460,1566,106,1,Delayed,Approval,
OUT-000238,LG-000238,730,1029,299,1,Delayed,Legal Resolution,
OUT-000239,LG-000239,2190,2266,76,0,On Time,None,2030-09-16
OUT-000240,LG-000240,2190,2227,37,0,On Time,None,
OUT-000241,LG-000241,1460,1520,60,0,On Time,None,
OUT-000242,LG-000242,1825,2153,328,1,Severely Delayed,Compensation,2027-07-05
OUT-000243,LG-000243,2190,2425,235,1,Delayed,Legal Resolution,
OUT-000244,LG-000244,1460,1481,21,0,On Time,None,
OUT-000245,LG-000245,1460,1801,341,1,Delayed,Legal Resolution,
OUT-000246,LG-000246,1825,1847,22,0,On Time,None,2029-07-06
OUT-000247,LG-000247,730,797,67,0,On Time,None,
OUT-000248,LG-000248,730,742,12,0,On Time,None,
OUT-000249,LG-000249,1825,1908,83,0,On Time,None,
OUT-000250,LG-000250,1825,1914,89,0,On Time,None,
OUT-000251,LG-000251,2190,2437,247,1,Delayed,Legal Resolution,
OUT-000252,LG-000252,730,953,223,1,Delayed,Legal Resolution,
OUT-000253,LG-000253,1095,1096,1,0,On Time,None,
OUT-000254,LG-000254,2190,2204,14,0,On Time,None,
OUT-000255,LG-000255,1825,2113,288,1,Delayed,Legal Resolution,2029-03-25
OUT-000256,LG-000256,2190,2559,369,1,Severely Delayed,Compensation,
OUT-000257,LG-000257,730,737,7,0,On Time,None,
OUT-000258,LG-000258,1095,1188,93,1,Delayed,Approval,
OUT-000259,LG-000259,1460,1483,23,0,On Time,None,2028-09-18
OUT-000260,LG-000260,1825,1841,16,0,On Time,None,
OUT-000261,LG-000261,1460,2175,715,1,Severely Delayed,Compensation,
OUT-000262,LG-000262,2190,2217,27,0,On Time,None,
OUT-000263,LG-000263,2190,2713,523,1,Severely Delayed,Compensation,
OUT-000264,LG-000264,1095,1122,27,0,On Time,None,
OUT-000265,LG-000265,730,761,31,0,On Time,None,2022-09-06
OUT-000266,LG-000266,1460,1474,14,0,On Time,None,
OUT-000267,LG-000267,1095,1263,168,1,Delayed,Legal Resolution,
OUT-000268,LG-000268,730,996,266,1,Delayed,Legal Resolution,
OUT-000269,LG-000269,1460,1525,65,0,On Time,None,
OUT-000270,LG-000270,1095,1122,27,0,On Time,None,
OUT-000271,LG-000271,730,1305,575,1,Severely Delayed,Compensation,
OUT-000272,LG-000272,1460,1549,89,0,On Time,None,
OUT-000273,LG-000273,1460,1479,19,0,On Time,None,2025-04-29
OUT-000274,LG-000274,2190,2280,90,0,On Time,None,
OUT-000275,LG-000275,1825,1894,69,0,On Time,None,
OUT-000276,LG-000276,1095,1142,47,0,On Time,None,
OUT-000277,LG-000277,1825,1831,6,0,On Time,None,
OUT-000278,LG-000278,730,1469,739,1,Severely Delayed,Compensation,
OUT-000279,LG-000279,730,828,98,1,Delayed,Approval,
OUT-000280,LG-000280,730,808,78,0,On Time,None,
OUT-000281,LG-000281,1825,1896,71,0,On Time,None,
OUT-000282,LG-000282,2190,2344,154,1,Delayed,Legal Resolution,
OUT-000283,LG-000283,730,748,18,0,On Time,None,
OUT-000284,LG-000284,730,784,54,0,On Time,None,2021-02-17
OUT-000285,LG-000285,1095,1199,104,1,Delayed,Approval,
OUT-000286,LG-000286,1095,1776,681,1,Severely Delayed,Compensation,
OUT-000287,LG-000287,1460,1521,61,0,On Time,None,
OUT-000288,LG-000288,2190,2459,269,1,Delayed,Legal Resolution,2024-11-04
OUT-000289,LG-000289,2190,2352,162,1,Delayed,Legal Resolution,
OUT-000290,LG-000290,1095,1178,83,0,On Time,None,
OUT-000291,LG-000291,1095,1436,341,1,Severely Delayed,Compensation,
OUT-000292,LG-000292,2190,2214,24,0,On Time,None,
OUT-000293,LG-000293,1825,2371,546,1,Severely Delayed,Compensation,
OUT-000294,LG-000294,1825,1849,24,0,On Time,None,
OUT-000295,LG-000295,1460,1673,213,1,Delayed,Legal Resolution,2023-12-24
OUT-000296,LG-000296,730,785,55,0,On Time,None,
OUT-000297,LG-000297,1825,2140,315,1,Delayed,Legal Resolution,2029-04-11
OUT-000298,LG-000298,1825,1850,25,0,On Time,None,
OUT-000299,LG-000299,1825,2313,488,1,Severely Delayed,Compensation,
OUT-000300,LG-000300,1460,1559,99,1,Delayed,Approval,
OUT-000301,LG-000301,730,790,60,0,On Time,None,
OUT-000302,LG-000302,2190,2240,50,0,On Time,None,
OUT-000303,LG-000303,730,735,5,0,On Time,None,
OUT-000304,LG-000304,730,1405,675,1,Severely Delayed,Compensation,
OUT-000305,LG-000305,1825,1987,162,1,Delayed,Legal Resolution,
OUT-000306,LG-000306,1095,1108,13,0,On Time,None,
OUT-000307,LG-000307,1825,1850,25,0,On Time,None,2024-12-15
OUT-000308,LG-000308,730,747,17,0,On Time,None,2020-11-12
OUT-000309,LG-000309,1095,1422,327,1,Delayed,Legal Resolution,
OUT-000310,LG-000310,2190,2391,201,1,Delayed,Legal Resolution,
OUT-000311,LG-000311,730,771,41,0,On Time,None,
OUT-000312,LG-000312,2190,2383,193,1,Delayed,Legal Resolution,2028-08-25
OUT-000313,LG-000313,1825,1829,4,0,On Time,None,
OUT-000314,LG-000314,1825,2026,201,1,Delayed,Legal Resolution,2024-10-27
OUT-000315,LG-000315,1825,1918,93,1,Delayed,Approval,
OUT-000316,LG-000316,1460,1471,11,0,On Time,None,
OUT-000317,LG-000317,1460,1482,22,0,On Time,None,
OUT-000318,LG-000318,1095,1106,11,0,On Time,None,
OUT-000319,LG-000319,1825,1852,27,0,On Time,None,
OUT-000320,LG-000320,730,766,36,0,On Time,None,2023-06-18
OUT-000321,LG-000321,1460,1501,41,0,On Time,None,
OUT-000322,LG-000322,1460,2040,580,1,Severely Delayed,Compensation,
OUT-000323,LG-000323,1825,2566,741,1,Severely Delayed,Compensation,
OUT-000324,LG-000324,2190,2580,390,1,Severely Delayed,Compensation,
OUT-000325,LG-000325,730,837,107,1,Delayed,Approval,
OUT-000326,LG-000326,2190,2755,565,1,Severely Delayed,Compensation,2029-05-21
OUT-000327,LG-000327,1460,1721,261,1,Delayed,Legal Resolution,
OUT-000328,LG-000328,2190,2525,335,1,Delayed,Legal Resolution,
OUT-000329,LG-000329,2190,2523,333,1,Severely Delayed,Compensation,
OUT-000330,LG-000330,1825,1902,77,0,On Time,None,
OUT-000331,LG-000331,730,1138,408,1,Severely Delayed,Compensation,
OUT-000332,LG-000332,1460,1517,57,0,On Time,None,
OUT-000333,LG-000333,1460,1712,252,1,Delayed,Legal Resolution,
OUT-000334,LG-000334,1460,2006,546,1,Severely Delayed,Compensation,
OUT-000335,LG-000335,730,1006,276,1,Delayed,Legal Resolution,2025-07-20
OUT-000336,LG-000336,730,880,150,1,Delayed,Legal Resolution,
OUT-000337,LG-000337,2190,2377,187,1,Delayed,Legal Resolution,
OUT-000338,LG-000338,1825,1893,68,0,On Time,None,
OUT-000339,LG-000339,2190,2217,27,0,On Time,None,
OUT-000340,LG-000340,2190,2257,67,0,On Time,None,
OUT-000341,LG-000341,1095,1104,9,0,On Time,None,
OUT-000342,LG-000342,730,934,204,1,Delayed,Legal Resolution,
OUT-000343,LG-000343,1825,1838,13,0,On Time,None,
OUT-000344,LG-000344,1825,1867,42,0,On Time,None,
OUT-000345,LG-000345,1095,1249,154,1,Delayed,Legal Resolution,
OUT-000346,LG-000346,1460,1466,6,0,On Time,None,
OUT-000347,LG-000347,1095,1443,348,1,Delayed,Legal Resolution,2028-11-25
OUT-000348,LG-000348,2190,2192,2,0,On Time,None,
OUT-000349,LG-000349,1460,1550,90,0,On Time,None,
OUT-000350,LG-000350,1095,1097,2,0,On Time,None,
OUT-000351,LG-000351,1460,1534,74,0,On Time,None,
OUT-000352,LG-000352,1095,1165,70,0,On Time,None,2024-12-17
OUT-000353,LG-000353,730,1273,543,1,Severely Delayed,Compensation,
OUT-000354,LG-000354,730,757,27,0,On Time,None,
OUT-000355,LG-000355,1095,1384,289,1,Delayed,Legal Resolution,2024-12-04
OUT-000356,LG-000356,730,744,14,0,On Time,None,
OUT-000357,LG-000357,1095,1113,18,0,On Time,None,
OUT-000358,LG-000358,730,1152,422,1,Severely Delayed,Compensation,
OUT-000359,LG-000359,1095,1175,80,0,On Time,None,
OUT-000360,LG-000360,1825,1836,11,0,On Time,None,
OUT-000361,LG-000361,730,831,101,1,Delayed,Approval,
OUT-000362,LG-000362,1825,2020,195,1,Delayed,Legal Resolution,
OUT-000363,LG-000363,1095,1794,699,1,Severely Delayed,Compensation,
OUT-000364,LG-000364,1095,1276,181,1,Delayed,Legal Resolution,
OUT-000365,LG-000365,1095,1440,345,1,Severely Delayed,Compensation,
OUT-000366,LG-000366,1460,1472,12,0,On Time,None,2024-03-28
OUT-000367,LG-000367,1825,2045,220,1,Delayed,Legal Resolution,
OUT-000368,LG-000368,1825,1840,15,0,On Time,None,2024-11-08
OUT-000369,LG-000369,2190,2896,706,1,Severely Delayed,Compensation,2031-06-07
OUT-000370,LG-000370,1095,1410,315,1,Delayed,Legal Resolution,
OUT-000371,LG-000371,1825,2290,465,1,Severely Delayed,Compensation,2031-01-04
OUT-000372,LG-000372,1825,2243,418,1,Severely Delayed,Compensation,2027-05-04
OUT-000373,LG-000373,1460,1648,188,1,Delayed,Legal Resolution,
OUT-000374,LG-000374,730,813,83,0,On Time,None,
OUT-000375,LG-000375,1825,1971,146,1,Delayed,Legal Resolution,2029-07-16
OUT-000376,LG-000376,730,733,3,0,On Time,None,2021-05-09
OUT-000377,LG-000377,1095,1223,128,1,Delayed,Legal Resolution,
OUT-000378,LG-000378,2190,2467,277,1,Delayed,Legal Resolution,
OUT-000379,LG-000379,2190,2290,100,1,Delayed,Approval,
OUT-000380,LG-000380,1460,1519,59,0,On Time,None,
OUT-000381,LG-000381,1095,1125,30,0,On Time,None,
OUT-000382,LG-000382,2190,2220,30,0,On Time,None,
OUT-000383,LG-000383,1095,1115,20,0,On Time,None,
OUT-000384,LG-000384,730,1062,332,1,Delayed,Legal Resolution,
OUT-000385,LG-000385,730,914,184,1,Delayed,Legal Resolution,
OUT-000386,LG-000386,730,827,97,1,Delayed,Approval,
OUT-000387,LG-000387,2190,2220,30,0,On Time,None,
OUT-000388,LG-000388,730,740,10,0,On Time,None,2025-08-12
OUT-000389,LG-000389,1095,1141,46,0,On Time,None,
OUT-000390,LG-000390,1825,1969,144,1,Delayed,Legal Resolution,
OUT-000391,LG-000391,1095,1116,21,0,On Time,None,2023-12-09
OUT-000392,LG-000392,1095,1635,540,1,Severely Delayed,Compensation,
OUT-000393,LG-000393,1460,1464,4,0,On Time,None,
OUT-000394,LG-000394,730,746,16,0,On Time,None,
OUT-000395,LG-000395,730,1286,556,1,Severely Delayed,Compensation,
OUT-000396,LG-000396,1825,2171,346,1,Delayed,Legal Resolution,2028-09-11
OUT-000397,LG-000397,1825,1828,3,0,On Time,None,
OUT-000398,LG-000398,1825,1852,27,0,On Time,None,
OUT-000399,LG-000399,730,732,2,0,On Time,None,
OUT-000400,LG-000400,730,774,44,0,On Time,None,2026-08-01
OUT-000401,LG-000401,730,1287,557,1,Severely Delayed,Compensation,
OUT-000402,LG-000402,730,1067,337,1,Delayed,Legal Resolution,
OUT-000403,LG-000403,1825,1844,19,0,On Time,None,
OUT-000404,LG-000404,2190,2540,350,1,Delayed,Legal Resolution,
OUT-000405,LG-000405,1825,2055,230,1,Delayed,Legal Resolution,
OUT-000406,LG-000406,2190,2193,3,0,On Time,None,
OUT-000407,LG-000407,1095,1107,12,0,On Time,None,
OUT-000408,LG-000408,730,816,86,0,On Time,None,
OUT-000409,LG-000409,2190,2214,24,0,On Time,None,
OUT-000410,LG-000410,1095,1125,30,0,On Time,None,
