dispute_id,project_id,case_type,filing_date,resolution_date,case_status,pending_days,court_level,case_severity
LEG-0000022,LG-000007,R&R Dispute,2023-07-29,,Stay Order Issued,1067,Revenue Tribunal,Low
LEG-0000023,LG-000007,R&R Dispute,2023-08-09,,Stay Order Issued,1056,District Court,Medium
LEG-0000024,LG-000007,Encroachment,2023-10-17,2024-03-10,Resolved,0,District Court,Low
LEG-0000025,LG-000007,Environmental Challenge,2023-10-08,2024-01-06,Resolved,0,District Court,High
LEG-0000026,LG-000008,Encroachment,2024-01-15,,Under Hearing,897,District Court,High
LEG-0000027,LG-000008,Compensation Amount Dispute,2023-11-12,,Stay Order Issued,961,Revenue Tribunal,High
LEG-0000028,LG-000008,Compensation Amount Dispute,2023-08-15,2024-02-09,Resolved,0,High Court,Medium
LEG-0000029,LG-000008,Environmental Challenge,2024-07-21,,Under Hearing,709,District Court,High
LEG-0000030,LG-000011,Compensation Amount Dispute,2021-03-21,,Under Hearing,1927,District Court,Critical
LEG-0000031,LG-000011,Environmental Challenge,2020-12-01,,Stay Order Issued,2037,District Court,Critical
LEG-0000032,LG-000011,Title Dispute,2020-12-03,,Under Hearing,2035,High Court,Critical
LEG-0000033,LG-000011,Compensation Amount Dispute,2021-10-10,,Under Hearing,1724,District Court,Critical
LEG-0000034,LG-000011,Encroachment,2020-11-19,,Stay Order Issued,2049,District Court,Critical
LEG-0000035,LG-000011,Environmental Challenge,2021-07-06,2021-11-21,Resolved,0,High Court,Critical
LEG-0000036,LG-000011,Title Dispute,2021-07-14,2021-11-18,Resolved,0,Revenue Tribunal,Critical
LEG-0000037,LG-000011,Environmental Challenge,2021-08-11,,Under Hearing,1784,High Court,Critical
LEG-0000038,LG-000011,Environmental Challenge,2021-02-09,,Under Hearing,1967,High Court,Critical
LEG-0000039,LG-000011,R&R Dispute,2021-03-20,,Under Hearing,1928,District Court,Critical
LEG-0000040,LG-000012,Encroachment,2020-06-06,,Under Hearing,2215,District Court,Critical
LEG-0000041,LG-000012,Encroachment,2020-04-04,,Stay Order Issued,2278,District Court,Critical
LEG-0000042,LG-000012,Encroachment,2020-03-16,2020-07-30,Resolved,0,High Court,Critical
LEG-0000043,LG-000012,Environmental Challenge,2020-11-04,,Under Hearing,2064,Revenue Tribunal,Critical
LEG-0000044,LG-000012,Encroachment,2020-04-20,,Under Hearing,2262,District Court,Critical
LEG-0000045,LG-000012,Environmental Challenge,2020-05-06,2021-02-25,Resolved,0,District Court,Critical
LEG-0000046,LG-000012,Compensation Amount Dispute,2020-06-07,,Pending,2214,Revenue Tribunal,Critical
LEG-0000047,LG-000015,Environmental Challenge,2019-12-06,2020-09-29,Resolved,0,Revenue Tribunal,High
LEG-0000048,LG-000015,Title Dispute,2020-08-09,,Stay Order Issued,2151,District Court,High
LEG-0000049,LG-000015,R&R Dispute,2020-07-27,2020-11-15,Resolved,0,High Court,Low
LEG-0000050,LG-000016,R&R Dispute,2023-10-13,2024-01-15,Resolved,0,District Court,High
LEG-0000051,LG-000016,R&R Dispute,2024-03-27,2024-12-03,Resolved,0,High Court,High
LEG-0000052,LG-000016,Encroachment,2024-04-18,2024-09-04,Resolved,0,High Court,High
LEG-0000053,LG-000017,Environmental Challenge,2021-05-04,2021-12-12,Resolved,0,Revenue Tribunal,Medium
LEG-0000054,LG-000018,Compensation Amount Dispute,2020-07-27,2021-02-28,Resolved,0,High Court,Low
LEG-0000055,LG-000018,R&R Dispute,2020-08-23,,Under Hearing,2137,High Court,Medium
LEG-0000056,LG-000018,Compensation Amount Dispute,2020-08-07,,Stay Order Issued,2153,Revenue Tribunal,High
LEG-0000057,LG-000018,Compensation Amount Dispute,2020-10-19,2021-07-26,Resolved,0,High Court,High
LEG-0000058,LG-000018,Compensation Amount Dispute,2020-10-30,2021-08-18,Resolved,0,High Court,Low
LEG-0000059,LG-000018,Compensation Amount Dispute,2020-10-04,2021-07-25,Resolved,0,High Court,Low
LEG-0000060,LG-000022,Environmental Challenge,2018-11-20,2019-05-27,Resolved,0,High Court,Low
LEG-0000061,LG-000023,R&R Dispute,2023-06-19,2023-09-06,Resolved,0,District Court,High
LEG-0000062,LG-000024,R&R Dispute,2021-05-04,,Pending,1883,District Court,Medium
LEG-0000063,LG-000024,R&R Dispute,2021-01-15,,Under Hearing,1992,Revenue Tribunal,Medium
LEG-0000064,LG-000024,R&R Dispute,2021-01-26,,Pending,1981,District Court,Low
LEG-0000065,LG-000024,R&R Dispute,2021-03-09,,Stay Order Issued,1939,District Court,High
LEG-0000066,LG-000024,Encroachment,2021-02-24,,Under Hearing,1952,High Court,Medium
LEG-0000067,LG-000024,Compensation Amount Dispute,2021-03-01,,Pending,1947,District Court,High
LEG-0000068,LG-000025,Environmental Challenge,2021-11-24,2022-03-10,Resolved,0,High Court,High
LEG-0000069,LG-000026,R&R Dispute,2025-06-02,,Stay Order Issued,393,District Court,Low
LEG-0000070,LG-000026,Environmental Challenge,2024-12-06,2025-03-13,Resolved,0,High Court,Low
LEG-0000071,LG-000026,Environmental Challenge,2024-09-02,,Pending,666,High Court,Medium
LEG-0000072,LG-000026,Compensation Amount Dispute,2024-07-15,2025-02-09,Resolved,0,District Court,Medium
LEG-0000073,LG-000027,Encroachment,2021-04-05,2021-06-30,Resolved,0,Revenue Tribunal,High
LEG-0000074,LG-000027,Environmental Challenge,2020-10-19,2021-03-20,Resolved,0,District Court,Low
LEG-0000075,LG-000028,Environmental Challenge,2025-10-12,2026-01-11,Resolved,0,High Court,Low
LEG-0000076,LG-000029,Title Dispute,2025-01-28,2025-05-21,Resolved,0,High Court,High
LEG-0000077,LG-000029,Environmental Challenge,2025-02-12,,Stay Order Issued,503,Revenue Tribunal,High
LEG-0000078,LG-000029,Compensation Amount Dispute,2024-10-12,2025-04-08,Resolved,0,High Court,High
LEG-0000079,LG-000031,Environmental Challenge,2022-01-19,,Stay Order Issued,1623,Revenue Tribunal,Critical
LEG-0000080,LG-000031,R&R Dispute,2022-03-30,,Pending,1553,High Court,Critical
LEG-0000081,LG-000031,Encroachment,2023-01-11,2023-05-14,Resolved,0,High Court,Critical
LEG-0000082,LG-000031,R&R Dispute,2022-11-30,,Under Hearing,1308,High Court,Critical
LEG-0000083,LG-000031,Encroachment,2022-12-22,,Stay Order Issued,1286,District Court,Critical
LEG-0000084,LG-000031,Encroachment,2022-12-08,,Pending,1300,Revenue Tribunal,Critical
LEG-0000085,LG-000032,Encroachment,2025-03-09,2025-09-14,Resolved,0,High Court,Critical
LEG-0000086,LG-000032,Title Dispute,2025-10-30,,Stay Order Issued,243,District Court,Critical
LEG-0000087,LG-000032,Encroachment,2025-06-27,,Stay Order Issued,368,Revenue Tribunal,Critical
LEG-0000088,LG-000032,Environmental Challenge,2025-10-25,,Stay Order Issued,248,Revenue Tribunal,Critical
LEG-0000089,LG-000032,R&R Dispute,2025-07-04,,Under Hearing,361,Revenue Tribunal,Critical
LEG-0000090,LG-000032,Title Dispute,2025-10-13,,Pending,260,District Court,Critical
LEG-0000091,LG-000033,Title Dispute,2019-09-09,,Pending,2486,District Court,Critical
LEG-0000092,LG-000033,Compensation Amount Dispute,2019-09-21,,Pending,2474,District Court,Critical
LEG-0000093,LG-000033,R&R Dispute,2020-06-15,2020-12-01,Resolved,0,Revenue Tribunal,Critical
LEG-0000094,LG-000033,Encroachment,2019-07-08,,Under Hearing,2549,High Court,Critical
LEG-0000095,LG-000033,R&R Dispute,2019-08-15,2019-12-16,Resolved,0,District Court,Critical
LEG-0000096,LG-000033,Title Dispute,2020-03-21,,Under Hearing,2292,High Court,Critical
LEG-0000097,LG-000033,Compensation Amount Dispute,2020-06-26,,Under Hearing,2195,High Court,Critical
LEG-0000098,LG-000033,R&R Dispute,2020-06-29,2020-09-23,Resolved,0,Revenue Tribunal,Critical
LEG-0000099,LG-000033,Compensation Amount Dispute,2019-10-04,,Stay Order Issued,2461,District Court,Critical
LEG-0000100,LG-000034,Title Dispute,2020-01-08,,Pending,2365,Revenue Tribunal,Medium
LEG-0000101,LG-000034,Environmental Challenge,2019-12-28,2020-09-27,Resolved,0,District Court,Low
LEG-0000102,LG-000034,Environmental Challenge,2020-02-28,,Under Hearing,2314,District Court,Medium
LEG-0000103,LG-000035,Title Dispute,2025-01-19,,Under Hearing,527,High Court,Medium
LEG-0000104,LG-000035,Environmental Challenge,2025-04-17,,Stay Order Issued,439,District Court,Medium
LEG-0000105,LG-000035,Environmental Challenge,2025-01-30,,Pending,516,District Court,High
LEG-0000106,LG-000035,R&R Dispute,2024-09-29,,Pending,639,High Court,Low
LEG-0000107,LG-000035,Compensation Amount Dispute,2024-12-14,2025-06-13,Resolved,0,District Court,Low
LEG-0000108,LG-000035,Environmental Challenge,2024-06-23,2025-02-13,Resolved,0,High Court,Medium
LEG-0000109,LG-000036,R&R Dispute,2023-02-07,,Stay Order Issued,1239,High Court,Medium
LEG-0000110,LG-000036,Environmental Challenge,2022-04-28,,Under Hearing,1524,District Court,Medium
LEG-0000111,LG-000036,Encroachment,2022-08-16,,Stay Order Issued,1414,High Court,Low
LEG-0000112,LG-000036,Title Dispute,2022-09-20,,Under Hearing,1379,Revenue Tribunal,Medium
LEG-0000113,LG-000036,Compensation Amount Dispute,2022-07-31,,Under Hearing,1430,Revenue Tribunal,Low
LEG-0000114,LG-000037,Title Dispute,2021-05-03,,Under Hearing,1884,District Court,Critical
LEG-0000115,LG-000037,Title Dispute,2020-10-09,2021-01-20,Resolved,0,Revenue Tribunal,Critical
LEG-0000116,LG-000037,Title Dispute,2020-11-23,2021-06-20,Resolved,0,High Court,Critical
LEG-0000117,LG-000037,Title Dispute,2020-09-30,,Pending,2099,Revenue Tribunal,Critical
LEG-0000118,LG-000037,Compensation Amount Dispute,2021-05-10,2022-02-07,Resolved,0,Revenue Tribunal,Critical
LEG-0000119,LG-000037,Title Dispute,2021-02-08,,Pending,1968,District Court,Critical
LEG-0000120,LG-000039,Encroachment,2022-12-10,2023-08-20,Resolved,0,High Court,High
LEG-0000121,LG-000039,R&R Dispute,2023-03-17,2023-08-11,Resolved,0,High Court,Medium
LEG-0000122,LG-000041,Encroachment,2024-11-26,,Stay Order Issued,581,Revenue Tribunal,High
LEG-0000123,LG-000041,Encroachment,2024-07-10,,Pending,720,Revenue Tribunal,High
LEG-0000124,LG-000041,Environmental Challenge,2024-05-12,,Stay Order Issued,779,District Court,Medium
LEG-0000125,LG-000041,Title Dispute,2024-10-03,,Under Hearing,635,District Court,Medium
LEG-0000126,LG-000041,Title Dispute,2025-02-26,,Stay Order Issued,489,Revenue Tribunal,Medium
LEG-0000127,LG-000042,Encroachment,2025-12-06,,Stay Order Issued,206,District Court,Critical
LEG-0000128,LG-000042,R&R Dispute,2025-06-05,,Stay Order Issued,390,Revenue Tribunal,Critical
LEG-0000129,LG-000042,Encroachment,2025-04-28,,Pending,428,District Court,Critical
LEG-0000130,LG-000042,R&R Dispute,2025-08-08,,Pending,326,Revenue Tribunal,Critical
LEG-0000131,LG-000042,Environmental Challenge,2025-10-31,,Pending,242,Revenue Tribunal,Critical
LEG-0000132,LG-000042,R&R Dispute,2025-05-26,,Under Hearing,400,District Court,Critical
LEG-0000133,LG-000042,Encroachment,2025-05-26,2026-01-02,Resolved,0,District Court,Critical
LEG-0000134,LG-000042,Encroachment,2025-03-03,,Under Hearing,484,Revenue Tribunal,Critical
LEG-0000135,LG-000042,Encroachment,2025-02-01,,Under Hearing,514,District Court,Critical
LEG-0000136,LG-000042,Environmental Challenge,2025-08-08,,Pending,326,Revenue Tribunal,Critical
LEG-0000137,LG-000042,Environmental Challenge,2025-08-02,,Stay Order Issued,332,Revenue Tribunal,Critical
LEG-0000138,LG-000042,Encroachment,2025-07-04,,Pending,361,Revenue Tribunal,Critical
LEG-0000139,LG-000042,Environmental Challenge,2025-06-21,,Under Hearing,374,High Court,Critical
LEG-0000140,LG-000042,Compensation Amount Dispute,2025-01-01,2025-10-12,Resolved,0,Revenue Tribunal,Critical
LEG-0000141,LG-000042,R&R Dispute,2025-02-05,,Under Hearing,510,High Court,Critical
LEG-0000142,LG-000042,Compensation Amount Dispute,2025-10-11,,Stay Order Issued,262,High Court,Critical
LEG-0000143,LG-000042,Compensation Amount Dispute,2025-10-13,2026-04-25,Resolved,0,Revenue Tribunal,Critical
LEG-0000144,LG-000042,Title Dispute,2025-02-21,,Under Hearing,494,District Court,Critical
LEG-0000145,LG-000043,Encroachment,2022-12-21,,Pending,1287,Revenue Tribunal,Critical
LEG-0000146,LG-000043,R&R Dispute,2022-11-13,2023-04-18,Resolved,0,District Court,Critical
LEG-0000147,LG-000043,Title Dispute,2022-09-16,,Pending,1383,High Court,Critical
LEG-0000148,LG-000043,R&R Dispute,2022-06-26,,Pending,1465,High Court,Critical
LEG-0000149,LG-000043,Environmental Challenge,2022-06-06,2023-02-17,Resolved,0,Revenue Tribunal,Critical
LEG-0000150,LG-000043,Environmental Challenge,2022-10-02,,Pending,1367,Revenue Tribunal,Critical
LEG-0000151,LG-000043,Title Dispute,2022-07-27,,Under Hearing,1434,Revenue Tribunal,Critical
LEG-0000152,LG-000043,Encroachment,2023-02-21,2023-11-03,Resolved,0,Revenue Tribunal,Critical
LEG-0000153,LG-000044,R&R Dispute,2020-09-28,2021-01-21,Resolved,0,High Court,Medium
LEG-0000154,LG-000045,Environmental Challenge,2024-02-07,,Pending,874,District Court,Low
LEG-0000155,LG-000047,Compensation Amount Dispute,2023-07-20,2024-03-15,Resolved,0,Revenue Tribunal,High
LEG-0000156,LG-000047,Environmental Challenge,2023-04-12,,Stay Order Issued,1175,Revenue Tribunal,Medium
LEG-0000157,LG-000047,Compensation Amount Dispute,2023-03-31,2023-10-31,Resolved,0,Revenue Tribunal,Medium
LEG-0000158,LG-000047,Compensation Amount Dispute,2024-02-08,2024-08-27,Resolved,0,High Court,Medium
LEG-0000159,LG-000048,Title Dispute,2022-10-08,2023-01-23,Resolved,0,Revenue Tribunal,Critical
LEG-0000160,LG-000048,Encroachment,2022-10-23,,Stay Order Issued,1346,High Court,Critical
LEG-0000161,LG-000048,R&R Dispute,2022-12-01,,Pending,1307,District Court,Critical
LEG-0000162,LG-000048,R&R Dispute,2023-01-04,2023-03-16,Resolved,0,District Court,Critical
LEG-0000163,LG-000048,Compensation Amount Dispute,2022-12-06,,Under Hearing,1302,High Court,Critical
LEG-0000164,LG-000048,Title Dispute,2023-05-13,,Stay Order Issued,1144,High Court,Critical
LEG-0000165,LG-000048,R&R Dispute,2023-04-01,,Under Hearing,1186,District Court,Critical
LEG-0000166,LG-000049,Environmental Challenge,2020-12-02,,Stay Order Issued,2036,District Court,Medium
LEG-0000167,LG-000049,R&R Dispute,2021-04-02,,Under Hearing,1915,District Court,Medium
LEG-0000168,LG-000049,Compensation Amount Dispute,2021-05-06,2021-07-18,Resolved,0,Revenue Tribunal,Medium
LEG-0000169,LG-000049,Encroachment,2021-04-07,,Under Hearing,1910,District Court,Medium
LEG-0000170,LG-000049,Encroachment,2021-10-26,,Pending,1708,Revenue Tribunal,Low
LEG-0000171,LG-000049,R&R Dispute,2021-01-29,2021-11-22,Resolved,0,District Court,High
LEG-0000172,LG-000050,Environmental Challenge,2023-06-22,,Stay Order Issued,1104,Revenue Tribunal,Low
LEG-0000173,LG-000050,Encroachment,2023-05-25,2023-11-25,Resolved,0,Revenue Tribunal,High
LEG-0000174,LG-000050,Compensation Amount Dispute,2023-04-18,2023-11-29,Resolved,0,Revenue Tribunal,High
LEG-0000175,LG-000051,Title Dispute,2019-09-14,2020-05-21,Resolved,0,High Court,Medium
LEG-0000176,LG-000051,Environmental Challenge,2019-07-03,,Under Hearing,2554,Revenue Tribunal,Low
LEG-0000177,LG-000051,R&R Dispute,2019-11-26,,Under Hearing,2408,Revenue Tribunal,Low
LEG-0000178,LG-000051,Environmental Challenge,2019-10-30,2020-03-26,Resolved,0,District Court,High
LEG-0000179,LG-000051,Encroachment,2019-12-10,,Under Hearing,2394,District Court,High
LEG-0000180,LG-000051,Encroachment,2020-01-27,,Under Hearing,2346,High Court,Low
LEG-0000181,LG-000052,R&R Dispute,2019-02-05,,Pending,2702,District Court,High
LEG-0000182,LG-000052,Encroachment,2018-06-17,2018-08-26,Resolved,0,High Court,Medium
LEG-0000183,LG-000054,Encroachment,2020-04-09,,Under Hearing,2273,Revenue Tribunal,Critical
LEG-0000184,LG-000054,R&R Dispute,2020-08-19,2020-12-23,Resolved,0,Revenue Tribunal,Critical
LEG-0000185,LG-000054,Encroachment,2020-11-17,2021-08-12,Resolved,0,Revenue Tribunal,Critical
LEG-0000186,LG-000054,R&R Dispute,2021-01-16,,Pending,1991,Revenue Tribunal,Critical
LEG-0000187,LG-000054,Compensation Amount Dispute,2021-01-25,,Stay Order Issued,1982,District Court,Critical
LEG-0000188,LG-000054,Encroachment,2020-02-22,,Under Hearing,2320,Revenue Tribunal,Critical
LEG-0000189,LG-000054,Environmental Challenge,2020-07-13,,Stay Order Issued,2178,District Court,Critical
LEG-0000190,LG-000054,Title Dispute,2020-12-09,,Under Hearing,2029,District Court,Critical
LEG-0000191,LG-000054,Compensation Amount Dispute,2020-11-21,,Pending,2047,High Court,Critical
LEG-0000192,LG-000055,Compensation Amount Dispute,2019-01-24,,Stay Order Issued,2714,District Court,Low
LEG-0000193,LG-000056,Title Dispute,2020-06-07,2021-01-01,Resolved,0,Revenue Tribunal,Critical
LEG-0000194,LG-000056,Compensation Amount Dispute,2020-07-10,,Pending,2181,District Court,Critical
LEG-0000195,LG-000056,Environmental Challenge,2020-03-28,2020-11-18,Resolved,0,District Court,Critical
LEG-0000196,LG-000056,R&R Dispute,2020-06-24,,Pending,2197,District Court,Critical
LEG-0000197,LG-000056,Title Dispute,2021-02-01,,Pending,1975,High Court,Critical
LEG-0000198,LG-000056,Compensation Amount Dispute,2020-04-28,,Under Hearing,2254,District Court,Critical
LEG-0000199,LG-000056,Encroachment,2021-03-10,,Pending,1938,High Court,Critical
LEG-0000200,LG-000056,Encroachment,2020-10-01,,Stay Order Issued,2098,High Court,Critical
LEG-0000201,LG-000056,Compensation Amount Dispute,2021-02-07,,Stay Order Issued,1969,District Court,Critical
LEG-0000202,LG-000056,Compensation Amount Dispute,2020-09-20,,Stay Order Issued,2109,High Court,Critical
LEG-0000203,LG-000057,R&R Dispute,2024-12-07,,Pending,570,Revenue Tribunal,High
LEG-0000204,LG-000058,R&R Dispute,2024-08-21,,Pending,678,Revenue Tribunal,High
LEG-0000205,LG-000058,Compensation Amount Dispute,2024-03-11,,Under Hearing,841,District Court,Medium
LEG-0000206,LG-000058,R&R Dispute,2024-07-14,,Pending,716,District Court,Medium
LEG-0000207,LG-000058,Compensation Amount Dispute,2024-01-24,,Stay Order Issued,888,District Court,High
LEG-0000208,LG-000058,Compensation Amount Dispute,2024-08-20,,Pending,679,High Court,Medium
LEG-0000209,LG-000059,Environmental Challenge,2022-10-03,2023-07-26,Resolved,0,District Court,Low
LEG-0000210,LG-000059,Title Dispute,2022-09-02,,Stay Order Issued,1397,High Court,Low
LEG-0000211,LG-000059,R&R Dispute,2022-06-08,2023-01-26,Resolved,0,High Court,Low
LEG-0000212,LG-000059,Compensation Amount Dispute,2022-02-24,,Under Hearing,1587,District Court,Low
LEG-0000213,LG-000059,Compensation Amount Dispute,2022-04-26,,Pending,1526,High Court,Medium
LEG-0000214,LG-000059,Environmental Challenge,2022-01-11,,Pending,1631,District Court,Low
LEG-0000215,LG-000060,Encroachment,2019-04-19,2019-07-10,Resolved,0,District Court,Medium
LEG-0000216,LG-000060,Environmental Challenge,2019-05-09,,Under Hearing,2609,District Court,Medium
LEG-0000217,LG-000060,Compensation Amount Dispute,2019-05-19,,Pending,2599,High Court,High
LEG-0000218,LG-000060,R&R Dispute,2019-03-22,2019-09-19,Resolved,0,District Court,Low
LEG-0000219,LG-000061,Environmental Challenge,2022-04-22,2023-01-05,Resolved,0,Revenue Tribunal,High
LEG-0000220,LG-000061,R&R Dispute,2021-08-29,,Under Hearing,1766,Revenue Tribunal,Medium
LEG-0000221,LG-000062,Title Dispute,2021-11-02,,Stay Order Issued,1701,Revenue Tribunal,Low
LEG-0000222,LG-000062,Compensation Amount Dispute,2022-03-09,,Pending,1574,Revenue Tribunal,Low
LEG-0000223,LG-000062,Title Dispute,2022-04-03,,Under Hearing,1549,High Court,Low
LEG-0000224,LG-000062,Environmental Challenge,2021-07-09,,Under Hearing,1817,District Court,Low
LEG-0000225,LG-000063,Environmental Challenge,2024-03-19,,Stay Order Issued,833,District Court,High
LEG-0000226,LG-000064,Environmental Challenge,2025-09-28,,Pending,275,Revenue Tribunal,Medium
LEG-0000227,LG-000064,Title Dispute,2025-08-10,2025-12-06,Resolved,0,District Court,High
LEG-0000228,LG-000065,R&R Dispute,2022-08-06,,Stay Order Issued,1424,Revenue Tribunal,Medium
LEG-0000229,LG-000065,Title Dispute,2022-04-16,,Under Hearing,1536,Revenue Tribunal,Low
LEG-0000230,LG-000065,R&R Dispute,2022-10-28,,Stay Order Issued,1341,Revenue Tribunal,High
LEG-0000231,LG-000065,Environmental Challenge,2022-03-26,,Stay Order Issued,1557,Revenue Tribunal,Low
LEG-0000232,LG-000066,Compensation Amount Dispute,2018-10-07,,Under Hearing,2823,Revenue Tribunal,Medium
LEG-0000233,LG-000066,Encroachment,2019-04-14,,Pending,2634,District Court,Medium
LEG-0000234,LG-000066,R&R Dispute,2019-05-31,,Under Hearing,2587,High Court,Low
LEG-0000235,LG-000066,R&R Dispute,2019-04-09,,Stay Order Issued,2639,District Court,High
LEG-0000236,LG-000067,Title Dispute,2024-04-26,2024-10-10,Resolved,0,High Court,Low
LEG-0000237,LG-000067,R&R Dispute,2023-06-04,,Stay Order Issued,1122,High Court,High
LEG-0000238,LG-000067,Title Dispute,2023-10-09,,Pending,995,District Court,Medium
LEG-0000239,LG-000068,Title Dispute,2022-01-30,2022-10-27,Resolved,0,Revenue Tribunal,High
LEG-0000240,LG-000069,Compensation Amount Dispute,2018-05-11,2019-02-01,Resolved,0,District Court,Medium
LEG-0000241,LG-000069,Title Dispute,2018-03-30,,Under Hearing,3014,District Court,Medium
LEG-0000242,LG-000069,Compensation Amount Dispute,2018-05-01,,Stay Order Issued,2982,Revenue Tribunal,High
LEG-0000243,LG-000069,Title Dispute,2018-12-22,,Pending,2747,High Court,High
LEG-0000244,LG-000069,Encroachment,2019-01-27,,Stay Order Issued,2711,Revenue Tribunal,Medium
LEG-0000245,LG-000069,Environmental Challenge,2018-10-03,,Under Hearing,2827,High Court,Low
LEG-0000246,LG-000070,R&R Dispute,2024-03-30,2024-10-19,Resolved,0,High Court,High
LEG-0000247,LG-000071,R&R Dispute,2019-12-06,2020-08-16,Resolved,0,High Court,High
LEG-0000248,LG-000071,Compensation Amount Dispute,2019-10-22,2020-06-23,Resolved,0,District Court,Medium
LEG-0000249,LG-000071,R&R Dispute,2019-10-19,2020-04-11,Resolved,0,District Court,Low
LEG-0000250,LG-000072,R&R Dispute,2018-11-14,,Under Hearing,2785,High Court,Low
LEG-0000251,LG-000072,Compensation Amount Dispute,2018-03-27,2018-07-13,Resolved,0,Revenue Tribunal,High
LEG-0000252,LG-000073,Encroachment,2025-02-21,2025-07-08,Resolved,0,District Court,High
LEG-0000253,LG-000074,Title Dispute,2024-10-10,2025-01-04,Resolved,0,District Court,High
LEG-0000254,LG-000074,R&R Dispute,2024-07-13,2024-11-03,Resolved,0,Revenue Tribunal,Medium
LEG-0000255,LG-000074,Title Dispute,2024-11-01,2025-01-29,Resolved,0,Revenue Tribunal,Low
LEG-0000256,LG-000076,R&R Dispute,2023-04-17,2023-11-13,Resolved,0,High Court,Critical
LEG-0000257,LG-000076,Title Dispute,2023-06-01,,Under Hearing,1125,District Court,Critical
LEG-0000258,LG-000076,Title Dispute,2023-06-21,2023-12-12,Resolved,0,District Court,Critical
LEG-0000259,LG-000076,Title Dispute,2023-03-10,2023-07-29,Resolved,0,Revenue Tribunal,Critical
LEG-0000260,LG-000076,Encroachment,2023-04-21,,Under Hearing,1166,High Court,Critical
LEG-0000261,LG-000076,Encroachment,2023-02-27,,Stay Order Issued,1219,District Court,Critical
LEG-0000262,LG-000078,Compensation Amount Dispute,2024-10-16,2025-04-13,Resolved,0,District Court,Medium
LEG-0000263,LG-000078,Environmental Challenge,2024-04-16,,Pending,805,District Court,Low
LEG-0000264,LG-000078,Environmental Challenge,2024-11-25,,Under Hearing,582,High Court,High
LEG-0000265,LG-000078,Compensation Amount Dispute,2024-11-15,,Stay Order Issued,592,High Court,High
LEG-0000266,LG-000078,Environmental Challenge,2025-03-19,,Pending,468,High Court,Medium
LEG-0000267,LG-000079,Environmental Challenge,2022-10-16,,Stay Order Issued,1353,District Court,Low
LEG-0000268,LG-000080,Compensation Amount Dispute,2018-07-24,,Stay Order Issued,2898,High Court,Low
LEG-0000269,LG-000080,R&R Dispute,2019-05-28,,Pending,2590,District Court,Medium
LEG-0000270,LG-000081,Encroachment,2022-10-17,,Stay Order Issued,1352,District Court,Low
LEG-0000271,LG-000082,R&R Dispute,2025-10-29,2026-05-31,Resolved,0,District Court,Low
LEG-0000272,LG-000082,Environmental Challenge,2025-06-14,2026-02-17,Resolved,0,High Court,High
LEG-0000273,LG-000082,Environmental Challenge,2025-09-21,,Under Hearing,282,Revenue Tribunal,Low
LEG-0000274,LG-000082,Title Dispute,2025-07-10,2025-12-28,Resolved,0,High Court,Low
LEG-0000275,LG-000083,R&R Dispute,2023-09-10,,Pending,1024,Revenue Tribunal,Low
