geo_id,project_id,latitude,longitude,state,district,village,location_name
GEO-000048,LG-000048,28.370788,91.800226,Arunachal Pradesh,West Kameng,Fatehpur (West Kameng),West Kameng Infrastructure Site 48
GEO-000049,LG-000049,28.706329,94.63025,Arunachal Pradesh,West Siang,Devpur (West Siang),West Siang Infrastructure Site 49
GEO-000050,LG-000050,26.70873,93.863303,Arunachal Pradesh,Itanagar,Rampur (Itanagar),Itanagar Infrastructure Site 50
GEO-000051,LG-000051,26.988239,93.212691,Arunachal Pradesh,Bichom,Kishanpur (Bichom),Bichom Infrastructure Site 51
GEO-000052,LG-000052,24.333532,90.402022,Assam,Bajali,Anandpur (Bajali),Bajali Infrastructure Site 52
GEO-000053,LG-000053,27.026355,92.534625,Assam,Baksa,Anandpur (Baksa),Baksa Infrastructure Site 53
GEO-000054,LG-000054,24.680012,90.67788,Assam,Barpeta,Govindpur (Barpeta),Barpeta Infrastructure Site 54
GEO-000055,LG-000055,25.428743,93.637163,Assam,Biswanath,Rampur (Biswanath),Biswanath Infrastructure Site 55
GEO-000056,LG-000056,24.952035,90.310194,Assam,Bongaigaon,Nandpur (Bongaigaon),Bongaigaon Infrastructure Site 56
GEO-000057,LG-000057,24.829126,90.907534,Assam,Cachar,Gopalpur (Cachar),Cachar Infrastructure Site 57
GEO-000058,LG-000058,26.532725,93.643564,Assam,Charaideo,Haripur (Charaideo),Charaideo Infrastructure Site 58
GEO-000059,LG-000059,26.417268,89.948439,Assam,Chirang,Anandpur (Chirang),Chirang Infrastructure Site 59
GEO-000060,LG-000060,27.838897,93.012714,Assam,Darrang,Haripur (Darrang),Darrang Infrastructure Site 60
GEO-000061,LG-000061,27.70957,94.487698,Assam,Dhemaji,Kalyanpur (Dhemaji),Dhemaji Infrastructure Site 61
GEO-000062,LG-000062,27.724118,92.188501,Assam,Dhubri,Anandpur (Dhubri),Dhubri Infrastructure Site 62
GEO-000063,LG-000063,27.828978,94.428002,Assam,Dibrugarh,Chandpur (Dibrugarh),Dibrugarh Infrastructure Site 63
GEO-000064,LG-000064,25.367499,93.135508,Assam,Dima Hasao,Gopalpur (Dima Hasao),Dima Hasao Infrastructure Site 64
GEO-000065,LG-000065,24.294146,93.682345,Assam,Goalpara,Fatehpur (Goalpara),Goalpara Infrastructure Site 65
GEO-000066,LG-000066,26.611262,95.454768,Assam,Golaghat,Devpur (Golaghat),Golaghat Infrastructure Site 66
GEO-000067,LG-000067,26.546481,89.782188,Assam,Hailakandi,Rampur (Hailakandi),Hailakandi Infrastructure Site 67
GEO-000068,LG-000068,27.392152,93.798067,Assam,Hojai,Devpur (Hojai),Hojai Infrastructure Site 68
GEO-000069,LG-000069,26.174723,93.777778,Assam,Jorhat,Shivpur (Jorhat),Jorhat Infrastructure Site 69
GEO-000070,LG-000070,26.162184,93.447905,Assam,Kamrup,Fatehpur (Kamrup),Kamrup Infrastructure Site 70
GEO-000071,LG-000071,26.834413,92.234006,Assam,Kamrup Metropolitan,Shivpur (Kamrup Metropolitan),Kamrup Metropolitan Infrastructure Site 71
GEO-000072,LG-000072,26.378692,89.876113,Assam,Karbi Anglong,Nandpur (Karbi Anglong),Karbi Anglong Infrastructure Site 72
GEO-000073,LG-000073,26.583255,91.988619,Assam,Karimganj,Anandpur (Karimganj),Karimganj Infrastructure Site 73
GEO-000074,LG-000074,24.266091,90.544351,Assam,Kokrajhar,Madhavpur (Kokrajhar),Kokrajhar Infrastructure Site 74
GEO-000075,LG-000075,25.095667,93.202816,Assam,Lakhimpur,Haripur (Lakhimpur),Lakhimpur Infrastructure Site 75
GEO-000076,LG-000076,24.367711,90.264299,Assam,Majuli,Rampur (Majuli),Majuli Infrastructure Site 76
GEO-000077,LG-000077,27.621459,90.846985,Assam,Morigaon,Nandpur (Morigaon),Morigaon Infrastructure Site 77
GEO-000078,LG-000078,25.876222,90.999325,Assam,Nagaon,Rampur (Nagaon),Nagaon Infrastructure Site 78
GEO-000079,LG-000079,27.808084,92.682751,Assam,Nalbari,Sultanpur (Nalbari),Nalbari Infrastructure Site 79
GEO-000080,LG-000080,27.98999,90.742699,Assam,Sivasagar,Gopalpur (Sivasagar),Sivasagar Infrastructure Site 80
GEO-000081,LG-000081,26.72282,95.258888,Assam,Sonitpur,Nandpur (Sonitpur),Sonitpur Infrastructure Site 81
GEO-000082,LG-000082,24.432183,93.850955,Assam,South Salmara-Mankachar,Fatehpur (South Salmara-Mankachar),South Salmara-Mankachar Infrastructure Site 82
GEO-000083,LG-000083,24.627497,93.532353,Assam,Tinsukia,Kishanpur (Tinsukia),Tinsukia Infrastructure Site 83
GEO-000084,LG-000084,27.972291,94.26565,Assam,Udalguri,Sultanpur (Udalguri),Udalguri Infrastructure Site 84
GEO-000085,LG-000085,24.277769,93.619929,Assam,West Karbi Anglong,Haripur (West Karbi Anglong),West Karbi Anglong Infrastructure Site 85
GEO-000086,LG-000086,26.756422,85.499891,Bihar,Araria,Kalyanpur (Araria),Araria Infrastructure Site 86
GEO-000087,LG-000087,25.371536,86.213239,Bihar,Arwal,Sultanpur (Arwal),Arwal Infrastructure Site 87
GEO-000088,LG-000088,26.363556,87.970059,Bihar,Aurangabad,Fatehpur (Aurangabad),Aurangabad Infrastructure Site 88
GEO-000089,LG-000089,26.724512,85.784241,Bihar,Banka,Nandpur (Banka),Banka Infrastructure Site 89
GEO-000090,LG-000090,26.220764,87.446101,Bihar,Begusarai,Rampur (Begusarai),Begusarai Infrastructure Site 90
GEO-000091,LG-000091,24.685004,84.834135,Bihar,Bhagalpur,Devpur (Bhagalpur),Bhagalpur Infrastructure Site 91
GEO-000092,LG-000092,25.156591,85.426612,Bihar,Bhojpur,Madhavpur (Bhojpur),Bhojpur Infrastructure Site 92
GEO-000093,LG-000093,26.647029,85.079891,Bihar,Buxar,Rampur (Buxar),Buxar Infrastructure Site 93
GEO-000094,LG-000094,26.248633,84.518516,Bihar,Darbhanga,Haripur (Darbhanga),Darbhanga Infrastructure Site 94
GEO-000095,LG-000095,26.683284,84.848393,Bihar,East Champaran,Kishanpur (East Champaran),East Champaran Infrastructure Site 95
GEO-000096,LG-000096,25.736146,86.301337,Bihar,Gaya,Kishanpur (Gaya),Gaya Infrastructure Site 96
GEO-000097,LG-000097,24.50936,87.413601,Bihar,Gopalganj,Haripur (Gopalganj),Gopalganj Infrastructure Site 97
GEO-000098,LG-000098,25.011521,85.498722,Bihar,Jamui,Shivpur (Jamui),Jamui Infrastructure Site 98
GEO-000099,LG-000099,24.581443,86.86105,Bihar,Jehanabad,Kalyanpur (Jehanabad),Jehanabad Infrastructure Site 99
GEO-000100,LG-000100,27.066501,87.095696,Bihar,Kaimur,Shivpur (Kaimur),Kaimur Infrastructure Site 100
GEO-000101,LG-000101,27.172303,85.734384,Bihar,Katihar,Bhavanipur (Katihar),Katihar Infrastructure Site 101
GEO-000102,LG-000102,26.904552,84.411852,Bihar,Khagaria,Fatehpur (Khagaria),Khagaria Infrastructure Site 102
GEO-000103,LG-000103,26.108003,87.427072,Bihar,Kishanganj,Sultanpur (Kishanganj),Kishanganj Infrastructure Site 103
GEO-000104,LG-000104,26.00088,85.800838,Bihar,Lakhisarai,Govindpur (Lakhisarai),Lakhisarai Infrastructure Site 104
GEO-000105,LG-000105,24.532393,83.540989,Bihar,Madhepura,Fatehpur (Madhepura),Madhepura Infrastructure Site 105
GEO-000106,LG-000106,26.448002,83.437485,Bihar,Madhubani,Anandpur (Madhubani),Madhubani Infrastructure Site 106
GEO-000107,LG-000107,26.549034,86.082606,Bihar,Munger,Kishanpur (Munger),Munger Infrastructure Site 107
GEO-000108,LG-000108,25.123242,84.806424,Bihar,Muzaffarpur,Madhavpur (Muzaffarpur),Muzaffarpur Infrastructure Site 108
GEO-000109,LG-000109,27.207123,85.093722,Bihar,Nalanda,Kalyanpur (Nalanda),Nalanda Infrastructure Site 109
GEO-000110,LG-000110,26.377144,86.581076,Bihar,Nawada,Devpur (Nawada),Nawada Infrastructure Site 110
GEO-000111,LG-000111,27.418226,83.757954,Bihar,Patna,Kalyanpur (Patna),Patna Infrastructure Site 111
GEO-000112,LG-000112,25.32064,87.710022,Bihar,Purnia,Kishanpur (Purnia),Purnia Infrastructure Site 112
GEO-000113,LG-000113,25.301416,86.995343,Bihar,Rohtas,Devpur (Rohtas),Rohtas Infrastructure Site 113
GEO-000114,LG-000114,25.177913,84.881825,Bihar,Saharsa,Gopalpur (Saharsa),Saharsa Infrastructure Site 114
GEO-000115,LG-000115,24.543413,87.965123,Bihar,Samastipur,Nandpur (Samastipur),Samastipur Infrastructure Site 115
GEO-000116,LG-000116,27.376971,85.930865,Bihar,Saran,Madhavpur (Saran),Saran Infrastructure Site 116
GEO-000117,LG-000117,25.596193,84.865048,Bihar,Sheikhpura,Kishanpur (Sheikhpura),Sheikhpura Infrastructure Site 117
GEO-000118,LG-000118,25.548735,83.985528,Bihar,Sheohar,Bhavanipur (Sheohar),Sheohar Infrastructure Site 118
GEO-000119,LG-000119,26.613783,85.781848,Bihar,Sitamarhi,Rampur (Sitamarhi),Sitamarhi Infrastructure Site 119
GEO-000120,LG-000120,24.806341,84.634787,Bihar,Siwan,Kishanpur (Siwan),Siwan Infrastructure Site 120
GEO-000121,LG-000121,25.34199,86.420875,Bihar,Supaul,Gopalpur (Supaul),Supaul Infrastructure Site 121
GEO-000122,LG-000122,24.436208,87.848235,Bihar,Vaishali,Devpur (Vaishali),Vaishali Infrastructure Site 122
GEO-000123,LG-000123,24.874769,85.424925,Bihar,West Champaran,Kishanpur (West Champaran),West Champaran Infrastructure Site 123
GEO-000124,LG-000124,19.312996,84.095315,Chhattisgarh,Balod,Gopalpur (Balod),Balod Infrastructure Site 124
GEO-000125,LG-000125,22.604033,80.558712,Chhattisgarh,Baloda Bazar,Sultanpur (Baloda Bazar),Baloda Bazar Infrastructure Site 125
GEO-000126,LG-000126,22.510251,84.080128,Chhattisgarh,Balrampur,Govindpur (Balrampur),Balrampur Infrastructure Site 126
GEO-000127,LG-000127,21.11149,84.282602,Chhattisgarh,Bastar,Anandpur (Bastar),Bastar Infrastructure Site 127
GEO-000128,LG-000128,23.708335,82.131703,Chhattisgarh,Bemetara,Anandpur (Bemetara),Bemetara Infrastructure Site 128
GEO-000129,LG-000129,20.002156,83.142805,Chhattisgarh,Bijapur,Chandpur (Bijapur),Bijapur Infrastructure Site 129
GEO-000130,LG-000130,20.842759,81.72619,Chhattisgarh,Bilaspur,Gopalpur (Bilaspur),Bilaspur Infrastructure Site 130
GEO-000131,LG-000131,19.704363,83.508486,Chhattisgarh,Dantewada,Govindpur (Dantewada),Dantewada Infrastructure Site 131
GEO-000132,LG-000132,19.761802,84.311549,Chhattisgarh,Dhamtari,Fatehpur (Dhamtari),Dhamtari Infrastructure Site 132
GEO-000133,LG-000133,21.242222,80.783096,Chhattisgarh,Durg,Bhavanipur (Durg),Durg Infrastructure Site 133
GEO-000134,LG-000134,18.156082,80.638314,Chhattisgarh,Gariaband,Shivpur (Gariaband),Gariaband Infrastructure Site 134
GEO-000135,LG-000135,20.256702,82.025104,Chhattisgarh,Gaurela-Pendra-Marwahi,Chandpur (Gaurela-Pendra-Marwahi),Gaurela-Pendra-Marwahi Infrastructure Site 135
GEO-000136,LG-000136,20.157709,80.959094,Chhattisgarh,Janjgir-Champa,Nandpur (Janjgir-Champa),Janjgir-Champa Infrastructure Site 136
GEO-000137,LG-000137,20.277437,81.847588,Chhattisgarh,Jashpur,Bhavanipur (Jashpur),Jashpur Infrastructure Site 137
GEO-000138,LG-000138,23.216859,80.260482,Chhattisgarh,Kabirdham,Nandpur (Kabirdham),Kabirdham Infrastructure Site 138
GEO-000139,LG-000139,21.451303,83.371038,Chhattisgarh,Kanker,Shivpur (Kanker),Kanker Infrastructure Site 139
GEO-000140,LG-000140,18.404982,82.537825,Chhattisgarh,Kondagaon,Devpur (Kondagaon),Kondagaon Infrastructure Site 140
GEO-000141,LG-000141,17.830101,83.334654,Chhattisgarh,Korba,Nandpur (Korba),Korba Infrastructure Site 141
GEO-000142,LG-000142,23.648834,82.664052,Chhattisgarh,Koriya,Gopalpur (Koriya),Koriya Infrastructure Site 142
GEO-000143,LG-000143,18.006112,84.001358,Chhattisgarh,Mahasamund,Haripur (Mahasamund),Mahasamund Infrastructure Site 143
GEO-000144,LG-000144,23.468786,81.430592,Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,Bhavanipur (Manendragarh-Chirmiri-Bharatpur),Manendragarh-Chirmiri-Bharatpur Infrastructure Site 144
GEO-000145,LG-000145,20.820924,83.955492,Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,Sultanpur (Mohla-Manpur-Ambagarh Chowki),Mohla-Manpur-Ambagarh Chowki Infrastructure Site 145
GEO-000146,LG-000146,23.021925,82.422565,Chhattisgarh,Mungeli,Madhavpur (Mungeli),Mungeli Infrastructure Site 146
GEO-000147,LG-000147,22.436439,81.512325,Chhattisgarh,Narayanpur,Sultanpur (Narayanpur),Narayanpur Infrastructure Site 147
GEO-000148,LG-000148,23.554488,81.633415,Chhattisgarh,Raigarh,Haripur (Raigarh),Raigarh Infrastructure Site 148
GEO-000149,LG-000149,19.009954,80.231247,Chhattisgarh,Raipur,Govindpur (Raipur),Raipur Infrastructure Site 149
GEO-000150,LG-000150,21.838278,84.009316,Chhattisgarh,Rajnandgaon,Gopalpur (Rajnandgaon),Rajnandgaon Infrastructure Site 150
GEO-000151,LG-000151,17.942972,81.183449,Chhattisgarh,Sarangarh-Bilaigarh,Bhavanipur (Sarangarh-Bilaigarh),Sarangarh-Bilaigarh Infrastructure Site 151
GEO-000152,LG-000152,19.394646,81.638549,Chhattisgarh,Sakti,Devpur (Sakti),Sakti Infrastructure Site 152
GEO-000153,LG-000153,23.04232,83.814581,Chhattisgarh,Sukma,Govindpur (Sukma),Sukma Infrastructure Site 153
GEO-000154,LG-000154,20.844115,83.556417,Chhattisgarh,Surajpur,Shivpur (Surajpur),Surajpur Infrastructure Site 154
GEO-000155,LG-000155,21.477054,84.367379,Chhattisgarh,Surguja,Kalyanpur (Surguja),Surguja Infrastructure Site 155
GEO-000156,LG-000156,20.492838,82.850734,Chhattisgarh,Khairagarh-Chhuikhadan-Gandai,Kishanpur (Khairagarh-Chhuikhadan-Gandai),Khairagarh-Chhuikhadan-Gandai Infrastructure Site 156
GEO-000157,LG-000157,15.100659,73.822745,Goa,North Goa,Nandpur (North Goa),North Goa Infrastructure Site 157
GEO-000158,LG-000158,15.675004,73.879872,Goa,South Goa,Devpur (South Goa),South Goa Infrastructure Site 158
GEO-000159,LG-000159,22.044632,74.00191,Gujarat,Ahmedabad,Govindpur (Ahmedabad),Ahmedabad Infrastructure Site 159
GEO-000160,LG-000160,22.329821,70.488845,Gujarat,Amreli,Chandpur (Amreli),Amreli Infrastructure Site 160
GEO-000161,LG-000161,24.186009,69.745385,Gujarat,Anand,Madhavpur (Anand),Anand Infrastructure Site 161
GEO-000162,LG-000162,22.432269,70.561762,Gujarat,Aravalli,Bhavanipur (Aravalli),Aravalli Infrastructure Site 162
GEO-000163,LG-000163,23.34713,70.70889,Gujarat,Banaskantha,Anandpur (Banaskantha),Banaskantha Infrastructure Site 163
GEO-000164,LG-000164,23.263648,73.873806,Gujarat,Bharuch,Fatehpur (Bharuch),Bharuch Infrastructure Site 164
GEO-000165,LG-000165,21.356762,68.664543,Gujarat,Bhavnagar,Gopalpur (Bhavnagar),Bhavnagar Infrastructure Site 165
GEO-000166,LG-000166,23.480309,73.011334,Gujarat,Botad,Nandpur (Botad),Botad Infrastructure Site 166
GEO-000167,LG-000167,20.922482,70.888529,Gujarat,Chhota Udaipur,Chandpur (Chhota Udaipur),Chhota Udaipur Infrastructure Site 167
GEO-000168,LG-000168,24.275111,68.924625,Gujarat,Dahod,Kishanpur (Dahod),Dahod Infrastructure Site 168
GEO-000169,LG-000169,23.036261,71.891477,Gujarat,Dang,Madhavpur (Dang),Dang Infrastructure Site 169
GEO-000170,LG-000170,20.422178,70.888683,Gujarat,Devbhumi Dwarka,Gopalpur (Devbhumi Dwarka),Devbhumi Dwarka Infrastructure Site 170
GEO-000171,LG-000171,23.740143,68.968591,Gujarat,Gandhinagar,Bhavanipur (Gandhinagar),Gandhinagar Infrastructure Site 171
GEO-000172,LG-000172,20.488091,68.218248,Gujarat,Gir Somnath,Kalyanpur (Gir Somnath),Gir Somnath Infrastructure Site 172
GEO-000173,LG-000173,21.305217,68.315209,Gujarat,Jamnagar,Nandpur (Jamnagar),Jamnagar Infrastructure Site 173
GEO-000174,LG-000174,24.470095,68.34398,Gujarat,Junagadh,Bhavanipur (Junagadh),Junagadh Infrastructure Site 174
GEO-000175,LG-000175,20.596211,73.26038,Gujarat,Kheda,Govindpur (Kheda),Kheda Infrastructure Site 175
GEO-000176,LG-000176,23.726001,71.194943,Gujarat,Kutch,Haripur (Kutch),Kutch Infrastructure Site 176
GEO-000177,LG-000177,23.947933,68.866843,Gujarat,Mahisagar,Gopalpur (Mahisagar),Mahisagar Infrastructure Site 177
GEO-000178,LG-000178,24.65106,72.601655,Gujarat,Mehsana,Anandpur (Mehsana),Mehsana Infrastructure Site 178
GEO-000179,LG-000179,23.520339,70.462543,Gujarat,Morbi,Nandpur (Morbi),Morbi Infrastructure Site 179
GEO-000180,LG-000180,24.286717,72.077337,Gujarat,Narmada,Nandpur (Narmada),Narmada Infrastructure Site 180
GEO-000181,LG-000181,23.574319,72.9694,Gujarat,Navsari,Kalyanpur (Navsari),Navsari Infrastructure Site 181
GEO-000182,LG-000182,24.033318,72.456915,Gujarat,Panchmahal,Govindpur (Panchmahal),Panchmahal Infrastructure Site 182
GEO-000183,LG-000183,23.780451,73.033958,Gujarat,Patan,Kishanpur (Patan),Patan Infrastructure Site 183
GEO-000184,LG-000184,21.350344,71.186634,Gujarat,Porbandar,Anandpur (Porbandar),Porbandar Infrastructure Site 184
GEO-000185,LG-000185,21.597758,73.216789,Gujarat,Rajkot,Devpur (Rajkot),Rajkot Infrastructure Site 185
GEO-000186,LG-000186,21.831423,74.466914,Gujarat,Sabarkantha,Nandpur (Sabarkantha),Sabarkantha Infrastructure Site 186
GEO-000187,LG-000187,22.471788,70.410571,Gujarat,Surat,Sultanpur (Surat),Surat Infrastructure Site 187
GEO-000188,LG-000188,23.33069,68.717242,Gujarat,Surendranagar,Madhavpur (Surendranagar),Surendranagar Infrastructure Site 188
GEO-000189,LG-000189,22.158095,71.666641,Gujarat,Tapi,Bhavanipur (Tapi),Tapi Infrastructure Site 189
GEO-000190,LG-000190,21.059874,73.88208,Gujarat,Vadodara,Devpur (Vadodara),Vadodara Infrastructure Site 190
GEO-000191,LG-000191,24.452707,73.838854,Gujarat,Valsad,Sultanpur (Valsad),Valsad Infrastructure Site 191
GEO-000192,LG-000192,29.834254,75.574832,Haryana,Ambala,Anandpur (Ambala),Ambala Infrastructure Site 192
GEO-000193,LG-000193,29.255354,77.00879,Haryana,Bhiwani,Kalyanpur (Bhiwani),Bhiwani Infrastructure Site 193
GEO-000194,LG-000194,29.093401,75.535456,Haryana,Charkhi Dadri,Govindpur (Charkhi Dadri),Charkhi Dadri Infrastructure Site 194
GEO-000195,LG-000195,28.531548,75.241046,Haryana,Faridabad,Gopalpur (Faridabad),Faridabad Infrastructure Site 195
GEO-000196,LG-000196,28.706065,76.896484,Haryana,Fatehabad,Govindpur (Fatehabad),Fatehabad Infrastructure Site 196
GEO-000197,LG-000197,29.647292,76.654756,Haryana,Gurugram,Bhavanipur (Gurugram),Gurugram Infrastructure Site 197
GEO-000198,LG-000198,29.539152,76.487518,Haryana,Hisar,Madhavpur (Hisar),Hisar Infrastructure Site 198
GEO-000199,LG-000199,29.010635,77.022294,Haryana,Jhajjar,Haripur (Jhajjar),Jhajjar Infrastructure Site 199
GEO-000200,LG-000200,30.503486,76.298689,Haryana,Jind,Chandpur (Jind),Jind Infrastructure Site 200
GEO-000201,LG-000201,30.061792,74.770087,Haryana,Kaithal,Devpur (Kaithal),Kaithal Infrastructure Site 201
GEO-000202,LG-000202,29.775948,75.890649,Haryana,Karnal,Govindpur (Karnal),Karnal Infrastructure Site 202
GEO-000203,LG-000203,29.034254,76.772063,Haryana,Kurukshetra,Kishanpur (Kurukshetra),Kurukshetra Infrastructure Site 203
GEO-000204,LG-000204,30.447004,76.417891,Haryana,Mahendragarh,Sultanpur (Mahendragarh),Mahendragarh Infrastructure Site 204
GEO-000205,LG-000205,28.408652,76.216391,Haryana,Nuh,Madhavpur (Nuh),Nuh Infrastructure Site 205
GEO-000206,LG-000206,28.146252,77.364124,Haryana,Palwal,Kalyanpur (Palwal),Palwal Infrastructure Site 206
GEO-000207,LG-000207,28.417726,74.846832,Haryana,Panchkula,Kalyanpur (Panchkula),Panchkula Infrastructure Site 207
GEO-000208,LG-000208,30.581414,75.031221,Haryana,Panipat,Bhavanipur (Panipat),Panipat Infrastructure Site 208
