rr_id,project_id,affected_families,families_eligible,families_rehabilitated,families_pending,houses_required,houses_completed,rr_budget,rr_spent,rr_completion_percentage,rr_status
RR-000044,LG-000044,2425,1966,1791,175,1966,1791,1929603462.18,1757843235.38,91.1,In Progress
RR-000045,LG-000045,3846,3331,3275,56,3331,3275,4996181952.85,4912187299.78,98.32,In Progress
RR-000046,LG-000046,3795,3700,3671,29,3700,3671,7754290019.4,7693513151.68,99.22,In Progress
RR-000047,LG-000047,315,263,144,119,263,131,11166178572.85,6113801195.78,54.75,In Progress
RR-000048,LG-000048,3098,3061,1071,1990,3061,918,7369354245.07,2578431361.15,34.99,Delayed
RR-000049,LG-000049,2022,1747,960,787,1747,873,11439660115.69,6286247115.66,54.95,In Progress
RR-000050,LG-000050,3945,3468,1907,1561,3468,1734,11451542069.73,6297027314.58,54.99,In Progress
RR-000051,LG-000051,3409,3244,1784,1460,3244,1622,3003065847.41,1651501070.22,54.99,In Progress
RR-000052,LG-000052,4790,4267,4261,6,4267,4261,10707848487.15,10692791751.52,99.86,In Progress
RR-000053,LG-000053,1815,1508,1311,197,1508,1311,3582702992.55,3114670837.69,86.94,In Progress
RR-000054,LG-000054,2020,2015,705,1310,2015,604,13841316771.94,4842743585.22,34.99,Delayed
RR-000055,LG-000055,2488,2071,1866,205,2071,1866,13434001190.07,12104223187.19,90.1,In Progress
RR-000056,LG-000056,772,728,254,474,728,218,9044191796.28,3155528456.39,34.89,Delayed
RR-000057,LG-000057,4725,4458,3914,544,4458,3914,10446141676.6,9171421830.91,87.8,In Progress
RR-000058,LG-000058,194,183,100,83,183,91,5526524351.36,3019958661.95,54.64,In Progress
RR-000059,LG-000059,1837,1660,913,747,1660,830,11644367296.85,6404402013.27,55.0,In Progress
RR-000060,LG-000060,2776,2664,1465,1199,2664,1332,7683816211.52,4225522053.26,54.99,In Progress
RR-000061,LG-000061,3412,3406,2937,469,3406,2937,3060549574.95,2639117469.65,86.23,In Progress
RR-000062,LG-000062,4732,4166,2291,1875,4166,2083,2253195984.38,1239095535.34,54.99,In Progress
RR-000063,LG-000063,943,758,739,19,758,739,12105490591.77,11802054811.77,97.49,In Progress
RR-000064,LG-000064,352,335,321,14,335,321,12994681847.3,12451620516.37,95.82,In Progress
RR-000065,LG-000065,2972,2463,1354,1109,2463,1231,9042106924.78,4970772544.11,54.97,In Progress
RR-000066,LG-000066,3448,3218,1769,1449,3218,1609,13863053436.08,7620802215.17,54.97,In Progress
RR-000067,LG-000067,267,217,119,98,217,108,685538554.65,375940497.71,54.84,In Progress
RR-000068,LG-000068,3345,3336,2968,368,3336,2968,44783248.22,39843129.71,88.97,In Progress
RR-000069,LG-000069,3289,2840,1562,1278,2840,1420,2825721686.06,1554146927.33,55.0,In Progress
RR-000070,LG-000070,262,216,205,11,216,205,10876630546.51,10322728064.97,94.91,In Progress
RR-000071,LG-000071,1300,1042,944,98,1042,944,503731838.95,456355907.84,90.6,In Progress
RR-000072,LG-000072,4461,4359,4083,276,4359,4083,14871522006.37,13929897763.71,93.67,In Progress
RR-000073,LG-000073,3288,2667,2563,104,2667,2563,13526124469.33,12998671546.64,96.1,In Progress
RR-000074,LG-000074,1830,1805,1749,56,1805,1749,3267771932.24,3166389534.34,96.9,In Progress
RR-000075,LG-000075,3448,2944,2538,406,2944,2538,14004503455.18,12073175872.71,86.21,In Progress
RR-000076,LG-000076,1057,907,317,590,907,272,14694741748.08,5135868946.13,34.95,Delayed
RR-000077,LG-000077,1948,1691,1523,168,1691,1523,10788098670.46,9716306490.31,90.07,In Progress
RR-000078,LG-000078,1115,931,512,419,931,465,14460185459.15,7952325408.25,54.99,In Progress
RR-000079,LG-000079,4459,4262,4103,159,4262,4103,4024170692.1,3874043254.27,96.27,In Progress
RR-000080,LG-000080,1729,1560,1429,131,1560,1429,1506862146.19,1380324363.4,91.6,In Progress
RR-000081,LG-000081,3510,3265,3152,113,3265,3152,12696679923.26,12257254247.51,96.54,In Progress
RR-000082,LG-000082,1506,1354,744,610,1354,677,8548788369.65,4697413993.37,54.95,In Progress
RR-000083,LG-000083,65,52,51,1,52,51,7362051672.67,7220473755.89,98.08,In Progress
RR-000084,LG-000084,2249,1948,1749,199,1948,1749,14277361460.9,12818842502.63,89.78,In Progress
RR-000085,LG-000085,2971,2965,2596,369,2965,2596,11963860429.59,10474934797.71,87.55,In Progress
RR-000086,LG-000086,4727,3788,3448,340,3788,3448,12610733512.72,11478830293.52,91.02,In Progress
RR-000087,LG-000087,3699,3176,2993,183,3176,2993,802972066.74,756705099.42,94.24,In Progress
RR-000088,LG-000088,4829,4461,4070,391,4461,4070,6999150925.6,6385685780.59,91.24,In Progress
RR-000089,LG-000089,4231,3904,3383,521,3904,3383,6929376715.65,6004631513.59,86.65,In Progress
RR-000090,LG-000090,4681,4040,3604,436,4040,3604,3314754345.38,2957023430.88,89.21,In Progress
RR-000091,LG-000091,1774,1667,1515,152,1667,1515,8796161951.02,7994112391.0,90.88,In Progress
RR-000092,LG-000092,1775,1487,817,670,1487,743,12997291458.13,7141080780.96,54.94,In Progress
RR-000093,LG-000093,4252,3520,1232,2288,3520,1056,6397896845.77,2239263896.02,35.0,Delayed
RR-000094,LG-000094,4318,3771,3436,335,3771,3436,5363989328.21,4887474763.12,91.12,In Progress
RR-000095,LG-000095,4024,3332,1166,2166,3332,999,4722012070.27,1652420790.5,34.99,Delayed
RR-000096,LG-000096,1695,1483,815,668,1483,741,10347070795.99,5686353808.99,54.96,In Progress
RR-000097,LG-000097,1740,1691,1606,85,1691,1606,12812558015.06,12168520503.95,94.97,In Progress
RR-000098,LG-000098,1894,1760,1496,264,1760,1496,3131491239.73,2661767553.77,85.0,In Progress
RR-000099,LG-000099,2748,2234,1228,1006,2234,1117,12726852041.34,6995780799.81,54.97,In Progress
RR-000100,LG-000100,3142,2960,1628,1332,2960,1480,10350790777.12,5692934927.42,55.0,In Progress
RR-000101,LG-000101,3280,2869,2468,401,2869,2468,3283335017.69,2824423431.04,86.02,In Progress
RR-000102,LG-000102,2896,2844,1564,1280,2844,1422,14428921104.71,7934891915.53,54.99,In Progress
RR-000103,LG-000103,2059,2035,1937,98,2035,1937,499305642.91,475260457.16,95.18,In Progress
RR-000104,LG-000104,1991,1709,1591,118,1709,1591,3236303401.78,3012848866.14,93.1,In Progress
RR-000105,LG-000105,3644,3321,1162,2159,3321,996,2474357915.96,865764498.15,34.99,Delayed
RR-000106,LG-000106,2460,2021,1955,66,2021,1955,4584268015.9,4434559114.84,96.73,In Progress
RR-000107,LG-000107,2769,2230,1967,263,2230,1967,9478097946.87,8360277426.68,88.21,In Progress
RR-000108,LG-000108,4177,3570,1249,2321,3570,1071,7010255325.17,2452607535.33,34.99,Delayed
RR-000109,LG-000109,2609,2419,2141,278,2419,2141,10122701439.55,8959364936.78,88.51,In Progress
RR-000110,LG-000110,1493,1317,724,593,1317,658,8453617907.63,4647243253.7,54.97,In Progress
RR-000111,LG-000111,1580,1339,736,603,1339,669,927153791.32,509622995.08,54.97,In Progress
RR-000112,LG-000112,2860,2426,2081,345,2426,2081,7104120029.19,6093847395.2,85.78,In Progress
RR-000113,LG-000113,4972,4329,1515,2814,4329,1298,2635283366.35,922257865.56,35.0,Delayed
RR-000114,LG-000114,3075,2804,2466,338,2804,2466,4438829188.1,3903763472.84,87.95,In Progress
RR-000115,LG-000115,4260,3556,3398,158,3556,3398,13478942396.68,12880046755.88,95.56,In Progress
RR-000116,LG-000116,4693,4360,4288,72,4360,4288,9218149048.0,9065922733.45,98.35,In Progress
RR-000117,LG-000117,4774,4161,3866,295,4161,3866,14459333960.74,13434218959.92,92.91,In Progress
RR-000118,LG-000118,2420,2060,721,1339,2060,618,1421511434.48,497529002.07,35.0,Delayed
RR-000119,LG-000119,1218,1116,956,160,1116,956,2690902507.66,2305110033.44,85.66,In Progress
RR-000120,LG-000120,4512,4124,3560,564,4124,3560,12982042929.35,11206613197.98,86.32,In Progress
RR-000121,LG-000121,1654,1541,1469,72,1541,1469,12595097263.74,12006617703.07,95.33,In Progress
RR-000122,LG-000122,1362,1113,1098,15,1113,1098,12745517988.77,12573745509.14,98.65,In Progress
RR-000123,LG-000123,3339,3140,1727,1413,3140,1570,11773756377.46,6475566007.6,55.0,In Progress
RR-000124,LG-000124,2781,2694,2291,403,2694,2291,14102737949.3,11993085613.16,85.04,In Progress
RR-000125,LG-000125,305,292,275,17,292,275,3003403601.19,2828547912.08,94.18,In Progress
RR-000126,LG-000126,111,97,92,5,97,92,14707887807.2,13949749260.44,94.85,In Progress
RR-000127,LG-000127,4474,4423,1548,2875,4423,1326,1204054476.21,421405455.39,35.0,Delayed
RR-000128,LG-000128,875,814,284,530,814,244,10030494843.55,3499582967.53,34.89,Delayed
RR-000129,LG-000129,960,923,910,13,923,910,10885128759.06,10731817086.4,98.59,In Progress
RR-000130,LG-000130,1861,1583,1434,149,1583,1434,11481846343.83,10401116650.06,90.59,In Progress
RR-000131,LG-000131,3162,2771,1524,1247,2771,1385,7210648037.18,3965726311.32,55.0,In Progress
RR-000132,LG-000132,1817,1576,1453,123,1576,1453,5148198386.47,4746403715.44,92.2,In Progress
RR-000133,LG-000133,206,201,191,10,201,191,7587439283.68,7209954742.2,95.02,In Progress
RR-000134,LG-000134,693,634,577,57,634,577,1663584321.27,1514019169.36,91.01,In Progress
RR-000135,LG-000135,2270,2096,2021,75,2096,2021,11988490444.33,11559512971.37,96.42,In Progress
RR-000136,LG-000136,1102,983,856,127,983,856,9490651665.36,8264494227.41,87.08,In Progress
RR-000137,LG-000137,58,49,45,4,49,45,14528068530.16,13342103752.19,91.84,In Progress
RR-000138,LG-000138,3681,3134,2871,263,3134,2871,6219141842.75,5697241936.99,91.61,In Progress
RR-000139,LG-000139,828,746,712,34,746,712,3583415773.07,3420096555.53,95.44,In Progress
RR-000140,LG-000140,2381,2078,1997,81,2078,1997,3203206104.16,3078345808.47,96.1,In Progress
RR-000141,LG-000141,435,392,386,6,392,386,3858448165.59,3799390285.5,98.47,In Progress
RR-000142,LG-000142,2645,2214,1956,258,2214,1956,10991861379.15,9710966963.69,88.35,In Progress
RR-000143,LG-000143,1316,1085,950,135,1085,950,6254027781.2,5475876859.12,87.56,In Progress
RR-000144,LG-000144,1838,1689,928,761,1689,844,3204385921.72,1760609908.44,54.94,In Progress
RR-000145,LG-000145,1075,862,474,388,862,431,7981188834.63,4388727967.07,54.99,In Progress
RR-000146,LG-000146,4822,3960,3596,364,3960,3596,14647635328.66,13301236525.72,90.81,In Progress
RR-000147,LG-000147,3243,2884,2839,45,2884,2839,6207330977.15,6110475951.5,98.44,In Progress
RR-000148,LG-000148,3952,3212,1124,2088,3212,963,6030343989.02,2110244907.74,34.99,Delayed
RR-000149,LG-000149,4719,3868,2127,1741,3868,1934,2621045660.9,1441304064.31,54.99,In Progress
RR-000150,LG-000150,751,621,528,93,621,528,9472535313.8,8053943068.74,85.02,In Progress
RR-000151,LG-000151,373,312,277,35,312,277,6075977778.38,5394377707.09,88.78,In Progress
RR-000152,LG-000152,2308,2105,736,1369,2105,631,728975671.22,254881754.88,34.96,Delayed
RR-000153,LG-000153,2492,2113,1995,118,2113,1995,7162808917.52,6762803497.61,94.42,In Progress
RR-000154,LG-000154,2045,1767,971,796,1767,883,6335865036.75,3481677957.38,54.95,In Progress
RR-000155,LG-000155,2202,1797,1608,189,1797,1608,6980664535.49,6246471103.54,89.48,In Progress
RR-000156,LG-000156,2552,2156,2093,63,2156,2093,13753727304.9,13351832675.86,97.08,In Progress
RR-000157,LG-000157,1948,1605,1485,120,1605,1485,12514990267.29,11579290060.39,92.52,In Progress
RR-000158,LG-000158,178,149,142,7,149,142,14952231917.98,14249778069.48,95.3,In Progress
RR-000159,LG-000159,491,471,402,69,471,402,13435644221.7,11467365131.9,85.35,In Progress
RR-000160,LG-000160,3939,3412,2981,431,3412,2981,8841745872.64,7724866484.86,87.37,In Progress
RR-000161,LG-000161,2468,2021,707,1314,2021,606,4787578806.48,1674823461.74,34.98,Delayed
RR-000162,LG-000162,4778,4360,3823,537,4360,3822,5057730819.97,4434794707.51,87.68,In Progress
RR-000163,LG-000163,1771,1666,1435,231,1666,1435,680319225.3,585989248.68,86.13,In Progress
RR-000164,LG-000164,2006,1784,1657,127,1784,1657,11120448024.48,10328801780.58,92.88,In Progress
RR-000165,LG-000165,4255,4051,3772,279,4051,3772,13693809131.76,12750690704.76,93.11,In Progress
RR-000166,LG-000166,1910,1577,1574,3,1577,1574,4094164713.93,4086376195.13,99.81,In Progress
RR-000167,LG-000167,274,258,141,117,258,129,5890651532.47,3219309558.44,54.65,In Progress
RR-000168,LG-000168,2900,2676,1471,1205,2676,1338,12111458161.18,6657681223.88,54.97,In Progress
RR-000169,LG-000169,2835,2453,1349,1104,2453,1226,598234999.53,328992667.9,54.99,In Progress
RR-000170,LG-000170,1952,1575,866,709,1575,787,13423204099.13,7380631587.2,54.98,In Progress
RR-000171,LG-000171,3032,2607,2223,384,2607,2223,10020365512.44,8544408336.84,85.27,In Progress
RR-000172,LG-000172,3167,2661,2634,27,2661,2634,1001139681.69,990981556.4,98.99,In Progress
RR-000173,LG-000173,2722,2659,930,1729,2659,797,10609798529.27,3710835890.27,34.98,Delayed
RR-000174,LG-000174,4785,3875,3643,232,3875,3643,6993026860.06,6574347574.5,94.01,In Progress
RR-000175,LG-000175,2256,1805,631,1174,1805,541,6245183437.5,2183219251.56,34.96,Delayed
RR-000176,LG-000176,3392,3132,2840,292,3132,2840,4479614489.45,4061974824.41,90.68,In Progress
RR-000177,LG-000177,4327,4091,1431,2660,4091,1227,4958535963.22,1734457336.44,34.98,Delayed
RR-000178,LG-000178,4608,3906,3334,572,3906,3334,13967745678.93,11922289834.5,85.36,In Progress
RR-000179,LG-000179,2211,1870,1815,55,1870,1815,12436197929.95,12070427402.6,97.06,In Progress
RR-000180,LG-000180,3718,3064,2871,193,3064,2871,11285483355.87,10574615768.51,93.7,In Progress
RR-000181,LG-000181,459,410,225,185,410,205,4831039540.66,2651180235.73,54.88,In Progress
RR-000182,LG-000182,438,381,328,53,381,328,10945852219.34,9423200860.74,86.09,In Progress
RR-000183,LG-000183,1420,1395,767,628,1395,697,12458310239.07,6849837959.4,54.98,In Progress
RR-000184,LG-000184,4599,4556,4388,168,4556,4388,11700747354.97,11269288716.77,96.31,In Progress
RR-000185,LG-000185,4499,3805,1331,2474,3805,1141,3615559635.53,1264733212.85,34.98,Delayed
RR-000186,LG-000186,3080,2670,1468,1202,2670,1335,9892476803.18,5439009718.0,54.98,In Progress
RR-000187,LG-000187,1336,1288,450,838,1288,386,12252902863.23,4280905503.46,34.94,Delayed
RR-000188,LG-000188,2238,1903,1046,857,1903,951,2933622352.09,1612490268.15,54.97,In Progress
RR-000189,LG-000189,1682,1365,477,888,1365,409,10059640167.43,3515346783.78,34.95,Delayed
RR-000190,LG-000190,2958,2517,1384,1133,2517,1258,9055087283.92,4979038856.16,54.99,In Progress
RR-000191,LG-000191,4934,4179,2298,1881,4179,2089,2180263786.27,1198910308.89,54.99,In Progress
RR-000192,LG-000192,2249,1892,1749,143,1892,1749,3233178048.76,2988809940.42,92.44,In Progress
RR-000193,LG-000193,4721,4433,2438,1995,4433,2216,2841305362.93,1562621807.99,55.0,In Progress
RR-000194,LG-000194,460,400,366,34,400,366,6915041769.17,6327263218.79,91.5,In Progress
RR-000195,LG-000195,1670,1508,829,679,1508,754,7645789095.29,4203155941.64,54.97,In Progress
RR-000196,LG-000196,2632,2135,747,1388,2135,640,4414817409.75,1544669135.87,34.99,Delayed
RR-000197,LG-000197,4840,4641,4530,111,4641,4530,2737538709.14,2672064286.23,97.61,In Progress
RR-000198,LG-000198,4846,4788,4199,589,4788,4199,5605252810.74,4915717742.75,87.7,In Progress
RR-000199,LG-000199,3838,3289,1151,2138,3289,986,12245928678.41,4285516542.67,35.0,Delayed
RR-000200,LG-000200,2231,1787,1731,56,1787,1731,260101085.37,251950183.98,96.87,In Progress
RR-000201,LG-000201,4287,4043,1415,2628,4043,1212,5214120397.86,1824877655.94,35.0,Delayed
RR-000202,LG-000202,3508,2958,2771,187,2958,2771,11696370990.37,10956945238.11,93.68,In Progress
RR-000203,LG-000203,4875,3983,2190,1793,3983,1991,2566946784.24,1411401822.12,54.98,In Progress
RR-000204,LG-000204,1795,1491,1489,2,1491,1489,11648012228.28,11632387798.73,99.87,In Progress
RR-000205,LG-000205,1789,1762,616,1146,1762,528,11039822398.95,3859551985.1,34.96,Delayed
RR-000206,LG-000206,3358,2873,2628,245,2873,2628,10255651532.78,9381083267.72,91.47,In Progress
RR-000207,LG-000207,564,503,176,327,503,150,12055292781.78,4218154134.38,34.99,Delayed
RR-000208,LG-000208,3940,3591,1975,1616,3591,1795,11691300964.73,6430052744.46,55.0,In Progress
RR-000209,LG-000209,823,796,704,92,796,704,13286395239.61,11750781719.45,88.44,In Progress
RR-000210,LG-000210,4166,3800,2090,1710,3800,1900,9659465075.7,5312705791.64,55.0,In Progress
RR-000211,LG-000211,1086,873,821,52,873,821,12067661019.38,11348854177.45,94.04,In Progress
RR-000212,LG-000212,243,235,82,153,235,70,7375060481.87,2573425359.63,34.89,Delayed
RR-000213,LG-000213,4313,3655,2010,1645,3655,1827,5964325563.25,3279971103.18,54.99,In Progress
RR-000214,LG-000214,1869,1571,864,707,1571,785,13117709088.22,7214322503.01,55.0,In Progress
RR-000215,LG-000215,127,117,109,8,117,109,12109710182.53,11281695811.07,93.16,In Progress
RR-000216,LG-000216,753,638,547,91,638,547,4496026011.1,3854743304.19,85.74,In Progress
RR-000217,LG-000217,3608,3226,1774,1452,3226,1613,1806446344.54,993377500.07,54.99,In Progress
RR-000218,LG-000218,4189,4130,3996,134,4130,3996,14117410332.19,13659363604.7,96.76,In Progress
RR-000219,LG-000219,4759,4098,1434,2664,4098,1229,8566921885.94,2997795506.21,34.99,Delayed
RR-000220,LG-000220,4527,3999,3856,143,3999,3856,5205775089.81,5019622092.1,96.42,In Progress
RR-000221,LG-000221,3486,3164,3044,120,3164,3044,321511424.47,309317565.13,96.21,In Progress
RR-000222,LG-000222,3861,3821,1337,2484,3821,1146,12898600500.55,4513328675.54,34.99,Delayed
RR-000223,LG-000223,1248,1167,1162,5,1167,1162,7803907264.16,7770471500.39,99.57,In Progress
RR-000224,LG-000224,2002,1787,982,805,1787,893,529528950.6,290989048.4,54.95,In Progress
RR-000225,LG-000225,147,139,120,19,139,120,13019067173.52,11239482451.96,86.33,In Progress
RR-000226,LG-000226,4136,3349,3135,214,3349,3135,8989496747.61,8415070858.09,93.61,In Progress
RR-000227,LG-000227,2857,2745,1509,1236,2745,1372,2526622321.97,1388951943.12,54.97,In Progress
RR-000228,LG-000228,4583,4555,4484,71,4555,4484,14484518624.23,14258744568.84,98.44,In Progress
RR-000229,LG-000229,3087,3041,2980,61,3041,2980,13377490521.29,13109148883.08,97.99,In Progress
RR-000230,LG-000230,4665,3778,3362,416,3778,3362,7693166379.01,6846062828.54,88.99,In Progress
RR-000231,LG-000231,806,719,704,15,719,704,611981517.4,599214170.03,97.91,In Progress
RR-000232,LG-000232,959,935,929,6,935,929,2699492277.03,2682169331.94,99.36,In Progress
RR-000233,LG-000233,592,519,481,38,519,481,11286045079.86,10459706519.1,92.68,In Progress
RR-000234,LG-000234,107,93,89,4,93,89,8714809467.76,8339978953.02,95.7,In Progress
RR-000235,LG-000235,1819,1612,886,726,1612,806,14530185131.89,7986193565.05,54.96,In Progress
RR-000236,LG-000236,156,153,135,18,153,135,4985906390.55,4399329168.13,88.24,In Progress
RR-000237,LG-000237,3215,2628,2552,76,2628,2552,3056887511.56,2968484371.96,97.11,In Progress
RR-000238,LG-000238,3241,3100,1705,1395,3100,1550,5002383521.7,2751310936.93,55.0,In Progress
RR-000239,LG-000239,3195,2828,2723,105,2828,2723,12113784670.99,11664015438.16,96.29,In Progress
RR-000240,LG-000240,88,75,70,5,75,70,3876494434.86,3618061472.54,93.33,In Progress
RR-000241,LG-000241,2987,2457,2149,308,2457,2149,11754093508.31,10280645889.03,87.46,In Progress
RR-000242,LG-000242,3050,2599,909,1690,2599,779,1274333844.04,445698139.37,34.97,Delayed
RR-000243,LG-000243,3105,3067,1686,1381,3067,1533,4702738997.84,2585203113.91,54.97,In Progress
RR-000244,LG-000244,3256,2951,2598,353,2951,2598,13954448475.16,12285210822.93,88.04,In Progress
RR-000245,LG-000245,3400,2818,1549,1269,2818,1409,11251123650.43,6184524675.13,54.97,In Progress
RR-000246,LG-000246,2285,2228,1919,309,2228,1919,2750376485.94,2368928400.59,86.13,In Progress
RR-000247,LG-000247,1221,1138,1039,99,1138,1039,8768111279.18,8005331826.95,91.3,In Progress
RR-000248,LG-000248,3887,3245,3006,239,3245,3006,5040484461.94,4669243849.8,92.63,In Progress
RR-000249,LG-000249,709,651,576,75,651,576,4326034738.05,3827643639.2,88.48,In Progress
RR-000250,LG-000250,4073,3898,3654,244,3898,3654,5004231230.32,4690985355.46,93.74,In Progress
RR-000251,LG-000251,1885,1518,834,684,1518,759,498854318.08,274074111.51,54.94,In Progress
RR-000252,LG-000252,1559,1399,769,630,1399,699,7562452616.95,4156916413.46,54.97,In Progress
RR-000253,LG-000253,3786,3493,3057,436,3493,3057,3303618628.27,2891257413.86,87.52,In Progress
RR-000254,LG-000254,3391,2845,2673,172,2845,2673,8188252441.68,7693215738.7,93.95,In Progress
RR-000255,LG-000255,1101,943,518,425,943,471,7397422871.45,4063483613.37,54.93,In Progress
RR-000256,LG-000256,580,501,175,326,501,150,2493203002.83,870879292.41,34.93,Delayed
RR-000257,LG-000257,2076,2017,1870,147,2017,1870,3978432460.72,3688482251.63,92.71,In Progress
RR-000258,LG-000258,4081,3618,3330,288,3618,3330,7254266934.32,6676812850.0,92.04,In Progress
RR-000259,LG-000259,4244,4232,4003,229,4232,4003,3062186386.35,2896486792.19,94.59,In Progress
RR-000260,LG-000260,1977,1883,1709,174,1883,1709,10301922870.16,9349966109.99,90.76,In Progress
RR-000261,LG-000261,3192,3000,1050,1950,3000,900,9319811085.97,3261933880.09,35.0,Delayed
RR-000262,LG-000262,1123,1041,959,82,1041,959,12255113405.39,11289773060.3,92.12,In Progress
RR-000263,LG-000263,4278,3560,1246,2314,3560,1068,13322372530.7,4662830385.74,35.0,Delayed
RR-000264,LG-000264,4140,3967,3869,98,3967,3869,10111599149.43,9861804161.62,97.53,In Progress
RR-000265,LG-000265,3549,2947,2513,434,2947,2513,8154214601.18,6953356393.88,85.27,In Progress
RR-000266,LG-000266,4158,3824,3818,6,3824,3818,3327310691.61,3322090015.84,99.84,In Progress
RR-000267,LG-000267,3743,3269,1797,1472,3269,1634,2292633042.32,1260281914.06,54.97,In Progress
RR-000268,LG-000268,4652,4573,2515,2058,4573,2286,12727795569.16,6999870075.76,55.0,In Progress
RR-000269,LG-000269,4179,3732,3564,168,3732,3564,10728438723.5,10245486498.0,95.5,In Progress
RR-000270,LG-000270,4971,4086,3638,448,4086,3638,3372288695.98,3002541917.76,89.04,In Progress
RR-000271,LG-000271,1292,1138,398,740,1138,341,1085161723.26,379520532.39,34.97,Delayed
RR-000272,LG-000272,3094,2753,2481,272,2753,2481,2755043409.59,2482841518.05,90.12,In Progress
RR-000273,LG-000273,487,443,434,9,443,434,3712855136.44,3637424670.91,97.97,In Progress
