doc_id,project_id,document_type,submitted_flag,verified_flag,issue_flag,submission_date,verification_date,doc_status
DOC-0000065,LG-000006,Compensation Document,1,1,1,2018-10-09,2018-10-25,Verified
DOC-0000066,LG-000006,Compensation Document,1,1,0,2018-10-02,2018-10-31,Verified
DOC-0000067,LG-000006,Ownership Proof,1,0,1,2018-10-10,,Submitted
DOC-0000068,LG-000006,Identity Document,0,0,0,,,Pending
DOC-0000069,LG-000006,Land Record,0,0,1,,,Pending
DOC-0000070,LG-000006,Identity Document,1,1,0,2018-11-06,2018-12-15,Verified
DOC-0000071,LG-000006,Survey Record,1,0,1,2018-10-16,,Submitted
DOC-0000072,LG-000006,Compensation Document,1,1,0,2018-11-01,2018-11-18,Verified
DOC-0000073,LG-000006,Ownership Proof,1,1,0,2018-10-07,2018-10-30,Verified
DOC-0000074,LG-000006,Identity Document,1,0,1,2018-11-15,,Submitted
DOC-0000075,LG-000007,Survey Record,1,1,1,2023-07-21,2023-08-10,Verified
DOC-0000076,LG-000007,Identity Document,1,1,1,2023-07-25,2023-08-19,Verified
DOC-0000077,LG-000007,Ownership Proof,0,0,1,,,Pending
DOC-0000078,LG-000007,Ownership Proof,0,0,1,,,Pending
DOC-0000079,LG-000007,Land Record,1,1,1,2023-06-11,2023-07-07,Verified
DOC-0000080,LG-000007,Land Record,1,0,1,2023-06-11,,Submitted
DOC-0000081,LG-000007,Land Record,1,1,0,2023-07-23,2023-08-06,Verified
DOC-0000082,LG-000007,Compensation Document,1,1,0,2023-07-18,2023-08-18,Verified
DOC-0000083,LG-000007,Identity Document,1,1,0,2023-07-12,2023-08-08,Verified
DOC-0000084,LG-000007,Survey Record,0,0,1,,,Pending
DOC-0000085,LG-000007,Identity Document,1,0,1,2023-07-22,,Submitted
DOC-0000086,LG-000007,Ownership Proof,1,1,0,2023-06-14,2023-07-10,Verified
DOC-0000087,LG-000007,Identity Document,1,1,0,2023-06-30,2023-07-18,Verified
DOC-0000088,LG-000007,Identity Document,0,0,1,,,Pending
DOC-0000089,LG-000008,Identity Document,1,1,0,2023-08-25,2023-09-14,Verified
DOC-0000090,LG-000008,Ownership Proof,0,0,0,,,Pending
DOC-0000091,LG-000008,Identity Document,1,1,1,2023-08-13,2023-08-30,Verified
DOC-0000092,LG-000008,Ownership Proof,1,1,1,2023-08-21,2023-09-16,Verified
DOC-0000093,LG-000008,Land Record,1,0,0,2023-08-03,,Submitted
DOC-0000094,LG-000008,Ownership Proof,0,0,1,,,Pending
DOC-0000095,LG-000008,Survey Record,1,1,1,2023-08-10,2023-09-04,Verified
DOC-0000096,LG-000008,Survey Record,1,1,1,2023-07-28,2023-08-09,Verified
DOC-0000097,LG-000008,Land Record,0,0,1,,,Pending
DOC-0000098,LG-000008,Ownership Proof,1,1,1,2023-07-18,2023-08-26,Verified
DOC-0000099,LG-000008,Identity Document,1,1,0,2023-08-04,2023-09-13,Verified
DOC-0000100,LG-000008,Identity Document,1,1,0,2023-08-17,2023-09-17,Verified
DOC-0000101,LG-000008,Identity Document,1,1,1,2023-08-05,2023-09-02,Verified
DOC-0000102,LG-000008,Land Record,1,1,0,2023-08-25,2023-09-26,Verified
DOC-0000103,LG-000009,Land Record,1,1,0,2020-01-20,2020-02-03,Verified
DOC-0000104,LG-000009,Ownership Proof,1,1,1,2020-02-03,2020-03-09,Verified
DOC-0000105,LG-000009,Compensation Document,1,1,0,2020-02-21,2020-03-21,Verified
DOC-0000106,LG-000009,Survey Record,1,1,0,2020-03-08,2020-04-08,Verified
DOC-0000107,LG-000009,Land Record,1,1,0,2020-02-08,2020-02-27,Verified
DOC-0000108,LG-000009,Ownership Proof,1,1,0,2020-02-07,2020-02-20,Verified
DOC-0000109,LG-000009,Survey Record,1,1,0,2020-01-14,2020-02-04,Verified
DOC-0000110,LG-000009,Ownership Proof,1,1,0,2020-02-06,2020-03-04,Verified
DOC-0000111,LG-000009,Land Record,1,1,0,2020-01-15,2020-02-12,Verified
DOC-0000112,LG-000009,Land Record,0,0,0,,,Pending
DOC-0000113,LG-000009,Identity Document,1,1,0,2020-02-28,2020-03-25,Verified
DOC-0000114,LG-000009,Ownership Proof,1,1,0,2020-02-17,2020-03-17,Verified
DOC-0000115,LG-000009,Ownership Proof,1,1,0,2020-01-27,2020-03-02,Verified
DOC-0000116,LG-000009,Land Record,1,1,0,2020-03-07,2020-04-06,Verified
DOC-0000117,LG-000010,Survey Record,1,0,0,2019-03-05,,Submitted
DOC-0000118,LG-000010,Survey Record,1,1,0,2019-03-15,2019-04-21,Verified
DOC-0000119,LG-000010,Land Record,1,1,1,2019-02-15,2019-03-13,Verified
DOC-0000120,LG-000010,Identity Document,1,0,1,2019-01-22,,Submitted
DOC-0000121,LG-000010,Land Record,1,1,0,2019-01-27,2019-02-20,Verified
DOC-0000122,LG-000010,Ownership Proof,1,0,0,2019-03-15,,Submitted
DOC-0000123,LG-000010,Land Record,1,1,0,2019-03-02,2019-04-11,Verified
DOC-0000124,LG-000010,Land Record,1,0,0,2019-01-22,,Submitted
DOC-0000125,LG-000010,Survey Record,1,1,0,2019-01-26,2019-03-05,Verified
DOC-0000126,LG-000010,Identity Document,1,1,0,2019-02-26,2019-03-21,Verified
DOC-0000127,LG-000010,Ownership Proof,1,1,0,2019-02-12,2019-02-28,Verified
DOC-0000128,LG-000010,Compensation Document,1,1,0,2019-03-01,2019-03-30,Verified
DOC-0000129,LG-000011,Compensation Document,1,1,1,2020-11-14,2020-12-19,Verified
DOC-0000130,LG-000011,Ownership Proof,1,1,0,2020-11-29,2020-12-23,Verified
DOC-0000131,LG-000011,Ownership Proof,1,0,0,2020-10-24,,Submitted
DOC-0000132,LG-000011,Identity Document,0,0,0,,,Pending
DOC-0000133,LG-000011,Survey Record,1,1,0,2020-11-19,2020-12-07,Verified
DOC-0000134,LG-000011,Identity Document,1,1,0,2020-11-05,2020-12-02,Verified
DOC-0000135,LG-000011,Compensation Document,1,1,1,2020-12-06,2020-12-16,Verified
DOC-0000136,LG-000011,Compensation Document,1,1,0,2020-10-21,2020-11-04,Verified
DOC-0000137,LG-000011,Land Record,1,1,1,2020-10-18,2020-11-15,Verified
DOC-0000138,LG-000011,Identity Document,1,1,1,2020-11-07,2020-11-25,Verified
DOC-0000139,LG-000011,Identity Document,1,1,0,2020-10-23,2020-11-10,Verified
DOC-0000140,LG-000012,Ownership Proof,1,0,0,2020-03-02,,Submitted
DOC-0000141,LG-000012,Land Record,1,1,0,2020-02-13,2020-03-15,Verified
DOC-0000142,LG-000012,Identity Document,1,0,1,2020-01-26,,Submitted
DOC-0000143,LG-000012,Survey Record,1,0,1,2020-01-25,,Submitted
DOC-0000144,LG-000012,Ownership Proof,0,0,0,,,Pending
DOC-0000145,LG-000012,Identity Document,1,1,1,2020-01-30,2020-02-20,Verified
DOC-0000146,LG-000012,Identity Document,1,0,0,2020-01-31,,Submitted
DOC-0000147,LG-000012,Compensation Document,1,0,1,2020-01-25,,Submitted
DOC-0000148,LG-000012,Land Record,1,0,0,2020-02-19,,Submitted
DOC-0000149,LG-000012,Identity Document,1,0,0,2020-02-01,,Submitted
DOC-0000150,LG-000012,Ownership Proof,1,0,0,2020-01-24,,Submitted
DOC-0000151,LG-000013,Ownership Proof,1,1,1,2023-12-29,2024-02-07,Verified
DOC-0000152,LG-000013,Survey Record,1,1,0,2023-11-25,2023-12-29,Verified
DOC-0000153,LG-000013,Compensation Document,1,1,1,2024-01-02,2024-01-25,Verified
DOC-0000154,LG-000013,Land Record,1,1,0,2023-12-21,2024-01-03,Verified
DOC-0000155,LG-000013,Ownership Proof,1,0,0,2023-12-05,,Submitted
DOC-0000156,LG-000013,Survey Record,1,1,0,2023-11-21,2023-12-23,Verified
DOC-0000157,LG-000013,Compensation Document,1,1,0,2023-12-16,2023-12-29,Verified
DOC-0000158,LG-000013,Compensation Document,1,1,0,2024-01-04,2024-02-03,Verified
DOC-0000159,LG-000013,Land Record,1,1,0,2024-01-01,2024-01-20,Verified
DOC-0000160,LG-000013,Compensation Document,1,1,1,2023-12-31,2024-01-20,Verified
DOC-0000161,LG-000013,Identity Document,1,1,0,2024-01-12,2024-02-15,Verified
DOC-0000162,LG-000013,Compensation Document,1,1,0,2023-12-29,2024-01-19,Verified
DOC-0000163,LG-000013,Identity Document,1,1,0,2023-11-30,2023-12-19,Verified
DOC-0000164,LG-000013,Compensation Document,1,1,0,2023-11-29,2024-01-01,Verified
DOC-0000165,LG-000013,Ownership Proof,1,0,0,2023-12-04,,Submitted
DOC-0000166,LG-000014,Survey Record,1,1,0,2022-08-10,2022-09-07,Verified
DOC-0000167,LG-000014,Land Record,1,1,0,2022-07-15,2022-08-10,Verified
DOC-0000168,LG-000014,Ownership Proof,1,1,0,2022-07-31,2022-08-31,Verified
DOC-0000169,LG-000014,Compensation Document,1,0,0,2022-07-28,,Submitted
DOC-0000170,LG-000014,Survey Record,1,1,0,2022-07-22,2022-08-31,Verified
DOC-0000171,LG-000014,Ownership Proof,0,0,0,,,Pending
DOC-0000172,LG-000014,Survey Record,1,1,0,2022-07-05,2022-07-31,Verified
DOC-0000173,LG-000014,Survey Record,1,1,0,2022-06-24,2022-07-24,Verified
DOC-0000174,LG-000014,Survey Record,1,1,0,2022-07-09,2022-08-14,Verified
DOC-0000175,LG-000014,Compensation Document,1,1,0,2022-07-16,2022-08-06,Verified
DOC-0000176,LG-000014,Ownership Proof,1,1,0,2022-07-16,2022-08-24,Verified
DOC-0000177,LG-000014,Identity Document,1,1,0,2022-07-23,2022-08-27,Verified
DOC-0000178,LG-000014,Ownership Proof,1,0,0,2022-07-20,,Submitted
DOC-0000179,LG-000014,Ownership Proof,1,1,0,2022-07-01,2022-07-16,Verified
DOC-0000180,LG-000014,Survey Record,1,1,0,2022-07-06,2022-07-29,Verified
DOC-0000181,LG-000015,Land Record,1,1,0,2019-10-23,2019-11-25,Verified
DOC-0000182,LG-000015,Compensation Document,1,1,0,2019-11-27,2020-01-05,Verified
DOC-0000183,LG-000015,Ownership Proof,1,1,0,2019-11-30,2020-01-09,Verified
DOC-0000184,LG-000015,Compensation Document,1,1,0,2019-11-03,2019-11-26,Verified
DOC-0000185,LG-000015,Compensation Document,1,0,0,2019-10-30,,Submitted
DOC-0000186,LG-000015,Identity Document,1,1,0,2019-11-28,2019-12-16,Verified
DOC-0000187,LG-000015,Identity Document,1,1,0,2019-12-10,2019-12-30,Verified
DOC-0000188,LG-000015,Survey Record,1,1,0,2019-11-22,2019-12-05,Verified
DOC-0000189,LG-000015,Ownership Proof,1,1,1,2019-12-05,2020-01-06,Verified
DOC-0000190,LG-000015,Survey Record,1,1,0,2019-11-26,2019-12-06,Verified
DOC-0000191,LG-000016,Compensation Document,1,0,0,2023-05-28,,Submitted
DOC-0000192,LG-000016,Identity Document,1,0,0,2023-06-12,,Submitted
DOC-0000193,LG-000016,Ownership Proof,1,0,0,2023-06-11,,Submitted
DOC-0000194,LG-000016,Survey Record,1,1,0,2023-06-15,2023-07-16,Verified
DOC-0000195,LG-000016,Land Record,1,1,0,2023-05-28,2023-06-13,Verified
DOC-0000196,LG-000016,Identity Document,1,0,0,2023-06-10,,Submitted
DOC-0000197,LG-000016,Land Record,1,1,0,2023-05-03,2023-05-17,Verified
DOC-0000198,LG-000016,Survey Record,1,0,1,2023-05-20,,Submitted
DOC-0000199,LG-000016,Land Record,1,1,0,2023-05-07,2023-05-21,Verified
DOC-0000200,LG-000016,Survey Record,1,1,0,2023-06-22,2023-07-17,Verified
DOC-0000201,LG-000016,Ownership Proof,1,1,0,2023-06-24,2023-07-28,Verified
DOC-0000202,LG-000016,Ownership Proof,1,1,0,2023-06-01,2023-06-16,Verified
DOC-0000203,LG-000016,Land Record,1,0,0,2023-05-02,,Submitted
DOC-0000204,LG-000016,Land Record,1,1,0,2023-05-30,2023-06-16,Verified
DOC-0000205,LG-000017,Land Record,1,0,0,2020-10-14,,Submitted
DOC-0000206,LG-000017,Compensation Document,1,1,0,2020-11-22,2020-12-30,Verified
DOC-0000207,LG-000017,Compensation Document,1,0,0,2020-10-03,,Submitted
DOC-0000208,LG-000017,Identity Document,1,1,1,2020-10-22,2020-11-12,Verified
DOC-0000209,LG-000017,Compensation Document,1,1,0,2020-10-15,2020-11-17,Verified
DOC-0000210,LG-000017,Compensation Document,1,1,0,2020-10-04,2020-10-23,Verified
DOC-0000211,LG-000017,Ownership Proof,0,0,0,,,Pending
DOC-0000212,LG-000017,Identity Document,1,1,0,2020-11-13,2020-12-16,Verified
DOC-0000213,LG-000017,Identity Document,1,1,0,2020-10-06,2020-10-23,Verified
DOC-0000214,LG-000018,Ownership Proof,1,1,0,2019-10-18,2019-11-02,Verified
DOC-0000215,LG-000018,Identity Document,1,1,1,2019-10-27,2019-12-06,Verified
DOC-0000216,LG-000018,Ownership Proof,1,1,0,2019-10-23,2019-11-04,Verified
DOC-0000217,LG-000018,Survey Record,1,1,1,2019-11-10,2019-12-12,Verified
DOC-0000218,LG-000018,Compensation Document,1,1,0,2019-11-28,2019-12-09,Verified
DOC-0000219,LG-000018,Compensation Document,1,1,0,2019-11-18,2019-12-28,Verified
DOC-0000220,LG-000018,Compensation Document,1,1,1,2019-11-29,2019-12-10,Verified
DOC-0000221,LG-000018,Land Record,0,0,0,,,Pending
DOC-0000222,LG-000018,Land Record,1,0,1,2019-11-26,,Submitted
DOC-0000223,LG-000018,Survey Record,1,1,1,2019-10-13,2019-10-29,Verified
DOC-0000224,LG-000018,Ownership Proof,1,1,1,2019-10-28,2019-11-21,Verified
DOC-0000225,LG-000018,Ownership Proof,1,1,0,2019-11-12,2019-12-20,Verified
DOC-0000226,LG-000018,Ownership Proof,1,1,0,2019-11-11,2019-11-24,Verified
DOC-0000227,LG-000018,Identity Document,1,1,1,2019-10-18,2019-11-09,Verified
DOC-0000228,LG-000018,Ownership Proof,1,0,0,2019-11-24,,Submitted
DOC-0000229,LG-000019,Survey Record,1,1,0,2018-05-04,2018-05-31,Verified
DOC-0000230,LG-000019,Compensation Document,1,1,1,2018-03-13,2018-04-18,Verified
DOC-0000231,LG-000019,Ownership Proof,1,1,0,2018-04-13,2018-04-23,Verified
DOC-0000232,LG-000019,Land Record,1,1,1,2018-04-29,2018-05-20,Verified
DOC-0000233,LG-000019,Compensation Document,1,0,0,2018-04-03,,Submitted
DOC-0000234,LG-000020,Land Record,1,1,0,2018-05-10,2018-05-22,Verified
DOC-0000235,LG-000020,Ownership Proof,1,1,0,2018-05-18,2018-05-30,Verified
DOC-0000236,LG-000020,Compensation Document,1,1,0,2018-06-29,2018-07-31,Verified
DOC-0000237,LG-000020,Identity Document,1,1,0,2018-06-06,2018-07-03,Verified
DOC-0000238,LG-000020,Compensation Document,1,0,0,2018-05-10,,Submitted
DOC-0000239,LG-000020,Compensation Document,1,1,0,2018-05-27,2018-06-19,Verified
DOC-0000240,LG-000020,Survey Record,1,0,0,2018-06-09,,Submitted
DOC-0000241,LG-000021,Ownership Proof,1,1,0,2023-07-05,2023-08-07,Verified
DOC-0000242,LG-000021,Ownership Proof,1,0,0,2023-07-14,,Submitted
DOC-0000243,LG-000021,Identity Document,1,0,0,2023-06-26,,Submitted
DOC-0000244,LG-000021,Survey Record,1,1,0,2023-06-08,2023-06-19,Verified
DOC-0000245,LG-000021,Compensation Document,1,1,0,2023-06-14,2023-06-30,Verified
DOC-0000246,LG-000021,Compensation Document,1,1,0,2023-06-16,2023-07-19,Verified
DOC-0000247,LG-000021,Land Record,1,0,0,2023-07-08,,Submitted
DOC-0000248,LG-000021,Ownership Proof,1,1,0,2023-07-21,2023-08-20,Verified
DOC-0000249,LG-000021,Survey Record,0,0,0,,,Pending
DOC-0000250,LG-000021,Compensation Document,1,0,0,2023-07-30,,Submitted
DOC-0000251,LG-000021,Compensation Document,1,1,0,2023-07-15,2023-08-19,Verified
DOC-0000252,LG-000021,Identity Document,1,1,0,2023-07-28,2023-09-02,Verified
DOC-0000253,LG-000021,Ownership Proof,1,1,0,2023-06-15,2023-07-05,Verified
DOC-0000254,LG-000021,Ownership Proof,1,1,0,2023-06-14,2023-07-02,Verified
DOC-0000255,LG-000021,Identity Document,1,0,0,2023-06-17,,Submitted
DOC-0000256,LG-000022,Ownership Proof,1,1,0,2018-05-03,2018-05-16,Verified
DOC-0000257,LG-000022,Compensation Document,1,1,0,2018-06-23,2018-07-09,Verified
DOC-0000258,LG-000022,Compensation Document,1,0,0,2018-06-11,,Submitted
DOC-0000259,LG-000022,Land Record,1,1,0,2018-06-15,2018-07-15,Verified
DOC-0000260,LG-000022,Compensation Document,1,0,0,2018-05-13,,Submitted
DOC-0000261,LG-000022,Survey Record,1,1,0,2018-06-09,2018-07-14,Verified
DOC-0000262,LG-000022,Identity Document,1,1,0,2018-06-03,2018-06-27,Verified
DOC-0000263,LG-000022,Survey Record,1,0,0,2018-05-09,,Submitted
DOC-0000264,LG-000022,Ownership Proof,1,1,0,2018-06-22,2018-07-03,Verified
DOC-0000265,LG-000022,Compensation Document,1,1,0,2018-05-09,2018-06-10,Verified
DOC-0000266,LG-000022,Ownership Proof,1,1,0,2018-06-12,2018-07-20,Verified
DOC-0000267,LG-000022,Ownership Proof,1,0,1,2018-06-04,,Submitted
DOC-0000268,LG-000023,Compensation Document,1,0,0,2022-09-08,,Submitted
DOC-0000269,LG-000023,Compensation Document,1,1,0,2022-09-30,2022-11-01,Verified
DOC-0000270,LG-000023,Ownership Proof,1,1,0,2022-08-31,2022-09-13,Verified
DOC-0000271,LG-000023,Identity Document,1,1,0,2022-09-19,2022-10-03,Verified
DOC-0000272,LG-000023,Survey Record,1,1,0,2022-09-17,2022-10-02,Verified
DOC-0000273,LG-000023,Ownership Proof,0,0,0,,,Pending
DOC-0000274,LG-000023,Ownership Proof,1,1,0,2022-09-15,2022-09-29,Verified
DOC-0000275,LG-000024,Survey Record,0,0,1,,,Pending
DOC-0000276,LG-000024,Survey Record,1,1,1,2020-08-19,2020-09-17,Verified
DOC-0000277,LG-000024,Land Record,1,1,0,2020-10-02,2020-11-06,Verified
DOC-0000278,LG-000024,Compensation Document,1,1,0,2020-08-12,2020-08-31,Verified
DOC-0000279,LG-000024,Compensation Document,1,0,1,2020-08-14,,Submitted
DOC-0000280,LG-000024,Land Record,0,0,0,,,Pending
DOC-0000281,LG-000024,Land Record,1,1,0,2020-08-31,2020-10-05,Verified
DOC-0000282,LG-000024,Compensation Document,1,1,1,2020-09-05,2020-10-06,Verified
DOC-0000283,LG-000024,Compensation Document,1,1,0,2020-09-10,2020-10-04,Verified
DOC-0000284,LG-000024,Compensation Document,0,0,0,,,Pending
DOC-0000285,LG-000024,Identity Document,1,1,0,2020-09-30,2020-11-02,Verified
DOC-0000286,LG-000024,Identity Document,1,1,1,2020-10-02,2020-11-05,Verified
DOC-0000287,LG-000025,Land Record,1,1,0,2021-10-30,2021-11-24,Verified
DOC-0000288,LG-000025,Survey Record,1,0,1,2021-11-08,,Submitted
DOC-0000289,LG-000025,Compensation Document,1,1,0,2021-11-10,2021-11-26,Verified
DOC-0000290,LG-000025,Ownership Proof,1,1,0,2021-09-29,2021-10-22,Verified
DOC-0000291,LG-000025,Ownership Proof,1,0,0,2021-10-03,,Submitted
DOC-0000292,LG-000025,Identity Document,1,1,0,2021-10-30,2021-11-29,Verified
DOC-0000293,LG-000025,Ownership Proof,1,1,0,2021-10-31,2021-11-22,Verified
DOC-0000294,LG-000025,Land Record,1,1,0,2021-10-03,2021-10-15,Verified
DOC-0000295,LG-000025,Survey Record,1,0,1,2021-10-17,,Submitted
DOC-0000296,LG-000025,Land Record,1,1,1,2021-10-25,2021-11-26,Verified
DOC-0000297,LG-000025,Identity Document,0,0,0,,,Pending
DOC-0000298,LG-000025,Compensation Document,1,1,0,2021-10-22,2021-11-02,Verified
DOC-0000299,LG-000025,Identity Document,1,0,0,2021-10-08,,Submitted
DOC-0000300,LG-000026,Survey Record,1,1,1,2024-07-17,2024-08-25,Verified
DOC-0000301,LG-000026,Survey Record,1,1,1,2024-07-09,2024-07-23,Verified
DOC-0000302,LG-000026,Survey Record,1,1,0,2024-07-23,2024-08-22,Verified
DOC-0000303,LG-000026,Survey Record,1,1,1,2024-07-19,2024-08-04,Verified
DOC-0000304,LG-000026,Ownership Proof,1,0,0,2024-06-21,,Submitted
DOC-0000305,LG-000026,Identity Document,0,0,0,,,Pending
DOC-0000306,LG-000026,Land Record,1,1,0,2024-07-15,2024-07-26,Verified
DOC-0000307,LG-000026,Compensation Document,1,0,1,2024-06-21,,Submitted
DOC-0000308,LG-000027,Land Record,1,0,0,2020-07-06,,Submitted
DOC-0000309,LG-000027,Survey Record,1,0,0,2020-07-11,,Submitted
DOC-0000310,LG-000027,Compensation Document,1,0,0,2020-08-07,,Submitted
DOC-0000311,LG-000027,Ownership Proof,1,1,0,2020-07-06,2020-07-22,Verified
DOC-0000312,LG-000027,Land Record,1,1,0,2020-07-10,2020-07-22,Verified
DOC-0000313,LG-000027,Identity Document,1,1,0,2020-07-09,2020-08-13,Verified
DOC-0000314,LG-000027,Compensation Document,1,1,0,2020-08-05,2020-08-19,Verified
DOC-0000315,LG-000027,Survey Record,1,1,0,2020-06-27,2020-08-03,Verified
DOC-0000316,LG-000027,Identity Document,1,1,0,2020-07-12,2020-07-29,Verified
DOC-0000317,LG-000027,Survey Record,1,0,0,2020-07-16,,Submitted
DOC-0000318,LG-000027,Survey Record,1,1,0,2020-07-24,2020-08-23,Verified
DOC-0000319,LG-000027,Compensation Document,1,0,0,2020-06-30,,Submitted
DOC-0000320,LG-000027,Identity Document,1,1,1,2020-07-21,2020-08-06,Verified
DOC-0000321,LG-000027,Ownership Proof,1,0,0,2020-07-22,,Submitted
DOC-0000322,LG-000028,Compensation Document,1,1,0,2024-10-07,2024-10-19,Verified
DOC-0000323,LG-000028,Ownership Proof,1,0,0,2024-11-01,,Submitted
DOC-0000324,LG-000028,Land Record,1,1,0,2024-11-19,2024-12-20,Verified
DOC-0000325,LG-000028,Compensation Document,1,1,0,2024-10-12,2024-11-12,Verified
DOC-0000326,LG-000028,Land Record,1,0,0,2024-11-08,,Submitted
DOC-0000327,LG-000028,Land Record,1,1,0,2024-10-22,2024-11-09,Verified
DOC-0000328,LG-000028,Ownership Proof,1,1,0,2024-11-13,2024-11-24,Verified
DOC-0000329,LG-000028,Compensation Document,0,0,1,,,Pending
DOC-0000330,LG-000028,Compensation Document,1,0,0,2024-10-01,,Submitted
