risk_history_id,project_id,prediction_date,delay_probability,risk_score,risk_category,expected_delay_days,highest_risk_stage,model_version
RISK-0000129,LG-000011,2021-06-04,0.89,89,CRITICAL,438,Land Identification,v1.2.0
RISK-0000130,LG-000011,2021-07-04,0.94,94,CRITICAL,487,Land Identification,v1.2.0
RISK-0000131,LG-000011,2021-08-03,0.93,93,CRITICAL,453,Land Identification,v1.2.0
RISK-0000132,LG-000011,2021-09-02,0.95,95,CRITICAL,313,Land Identification,v1.2.0
RISK-0000133,LG-000011,2021-10-02,0.96,96,CRITICAL,265,Land Identification,v1.2.0
RISK-0000134,LG-000011,2021-11-01,0.93,93,CRITICAL,440,Land Identification,v1.2.0
RISK-0000135,LG-000011,2021-12-01,0.96,96,CRITICAL,554,Land Identification,v1.2.0
RISK-0000136,LG-000011,2021-12-31,0.97,97,CRITICAL,340,Land Identification,v1.2.0
RISK-0000137,LG-000011,2022-01-30,1.0,100,CRITICAL,492,Land Identification,v1.2.0
RISK-0000138,LG-000012,2020-01-13,0.82,82,CRITICAL,499,Survey,v1.2.0
RISK-0000139,LG-000012,2020-02-12,0.8,80,CRITICAL,460,Survey,v1.2.0
RISK-0000140,LG-000012,2020-03-13,0.84,84,CRITICAL,273,Survey,v1.2.0
RISK-0000141,LG-000012,2020-04-12,0.82,82,CRITICAL,383,Survey,v1.2.0
RISK-0000142,LG-000012,2020-05-12,0.88,88,CRITICAL,410,Survey,v1.2.0
RISK-0000143,LG-000012,2020-06-11,0.84,84,CRITICAL,597,Survey,v1.2.0
RISK-0000144,LG-000012,2020-07-11,0.89,89,CRITICAL,545,Survey,v1.2.0
RISK-0000145,LG-000012,2020-08-10,0.91,91,CRITICAL,539,Survey,v1.2.0
RISK-0000146,LG-000012,2020-09-09,0.88,88,CRITICAL,592,Survey,v1.2.0
RISK-0000147,LG-000013,2023-11-13,0.1,10,LOW,21,Final Handover,v1.2.0
RISK-0000148,LG-000013,2023-12-13,0.18,18,LOW,14,Final Handover,v1.2.0
RISK-0000149,LG-000013,2024-01-12,0.14,14,LOW,28,Final Handover,v1.2.0
RISK-0000150,LG-000013,2024-02-11,0.14,14,LOW,30,Final Handover,v1.2.0
RISK-0000151,LG-000013,2024-03-12,0.08,8,LOW,21,Final Handover,v1.2.0
RISK-0000152,LG-000014,2022-06-17,0.12,12,LOW,23,Land Identification,v1.2.0
RISK-0000153,LG-000014,2022-07-17,0.17,17,LOW,29,Land Identification,v1.2.0
RISK-0000154,LG-000014,2022-08-16,0.21,21,LOW,19,Land Identification,v1.2.0
RISK-0000155,LG-000014,2022-09-15,0.09,9,LOW,7,Land Identification,v1.2.0
RISK-0000156,LG-000014,2022-10-15,0.19,19,LOW,12,Land Identification,v1.2.0
RISK-0000157,LG-000014,2022-11-14,0.11,11,LOW,3,Land Identification,v1.2.0
RISK-0000158,LG-000014,2022-12-14,0.07,7,LOW,6,Land Identification,v1.2.0
RISK-0000159,LG-000014,2023-01-13,0.23,23,LOW,27,Land Identification,v1.2.0
RISK-0000160,LG-000014,2023-02-12,0.23,23,LOW,21,Land Identification,v1.2.0
RISK-0000161,LG-000014,2023-03-14,0.2,20,LOW,26,Land Identification,v1.2.0
RISK-0000162,LG-000014,2023-04-13,0.11,11,LOW,19,Land Identification,v1.2.0
RISK-0000163,LG-000014,2023-05-13,0.1,10,LOW,5,Land Identification,v1.2.0
RISK-0000164,LG-000014,2023-06-12,0.22,22,LOW,28,Land Identification,v1.2.0
RISK-0000165,LG-000015,2019-10-18,0.35,35,MEDIUM,105,Final Handover,v1.2.0
RISK-0000166,LG-000015,2019-11-17,0.38,38,MEDIUM,90,Final Handover,v1.2.0
RISK-0000167,LG-000015,2019-12-17,0.37,37,MEDIUM,56,Final Handover,v1.2.0
RISK-0000168,LG-000015,2020-01-16,0.31,31,MEDIUM,107,Final Handover,v1.2.0
RISK-0000169,LG-000015,2020-02-15,0.43,43,MEDIUM,101,Final Handover,v1.2.0
RISK-0000170,LG-000015,2020-03-16,0.31,31,MEDIUM,104,Final Handover,v1.2.0
RISK-0000171,LG-000015,2020-04-15,0.41,41,MEDIUM,90,Final Handover,v1.2.0
RISK-0000172,LG-000015,2020-05-15,0.35,35,MEDIUM,98,Final Handover,v1.2.0
RISK-0000173,LG-000015,2020-06-14,0.33,33,MEDIUM,106,Final Handover,v1.2.0
RISK-0000174,LG-000015,2020-07-14,0.44,44,MEDIUM,80,Final Handover,v1.2.0
RISK-0000175,LG-000015,2020-08-13,0.31,31,MEDIUM,41,Final Handover,v1.2.0
RISK-0000176,LG-000015,2020-09-12,0.36,36,MEDIUM,88,Final Handover,v1.2.0
RISK-0000177,LG-000015,2020-10-12,0.33,33,MEDIUM,81,Final Handover,v1.2.0
RISK-0000178,LG-000015,2020-11-11,0.41,41,MEDIUM,73,Final Handover,v1.2.0
RISK-0000179,LG-000015,2020-12-11,0.35,35,MEDIUM,110,Final Handover,v1.2.0
RISK-0000180,LG-000015,2021-01-10,0.38,38,MEDIUM,70,Final Handover,v1.2.0
RISK-0000181,LG-000015,2021-02-09,0.38,38,MEDIUM,100,Final Handover,v1.2.0
RISK-0000182,LG-000015,2021-03-11,0.4,40,MEDIUM,86,Final Handover,v1.2.0
RISK-0000183,LG-000015,2021-04-10,0.35,35,MEDIUM,103,Final Handover,v1.2.0
RISK-0000184,LG-000015,2021-05-10,0.43,43,MEDIUM,66,Final Handover,v1.2.0
RISK-0000185,LG-000016,2023-04-27,0.31,31,MEDIUM,100,Possession,v1.2.0
RISK-0000186,LG-000016,2023-05-27,0.34,34,MEDIUM,87,Possession,v1.2.0
RISK-0000187,LG-000016,2023-06-26,0.32,32,MEDIUM,71,Possession,v1.2.0
RISK-0000188,LG-000016,2023-07-26,0.35,35,MEDIUM,103,Possession,v1.2.0
RISK-0000189,LG-000016,2023-08-25,0.32,32,MEDIUM,83,Possession,v1.2.0
RISK-0000190,LG-000017,2020-09-26,0.16,16,LOW,5,Approval,v1.2.0
RISK-0000191,LG-000017,2020-10-26,0.18,18,LOW,19,Approval,v1.2.0
RISK-0000192,LG-000017,2020-11-25,0.21,21,LOW,19,Approval,v1.2.0
RISK-0000193,LG-000017,2020-12-25,0.11,11,LOW,14,Approval,v1.2.0
RISK-0000194,LG-000017,2021-01-24,0.08,8,LOW,29,Approval,v1.2.0
RISK-0000195,LG-000018,2019-10-05,0.62,62,HIGH,246,Land Identification,v1.2.0
RISK-0000196,LG-000018,2019-11-04,0.61,61,HIGH,175,Land Identification,v1.2.0
RISK-0000197,LG-000018,2019-12-04,0.63,63,HIGH,241,Land Identification,v1.2.0
RISK-0000198,LG-000018,2020-01-03,0.63,63,HIGH,224,Land Identification,v1.2.0
RISK-0000199,LG-000018,2020-02-02,0.64,64,HIGH,140,Land Identification,v1.2.0
RISK-0000200,LG-000019,2018-03-05,0.11,11,LOW,24,Approval,v1.2.0
RISK-0000201,LG-000019,2018-04-04,0.1,10,LOW,26,Approval,v1.2.0
RISK-0000202,LG-000019,2018-05-04,0.23,23,LOW,21,Approval,v1.2.0
RISK-0000203,LG-000019,2018-06-03,0.11,11,LOW,6,Approval,v1.2.0
RISK-0000204,LG-000019,2018-07-03,0.08,8,LOW,14,Approval,v1.2.0
RISK-0000205,LG-000019,2018-08-02,0.19,19,LOW,22,Approval,v1.2.0
RISK-0000206,LG-000019,2018-09-01,0.23,23,LOW,3,Approval,v1.2.0
RISK-0000207,LG-000019,2018-10-01,0.07,7,LOW,9,Approval,v1.2.0
RISK-0000208,LG-000019,2018-10-31,0.08,8,LOW,21,Approval,v1.2.0
RISK-0000209,LG-000019,2018-11-30,0.09,9,LOW,10,Approval,v1.2.0
RISK-0000210,LG-000019,2018-12-30,0.21,21,LOW,28,Approval,v1.2.0
RISK-0000211,LG-000019,2019-01-29,0.08,8,LOW,3,Approval,v1.2.0
RISK-0000212,LG-000019,2019-02-28,0.23,23,LOW,24,Approval,v1.2.0
RISK-0000213,LG-000019,2019-03-30,0.16,16,LOW,0,Approval,v1.2.0
RISK-0000214,LG-000019,2019-04-29,0.16,16,LOW,20,Approval,v1.2.0
RISK-0000215,LG-000020,2018-05-05,0.11,11,LOW,21,Final Handover,v1.2.0
RISK-0000216,LG-000020,2018-06-04,0.21,21,LOW,11,Final Handover,v1.2.0
RISK-0000217,LG-000020,2018-07-04,0.12,12,LOW,8,Final Handover,v1.2.0
RISK-0000218,LG-000020,2018-08-03,0.14,14,LOW,15,Final Handover,v1.2.0
RISK-0000219,LG-000020,2018-09-02,0.12,12,LOW,25,Final Handover,v1.2.0
RISK-0000220,LG-000020,2018-10-02,0.23,23,LOW,27,Final Handover,v1.2.0
RISK-0000221,LG-000020,2018-11-01,0.08,8,LOW,10,Final Handover,v1.2.0
RISK-0000222,LG-000020,2018-12-01,0.09,9,LOW,30,Final Handover,v1.2.0
RISK-0000223,LG-000020,2018-12-31,0.11,11,LOW,19,Final Handover,v1.2.0
RISK-0000224,LG-000020,2019-01-30,0.11,11,LOW,26,Final Handover,v1.2.0
RISK-0000225,LG-000021,2023-06-02,0.21,21,LOW,24,Possession,v1.2.0
RISK-0000226,LG-000021,2023-07-02,0.13,13,LOW,8,Possession,v1.2.0
RISK-0000227,LG-000021,2023-08-01,0.08,8,LOW,6,Possession,v1.2.0
RISK-0000228,LG-000021,2023-08-31,0.1,10,LOW,25,Possession,v1.2.0
RISK-0000229,LG-000021,2023-09-30,0.11,11,LOW,21,Possession,v1.2.0
RISK-0000230,LG-000021,2023-10-30,0.22,22,LOW,15,Possession,v1.2.0
RISK-0000231,LG-000021,2023-11-29,0.12,12,LOW,5,Possession,v1.2.0
RISK-0000232,LG-000021,2023-12-29,0.08,8,LOW,1,Possession,v1.2.0
RISK-0000233,LG-000021,2024-01-28,0.18,18,LOW,9,Possession,v1.2.0
RISK-0000234,LG-000021,2024-02-27,0.13,13,LOW,13,Possession,v1.2.0
RISK-0000235,LG-000021,2024-03-28,0.15,15,LOW,10,Possession,v1.2.0
RISK-0000236,LG-000021,2024-04-27,0.21,21,LOW,1,Possession,v1.2.0
RISK-0000237,LG-000022,2018-04-24,0.21,21,LOW,10,Survey,v1.2.0
RISK-0000238,LG-000022,2018-05-24,0.1,10,LOW,23,Survey,v1.2.0
RISK-0000239,LG-000022,2018-06-23,0.22,22,LOW,28,Survey,v1.2.0
RISK-0000240,LG-000022,2018-07-23,0.08,8,LOW,4,Survey,v1.2.0
RISK-0000241,LG-000022,2018-08-22,0.1,10,LOW,9,Survey,v1.2.0
RISK-0000242,LG-000022,2018-09-21,0.07,7,LOW,12,Survey,v1.2.0
RISK-0000243,LG-000022,2018-10-21,0.14,14,LOW,14,Survey,v1.2.0
RISK-0000244,LG-000022,2018-11-20,0.18,18,LOW,2,Survey,v1.2.0
RISK-0000245,LG-000022,2018-12-20,0.17,17,LOW,1,Survey,v1.2.0
RISK-0000246,LG-000023,2022-08-22,0.12,12,LOW,28,Survey,v1.2.0
RISK-0000247,LG-000023,2022-09-21,0.07,7,LOW,23,Survey,v1.2.0
RISK-0000248,LG-000023,2022-10-21,0.1,10,LOW,29,Survey,v1.2.0
RISK-0000249,LG-000023,2022-11-20,0.13,13,LOW,29,Survey,v1.2.0
RISK-0000250,LG-000023,2022-12-20,0.23,23,LOW,27,Survey,v1.2.0
RISK-0000251,LG-000023,2023-01-19,0.22,22,LOW,11,Survey,v1.2.0
RISK-0000252,LG-000023,2023-02-18,0.12,12,LOW,14,Survey,v1.2.0
RISK-0000253,LG-000023,2023-03-20,0.1,10,LOW,5,Survey,v1.2.0
RISK-0000254,LG-000023,2023-04-19,0.18,18,LOW,12,Survey,v1.2.0
RISK-0000255,LG-000023,2023-05-19,0.2,20,LOW,6,Survey,v1.2.0
RISK-0000256,LG-000023,2023-06-18,0.23,23,LOW,7,Survey,v1.2.0
RISK-0000257,LG-000023,2023-07-18,0.2,20,LOW,3,Survey,v1.2.0
RISK-0000258,LG-000023,2023-08-17,0.17,17,LOW,3,Survey,v1.2.0
RISK-0000259,LG-000023,2023-09-16,0.21,21,LOW,3,Survey,v1.2.0
RISK-0000260,LG-000024,2020-08-04,0.64,64,HIGH,125,Survey,v1.2.0
RISK-0000261,LG-000024,2020-09-03,0.61,61,HIGH,141,Survey,v1.2.0
RISK-0000262,LG-000024,2020-10-03,0.61,61,HIGH,274,Survey,v1.2.0
RISK-0000263,LG-000024,2020-11-02,0.62,62,HIGH,136,Survey,v1.2.0
RISK-0000264,LG-000024,2020-12-02,0.64,64,HIGH,213,Survey,v1.2.0
RISK-0000265,LG-000024,2021-01-01,0.67,67,HIGH,143,Survey,v1.2.0
RISK-0000266,LG-000024,2021-01-31,0.65,65,HIGH,155,Survey,v1.2.0
RISK-0000267,LG-000024,2021-03-02,0.64,64,HIGH,148,Survey,v1.2.0
RISK-0000268,LG-000024,2021-04-01,0.68,68,HIGH,248,Survey,v1.2.0
RISK-0000269,LG-000024,2021-05-01,0.65,65,HIGH,253,Survey,v1.2.0
RISK-0000270,LG-000024,2021-05-31,0.71,71,HIGH,268,Survey,v1.2.0
RISK-0000271,LG-000024,2021-06-30,0.72,72,HIGH,254,Survey,v1.2.0
RISK-0000272,LG-000024,2021-07-30,0.69,69,HIGH,247,Survey,v1.2.0
RISK-0000273,LG-000024,2021-08-29,0.68,68,HIGH,180,Survey,v1.2.0
RISK-0000274,LG-000024,2021-09-28,0.73,73,HIGH,151,Survey,v1.2.0
RISK-0000275,LG-000024,2021-10-28,0.76,76,HIGH,200,Survey,v1.2.0
RISK-0000276,LG-000024,2021-11-27,0.72,72,HIGH,269,Survey,v1.2.0
RISK-0000277,LG-000024,2021-12-27,0.76,76,HIGH,219,Survey,v1.2.0
RISK-0000278,LG-000024,2022-01-26,0.78,78,HIGH,180,Survey,v1.2.0
RISK-0000279,LG-000024,2022-02-25,0.76,76,HIGH,175,Survey,v1.2.0
RISK-0000280,LG-000025,2021-09-12,0.41,41,MEDIUM,51,Land Identification,v1.2.0
RISK-0000281,LG-000025,2021-10-12,0.36,36,MEDIUM,76,Land Identification,v1.2.0
RISK-0000282,LG-000025,2021-11-11,0.35,35,MEDIUM,61,Land Identification,v1.2.0
RISK-0000283,LG-000025,2021-12-11,0.38,38,MEDIUM,67,Land Identification,v1.2.0
RISK-0000284,LG-000025,2022-01-10,0.31,31,MEDIUM,107,Land Identification,v1.2.0
RISK-0000285,LG-000025,2022-02-09,0.35,35,MEDIUM,93,Land Identification,v1.2.0
RISK-0000286,LG-000025,2022-03-11,0.32,32,MEDIUM,71,Land Identification,v1.2.0
RISK-0000287,LG-000025,2022-04-10,0.45,45,MEDIUM,52,Land Identification,v1.2.0
RISK-0000288,LG-000026,2024-06-05,0.64,64,HIGH,249,Survey,v1.2.0
RISK-0000289,LG-000026,2024-07-05,0.61,61,HIGH,145,Survey,v1.2.0
RISK-0000290,LG-000026,2024-08-04,0.61,61,HIGH,213,Survey,v1.2.0
RISK-0000291,LG-000026,2024-09-03,0.62,62,HIGH,155,Survey,v1.2.0
RISK-0000292,LG-000026,2024-10-03,0.61,61,HIGH,171,Survey,v1.2.0
RISK-0000293,LG-000026,2024-11-02,0.65,65,HIGH,226,Survey,v1.2.0
RISK-0000294,LG-000026,2024-12-02,0.68,68,HIGH,121,Survey,v1.2.0
RISK-0000295,LG-000026,2025-01-01,0.64,64,HIGH,241,Survey,v1.2.0
RISK-0000296,LG-000026,2025-01-31,0.66,66,HIGH,193,Survey,v1.2.0
RISK-0000297,LG-000026,2025-03-02,0.69,69,HIGH,163,Survey,v1.2.0
RISK-0000298,LG-000026,2025-04-01,0.66,66,HIGH,188,Survey,v1.2.0
