stakeholder_id,project_id,stakeholder_type,stakeholder_name,engagement_level,sentiment,requests_received,requests_resolved,pending_requests,response_time_days
STK-0000034,LG-000006,Village Administration,Stakeholder Group 5 (Chittoor),Low,Negative,36,14,22,84
STK-0000035,LG-000006,Contractor,Stakeholder Group 6 (Chittoor),Low,Negative,37,14,23,47
STK-0000036,LG-000006,Landowner,Stakeholder Group 7 (Chittoor),Low,Negative,17,6,11,51
STK-0000037,LG-000006,Contractor,Stakeholder Group 8 (Chittoor),Low,Negative,15,6,9,71
STK-0000038,LG-000007,District Administration,Stakeholder Group 1 (East Godavari),Low,Negative,19,7,12,73
STK-0000039,LG-000007,Landowner,Stakeholder Group 2 (East Godavari),Low,Negative,10,4,6,35
STK-0000040,LG-000007,Contractor,Stakeholder Group 3 (East Godavari),Low,Negative,30,12,18,54
STK-0000041,LG-000007,Contractor,Stakeholder Group 4 (East Godavari),Low,Negative,40,16,24,33
STK-0000042,LG-000007,Landowner,Stakeholder Group 5 (East Godavari),Low,Negative,45,18,27,74
STK-0000043,LG-000007,Landowner,Stakeholder Group 6 (East Godavari),Low,Negative,15,6,9,61
STK-0000044,LG-000007,District Administration,Stakeholder Group 7 (East Godavari),Low,Negative,32,12,20,66
STK-0000045,LG-000007,Local Authority,Stakeholder Group 8 (East Godavari),Low,Negative,11,4,7,88
STK-0000046,LG-000008,District Administration,Stakeholder Group 1 (Eluru),Low,Negative,16,6,10,50
STK-0000047,LG-000008,Contractor,Stakeholder Group 2 (Eluru),Low,Negative,17,6,11,37
STK-0000048,LG-000008,Contractor,Stakeholder Group 3 (Eluru),Low,Negative,21,8,13,63
STK-0000049,LG-000008,District Administration,Stakeholder Group 4 (Eluru),Low,Negative,45,18,27,68
STK-0000050,LG-000008,Local Authority,Stakeholder Group 5 (Eluru),Low,Negative,29,11,18,55
STK-0000051,LG-000008,Landowner,Stakeholder Group 6 (Eluru),Low,Negative,42,16,26,52
STK-0000052,LG-000008,Contractor,Stakeholder Group 7 (Eluru),Low,Negative,27,10,17,69
STK-0000053,LG-000009,Village Administration,Stakeholder Group 1 (Guntur),High,Positive,8,6,2,7
STK-0000054,LG-000009,Landowner,Stakeholder Group 2 (Guntur),High,Positive,32,27,5,19
STK-0000055,LG-000009,Local Authority,Stakeholder Group 3 (Guntur),High,Positive,44,37,7,6
STK-0000056,LG-000009,Village Administration,Stakeholder Group 4 (Guntur),High,Positive,24,20,4,8
STK-0000057,LG-000010,Contractor,Stakeholder Group 1 (Kakinada),High,Positive,40,34,6,6
STK-0000058,LG-000010,District Administration,Stakeholder Group 2 (Kakinada),High,Positive,10,8,2,17
STK-0000059,LG-000010,Contractor,Stakeholder Group 3 (Kakinada),High,Positive,13,11,2,11
STK-0000060,LG-000010,Local Authority,Stakeholder Group 4 (Kakinada),High,Positive,46,39,7,12
STK-0000061,LG-000010,Local Authority,Stakeholder Group 5 (Kakinada),High,Positive,45,38,7,5
STK-0000062,LG-000010,District Administration,Stakeholder Group 6 (Kakinada),High,Positive,29,24,5,20
STK-0000063,LG-000011,Contractor,Stakeholder Group 1 (NTR),Low,Negative,48,19,29,32
STK-0000064,LG-000011,District Administration,Stakeholder Group 2 (NTR),Low,Negative,30,12,18,74
STK-0000065,LG-000011,Landowner,Stakeholder Group 3 (NTR),Low,Negative,20,8,12,77
STK-0000066,LG-000011,District Administration,Stakeholder Group 4 (NTR),Low,Negative,35,14,21,87
STK-0000067,LG-000011,Landowner,Stakeholder Group 5 (NTR),Low,Negative,28,11,17,51
STK-0000068,LG-000011,District Administration,Stakeholder Group 6 (NTR),Low,Negative,24,9,15,47
STK-0000069,LG-000011,Landowner,Stakeholder Group 7 (NTR),Low,Negative,36,14,22,85
STK-0000070,LG-000012,District Administration,Stakeholder Group 1 (Nandyal),Low,Negative,28,11,17,57
STK-0000071,LG-000012,Landowner,Stakeholder Group 2 (Nandyal),Low,Negative,12,4,8,84
STK-0000072,LG-000012,Landowner,Stakeholder Group 3 (Nandyal),Low,Negative,7,2,5,84
STK-0000073,LG-000012,Village Administration,Stakeholder Group 4 (Nandyal),Low,Negative,13,5,8,51
STK-0000074,LG-000012,Contractor,Stakeholder Group 5 (Nandyal),Low,Negative,27,10,17,69
STK-0000075,LG-000013,Contractor,Stakeholder Group 1 (Palnadu),High,Positive,26,22,4,9
STK-0000076,LG-000013,Village Administration,Stakeholder Group 2 (Palnadu),High,Positive,7,5,2,15
STK-0000077,LG-000013,Landowner,Stakeholder Group 3 (Palnadu),High,Positive,43,36,7,25
STK-0000078,LG-000014,Village Administration,Stakeholder Group 1 (Parvathipuram Manyam),High,Positive,35,29,6,23
STK-0000079,LG-000014,Contractor,Stakeholder Group 2 (Parvathipuram Manyam),High,Positive,15,12,3,5
STK-0000080,LG-000014,Landowner,Stakeholder Group 3 (Parvathipuram Manyam),High,Positive,20,17,3,9
STK-0000081,LG-000014,Local Authority,Stakeholder Group 4 (Parvathipuram Manyam),High,Positive,41,34,7,10
STK-0000082,LG-000014,Local Authority,Stakeholder Group 5 (Parvathipuram Manyam),High,Positive,13,11,2,6
STK-0000083,LG-000014,Village Administration,Stakeholder Group 6 (Parvathipuram Manyam),High,Positive,41,34,7,6
STK-0000084,LG-000015,Landowner,Stakeholder Group 1 (Prakasam),High,Positive,26,22,4,22
STK-0000085,LG-000015,Contractor,Stakeholder Group 2 (Prakasam),High,Positive,16,13,3,15
STK-0000086,LG-000015,Village Administration,Stakeholder Group 3 (Prakasam),High,Positive,27,22,5,23
STK-0000087,LG-000015,Village Administration,Stakeholder Group 4 (Prakasam),High,Positive,22,18,4,11
STK-0000088,LG-000015,Village Administration,Stakeholder Group 5 (Prakasam),High,Positive,36,30,6,12
STK-0000089,LG-000015,District Administration,Stakeholder Group 6 (Prakasam),High,Positive,20,17,3,11
STK-0000090,LG-000015,Village Administration,Stakeholder Group 7 (Prakasam),High,Positive,19,16,3,12
STK-0000091,LG-000015,District Administration,Stakeholder Group 8 (Prakasam),High,Positive,44,37,7,9
STK-0000092,LG-000016,Village Administration,Stakeholder Group 1 (Sri Potti Sriramulu Nellore),High,Positive,38,32,6,20
STK-0000093,LG-000016,District Administration,Stakeholder Group 2 (Sri Potti Sriramulu Nellore),High,Positive,29,24,5,15
STK-0000094,LG-000016,Landowner,Stakeholder Group 3 (Sri Potti Sriramulu Nellore),High,Positive,15,12,3,22
STK-0000095,LG-000017,Landowner,Stakeholder Group 1 (Sri Sathya Sai),High,Positive,26,22,4,20
STK-0000096,LG-000017,Landowner,Stakeholder Group 2 (Sri Sathya Sai),High,Positive,41,34,7,22
STK-0000097,LG-000017,District Administration,Stakeholder Group 3 (Sri Sathya Sai),High,Positive,30,25,5,7
STK-0000098,LG-000017,Local Authority,Stakeholder Group 4 (Sri Sathya Sai),High,Positive,30,25,5,18
STK-0000099,LG-000018,District Administration,Stakeholder Group 1 (Srikakulam),Low,Negative,21,8,13,74
STK-0000100,LG-000018,Village Administration,Stakeholder Group 2 (Srikakulam),Low,Negative,46,18,28,75
STK-0000101,LG-000018,Landowner,Stakeholder Group 3 (Srikakulam),Low,Negative,12,4,8,37
STK-0000102,LG-000019,Local Authority,Stakeholder Group 1 (Tirupati),High,Positive,16,13,3,8
STK-0000103,LG-000019,District Administration,Stakeholder Group 2 (Tirupati),High,Positive,24,20,4,6
STK-0000104,LG-000019,Contractor,Stakeholder Group 3 (Tirupati),High,Positive,22,18,4,7
STK-0000105,LG-000019,Village Administration,Stakeholder Group 4 (Tirupati),High,Positive,36,30,6,16
STK-0000106,LG-000019,District Administration,Stakeholder Group 5 (Tirupati),High,Positive,33,28,5,11
STK-0000107,LG-000019,District Administration,Stakeholder Group 6 (Tirupati),High,Positive,38,32,6,10
STK-0000108,LG-000020,Village Administration,Stakeholder Group 1 (Visakhapatnam),High,Positive,10,8,2,21
STK-0000109,LG-000020,Contractor,Stakeholder Group 2 (Visakhapatnam),High,Positive,22,18,4,21
STK-0000110,LG-000020,Local Authority,Stakeholder Group 3 (Visakhapatnam),High,Positive,10,8,2,24
STK-0000111,LG-000020,Village Administration,Stakeholder Group 4 (Visakhapatnam),High,Positive,10,8,2,20
STK-0000112,LG-000020,Landowner,Stakeholder Group 5 (Visakhapatnam),High,Positive,45,38,7,25
STK-0000113,LG-000020,Local Authority,Stakeholder Group 6 (Visakhapatnam),High,Positive,39,33,6,14
STK-0000114,LG-000020,Landowner,Stakeholder Group 7 (Visakhapatnam),High,Positive,44,37,7,15
STK-0000115,LG-000020,Landowner,Stakeholder Group 8 (Visakhapatnam),High,Positive,39,33,6,20
STK-0000116,LG-000021,Local Authority,Stakeholder Group 1 (Vizianagaram),High,Positive,11,9,2,17
STK-0000117,LG-000021,Landowner,Stakeholder Group 2 (Vizianagaram),High,Positive,15,12,3,20
STK-0000118,LG-000021,Landowner,Stakeholder Group 3 (Vizianagaram),High,Positive,10,8,2,5
STK-0000119,LG-000021,Landowner,Stakeholder Group 4 (Vizianagaram),High,Positive,16,13,3,25
STK-0000120,LG-000022,Landowner,Stakeholder Group 1 (West Godavari),High,Positive,40,34,6,15
STK-0000121,LG-000022,Village Administration,Stakeholder Group 2 (West Godavari),High,Positive,27,22,5,16
STK-0000122,LG-000022,Local Authority,Stakeholder Group 3 (West Godavari),High,Positive,33,28,5,10
STK-0000123,LG-000022,District Administration,Stakeholder Group 4 (West Godavari),High,Positive,39,33,6,8
STK-0000124,LG-000023,Landowner,Stakeholder Group 1 (YSR Kadapa),High,Positive,12,10,2,5
STK-0000125,LG-000023,Contractor,Stakeholder Group 2 (YSR Kadapa),High,Positive,35,29,6,6
STK-0000126,LG-000023,Landowner,Stakeholder Group 3 (YSR Kadapa),High,Positive,17,14,3,6
STK-0000127,LG-000023,Local Authority,Stakeholder Group 4 (YSR Kadapa),High,Positive,47,39,8,23
STK-0000128,LG-000023,Contractor,Stakeholder Group 5 (YSR Kadapa),High,Positive,8,6,2,8
STK-0000129,LG-000023,Landowner,Stakeholder Group 6 (YSR Kadapa),High,Positive,21,17,4,7
STK-0000130,LG-000023,Landowner,Stakeholder Group 7 (YSR Kadapa),High,Positive,24,20,4,8
STK-0000131,LG-000023,Local Authority,Stakeholder Group 8 (YSR Kadapa),High,Positive,12,10,2,11
STK-0000132,LG-000024,Landowner,Stakeholder Group 1 (Dr. B.R. Ambedkar Konaseema),Low,Negative,45,18,27,63
STK-0000133,LG-000024,District Administration,Stakeholder Group 2 (Dr. B.R. Ambedkar Konaseema),Low,Negative,17,6,11,59
STK-0000134,LG-000024,Village Administration,Stakeholder Group 3 (Dr. B.R. Ambedkar Konaseema),Low,Negative,14,5,9,39
STK-0000135,LG-000024,District Administration,Stakeholder Group 4 (Dr. B.R. Ambedkar Konaseema),Low,Negative,48,19,29,84
STK-0000136,LG-000024,Contractor,Stakeholder Group 5 (Dr. B.R. Ambedkar Konaseema),Low,Negative,32,12,20,50
STK-0000137,LG-000024,Village Administration,Stakeholder Group 6 (Dr. B.R. Ambedkar Konaseema),Low,Negative,9,3,6,84
STK-0000138,LG-000024,District Administration,Stakeholder Group 7 (Dr. B.R. Ambedkar Konaseema),Low,Negative,31,12,19,82
STK-0000139,LG-000024,Village Administration,Stakeholder Group 8 (Dr. B.R. Ambedkar Konaseema),Low,Negative,23,9,14,46
STK-0000140,LG-000025,Village Administration,Stakeholder Group 1 (Kurnool),High,Positive,32,27,5,13
STK-0000141,LG-000025,District Administration,Stakeholder Group 2 (Kurnool),High,Positive,12,10,2,6
STK-0000142,LG-000025,Contractor,Stakeholder Group 3 (Kurnool),High,Positive,13,11,2,13
STK-0000143,LG-000025,Contractor,Stakeholder Group 4 (Kurnool),High,Positive,28,23,5,14
STK-0000144,LG-000025,Local Authority,Stakeholder Group 5 (Kurnool),High,Positive,21,17,4,13
STK-0000145,LG-000025,District Administration,Stakeholder Group 6 (Kurnool),High,Positive,38,32,6,18
STK-0000146,LG-000025,District Administration,Stakeholder Group 7 (Kurnool),High,Positive,15,12,3,20
STK-0000147,LG-000026,Contractor,Stakeholder Group 1 (Anjaw),Low,Negative,26,10,16,37
STK-0000148,LG-000026,Village Administration,Stakeholder Group 2 (Anjaw),Low,Negative,44,17,27,37
STK-0000149,LG-000026,Village Administration,Stakeholder Group 3 (Anjaw),Low,Negative,40,16,24,61
STK-0000150,LG-000027,Local Authority,Stakeholder Group 1 (Changlang),High,Positive,20,17,3,19
STK-0000151,LG-000027,Local Authority,Stakeholder Group 2 (Changlang),High,Positive,10,8,2,24
STK-0000152,LG-000027,Contractor,Stakeholder Group 3 (Changlang),High,Positive,25,21,4,23
STK-0000153,LG-000027,Contractor,Stakeholder Group 4 (Changlang),High,Positive,7,5,2,5
STK-0000154,LG-000028,Landowner,Stakeholder Group 1 (Dibang Valley),High,Positive,8,6,2,17
STK-0000155,LG-000028,Landowner,Stakeholder Group 2 (Dibang Valley),High,Positive,25,21,4,9
STK-0000156,LG-000028,Contractor,Stakeholder Group 3 (Dibang Valley),High,Positive,8,6,2,6
STK-0000157,LG-000029,District Administration,Stakeholder Group 1 (East Kameng),High,Positive,34,28,6,7
STK-0000158,LG-000029,Village Administration,Stakeholder Group 2 (East Kameng),High,Positive,25,21,4,18
STK-0000159,LG-000029,Contractor,Stakeholder Group 3 (East Kameng),High,Positive,49,41,8,11
STK-0000160,LG-000029,Contractor,Stakeholder Group 4 (East Kameng),High,Positive,33,28,5,22
STK-0000161,LG-000029,District Administration,Stakeholder Group 5 (East Kameng),High,Positive,6,5,1,9
STK-0000162,LG-000029,Village Administration,Stakeholder Group 6 (East Kameng),High,Positive,41,34,7,14
STK-0000163,LG-000029,Contractor,Stakeholder Group 7 (East Kameng),High,Positive,5,4,1,16
STK-0000164,LG-000029,Village Administration,Stakeholder Group 8 (East Kameng),High,Positive,26,22,4,18
STK-0000165,LG-000030,District Administration,Stakeholder Group 1 (East Siang),High,Positive,17,14,3,20
STK-0000166,LG-000030,District Administration,Stakeholder Group 2 (East Siang),High,Positive,10,8,2,17
STK-0000167,LG-000030,Village Administration,Stakeholder Group 3 (East Siang),High,Positive,29,24,5,20
STK-0000168,LG-000030,Contractor,Stakeholder Group 4 (East Siang),High,Positive,33,28,5,21
STK-0000169,LG-000030,Contractor,Stakeholder Group 5 (East Siang),High,Positive,44,37,7,9
STK-0000170,LG-000030,Landowner,Stakeholder Group 6 (East Siang),High,Positive,35,29,6,17
STK-0000171,LG-000030,Landowner,Stakeholder Group 7 (East Siang),High,Positive,32,27,5,14
STK-0000172,LG-000030,Local Authority,Stakeholder Group 8 (East Siang),High,Positive,43,36,7,9
STK-0000173,LG-000031,Local Authority,Stakeholder Group 1 (Kamle),Low,Negative,26,10,16,89
STK-0000174,LG-000031,Landowner,Stakeholder Group 2 (Kamle),Low,Negative,17,6,11,66
STK-0000175,LG-000031,Village Administration,Stakeholder Group 3 (Kamle),Low,Negative,28,11,17,84
STK-0000176,LG-000032,District Administration,Stakeholder Group 1 (Kra Daadi),Low,Negative,16,6,10,81
STK-0000177,LG-000032,Local Authority,Stakeholder Group 2 (Kra Daadi),Low,Negative,48,19,29,65
STK-0000178,LG-000032,Contractor,Stakeholder Group 3 (Kra Daadi),Low,Negative,43,17,26,60
STK-0000179,LG-000032,Village Administration,Stakeholder Group 4 (Kra Daadi),Low,Negative,42,16,26,46
STK-0000180,LG-000032,Local Authority,Stakeholder Group 5 (Kra Daadi),Low,Negative,5,2,3,75
STK-0000181,LG-000032,Village Administration,Stakeholder Group 6 (Kra Daadi),Low,Negative,14,5,9,39
STK-0000182,LG-000033,Landowner,Stakeholder Group 1 (Kurung Kumey),Low,Negative,10,4,6,38
STK-0000183,LG-000033,Local Authority,Stakeholder Group 2 (Kurung Kumey),Low,Negative,45,18,27,37
STK-0000184,LG-000033,Local Authority,Stakeholder Group 3 (Kurung Kumey),Low,Negative,7,2,5,88
STK-0000185,LG-000033,Village Administration,Stakeholder Group 4 (Kurung Kumey),Low,Negative,46,18,28,42
STK-0000186,LG-000033,Contractor,Stakeholder Group 5 (Kurung Kumey),Low,Negative,50,20,30,89
STK-0000187,LG-000033,Landowner,Stakeholder Group 6 (Kurung Kumey),Low,Negative,11,4,7,90
STK-0000188,LG-000034,Village Administration,Stakeholder Group 1 (Lepa Rada),High,Positive,14,11,3,20
STK-0000189,LG-000034,Local Authority,Stakeholder Group 2 (Lepa Rada),High,Positive,13,11,2,14
STK-0000190,LG-000034,Contractor,Stakeholder Group 3 (Lepa Rada),High,Positive,35,29,6,15
STK-0000191,LG-000034,Landowner,Stakeholder Group 4 (Lepa Rada),High,Positive,33,28,5,14
STK-0000192,LG-000034,Village Administration,Stakeholder Group 5 (Lepa Rada),High,Positive,12,10,2,6
STK-0000193,LG-000034,Landowner,Stakeholder Group 6 (Lepa Rada),High,Positive,46,39,7,24
STK-0000194,LG-000035,Contractor,Stakeholder Group 1 (Lohit),Low,Negative,45,18,27,62
STK-0000195,LG-000035,Landowner,Stakeholder Group 2 (Lohit),Low,Negative,42,16,26,72
STK-0000196,LG-000035,Contractor,Stakeholder Group 3 (Lohit),Low,Negative,23,9,14,43
STK-0000197,LG-000036,Landowner,Stakeholder Group 1 (Longding),Low,Negative,8,3,5,38
STK-0000198,LG-000036,District Administration,Stakeholder Group 2 (Longding),Low,Negative,11,4,7,85
STK-0000199,LG-000036,Contractor,Stakeholder Group 3 (Longding),Low,Negative,49,19,30,44
STK-0000200,LG-000036,Landowner,Stakeholder Group 4 (Longding),Low,Negative,15,6,9,42
STK-0000201,LG-000037,Landowner,Stakeholder Group 1 (Lower Dibang Valley),Low,Negative,5,2,3,46
STK-0000202,LG-000037,District Administration,Stakeholder Group 2 (Lower Dibang Valley),Low,Negative,13,5,8,86
STK-0000203,LG-000037,Local Authority,Stakeholder Group 3 (Lower Dibang Valley),Low,Negative,23,9,14,72
STK-0000204,LG-000037,Village Administration,Stakeholder Group 4 (Lower Dibang Valley),Low,Negative,40,16,24,35
STK-0000205,LG-000037,District Administration,Stakeholder Group 5 (Lower Dibang Valley),Low,Negative,50,20,30,39
STK-0000206,LG-000037,Contractor,Stakeholder Group 6 (Lower Dibang Valley),Low,Negative,17,6,11,67
STK-0000207,LG-000037,District Administration,Stakeholder Group 7 (Lower Dibang Valley),Low,Negative,10,4,6,44
STK-0000208,LG-000037,Contractor,Stakeholder Group 8 (Lower Dibang Valley),Low,Negative,7,2,5,89
STK-0000209,LG-000038,Local Authority,Stakeholder Group 1 (Lower Subansiri),High,Positive,16,13,3,20
STK-0000210,LG-000038,Village Administration,Stakeholder Group 2 (Lower Subansiri),High,Positive,17,14,3,23
STK-0000211,LG-000038,Local Authority,Stakeholder Group 3 (Lower Subansiri),High,Positive,35,29,6,16
STK-0000212,LG-000038,Local Authority,Stakeholder Group 4 (Lower Subansiri),High,Positive,27,22,5,22
STK-0000213,LG-000038,Landowner,Stakeholder Group 5 (Lower Subansiri),High,Positive,13,11,2,19
STK-0000214,LG-000039,Village Administration,Stakeholder Group 1 (Namsai),High,Positive,23,19,4,23
STK-0000215,LG-000039,Landowner,Stakeholder Group 2 (Namsai),High,Positive,6,5,1,24
STK-0000216,LG-000039,District Administration,Stakeholder Group 3 (Namsai),High,Positive,18,15,3,21
STK-0000217,LG-000040,Village Administration,Stakeholder Group 1 (Pakke Kessang),High,Positive,37,31,6,18
STK-0000218,LG-000040,Local Authority,Stakeholder Group 2 (Pakke Kessang),High,Positive,8,6,2,15
STK-0000219,LG-000040,District Administration,Stakeholder Group 3 (Pakke Kessang),High,Positive,21,17,4,18
STK-0000220,LG-000040,Contractor,Stakeholder Group 4 (Pakke Kessang),High,Positive,30,25,5,18
STK-0000221,LG-000040,District Administration,Stakeholder Group 5 (Pakke Kessang),High,Positive,30,25,5,6
STK-0000222,LG-000041,Local Authority,Stakeholder Group 1 (Papum Pare),Low,Negative,13,5,8,81
STK-0000223,LG-000041,Contractor,Stakeholder Group 2 (Papum Pare),Low,Negative,33,13,20,72
STK-0000224,LG-000041,District Administration,Stakeholder Group 3 (Papum Pare),Low,Negative,35,14,21,49
STK-0000225,LG-000042,Village Administration,Stakeholder Group 1 (Shi Yomi),Low,Negative,5,2,3,50
STK-0000226,LG-000042,Local Authority,Stakeholder Group 2 (Shi Yomi),Low,Negative,13,5,8,62
STK-0000227,LG-000042,Contractor,Stakeholder Group 3 (Shi Yomi),Low,Negative,29,11,18,30
STK-0000228,LG-000042,Contractor,Stakeholder Group 4 (Shi Yomi),Low,Negative,36,14,22,57
STK-0000229,LG-000042,District Administration,Stakeholder Group 5 (Shi Yomi),Low,Negative,8,3,5,57
STK-0000230,LG-000042,Landowner,Stakeholder Group 6 (Shi Yomi),Low,Negative,21,8,13,68
STK-0000231,LG-000043,Landowner,Stakeholder Group 1 (Siang),Low,Negative,42,16,26,76
STK-0000232,LG-000043,District Administration,Stakeholder Group 2 (Siang),Low,Negative,15,6,9,56
STK-0000233,LG-000043,District Administration,Stakeholder Group 3 (Siang),Low,Negative,47,18,29,39
STK-0000234,LG-000043,Contractor,Stakeholder Group 4 (Siang),Low,Negative,20,8,12,43
STK-0000235,LG-000043,Landowner,Stakeholder Group 5 (Siang),Low,Negative,21,8,13,51
STK-0000236,LG-000044,Contractor,Stakeholder Group 1 (Tawang),High,Positive,13,11,2,13
STK-0000237,LG-000044,Village Administration,Stakeholder Group 2 (Tawang),High,Positive,6,5,1,11
STK-0000238,LG-000044,District Administration,Stakeholder Group 3 (Tawang),High,Positive,47,39,8,14
STK-0000239,LG-000044,Landowner,Stakeholder Group 4 (Tawang),High,Positive,28,23,5,15
STK-0000240,LG-000044,Contractor,Stakeholder Group 5 (Tawang),High,Positive,32,27,5,15
STK-0000241,LG-000044,Local Authority,Stakeholder Group 6 (Tawang),High,Positive,40,34,6,11
STK-0000242,LG-000044,Local Authority,Stakeholder Group 7 (Tawang),High,Positive,18,15,3,21
STK-0000243,LG-000044,District Administration,Stakeholder Group 8 (Tawang),High,Positive,33,28,5,8
STK-0000244,LG-000045,Contractor,Stakeholder Group 1 (Tirap),High,Positive,14,11,3,6
STK-0000245,LG-000045,Contractor,Stakeholder Group 2 (Tirap),High,Positive,39,33,6,24
STK-0000246,LG-000045,Village Administration,Stakeholder Group 3 (Tirap),High,Positive,38,32,6,10
STK-0000247,LG-000046,District Administration,Stakeholder Group 1 (Upper Siang),High,Positive,29,24,5,8
STK-0000248,LG-000046,Contractor,Stakeholder Group 2 (Upper Siang),High,Positive,45,38,7,18
STK-0000249,LG-000046,Village Administration,Stakeholder Group 3 (Upper Siang),High,Positive,42,35,7,20
STK-0000250,LG-000047,Village Administration,Stakeholder Group 1 (Upper Subansiri),Low,Negative,36,14,22,64
STK-0000251,LG-000047,District Administration,Stakeholder Group 2 (Upper Subansiri),Low,Negative,18,7,11,36
STK-0000252,LG-000047,Village Administration,Stakeholder Group 3 (Upper Subansiri),Low,Negative,48,19,29,68
STK-0000253,LG-000047,Local Authority,Stakeholder Group 4 (Upper Subansiri),Low,Negative,28,11,17,41
STK-0000254,LG-000047,Village Administration,Stakeholder Group 5 (Upper Subansiri),Low,Negative,33,13,20,62
STK-0000255,LG-000047,Contractor,Stakeholder Group 6 (Upper Subansiri),Low,Negative,14,5,9,31
STK-0000256,LG-000047,Landowner,Stakeholder Group 7 (Upper Subansiri),Low,Negative,44,17,27,89
STK-0000257,LG-000048,Contractor,Stakeholder Group 1 (West Kameng),Low,Negative,31,12,19,76
STK-0000258,LG-000048,Contractor,Stakeholder Group 2 (West Kameng),Low,Negative,33,13,20,90
STK-0000259,LG-000048,Contractor,Stakeholder Group 3 (West Kameng),Low,Negative,29,11,18,53
STK-0000260,LG-000048,District Administration,Stakeholder Group 4 (West Kameng),Low,Negative,26,10,16,72
STK-0000261,LG-000048,Village Administration,Stakeholder Group 5 (West Kameng),Low,Negative,30,12,18,76
STK-0000262,LG-000048,Village Administration,Stakeholder Group 6 (West Kameng),Low,Negative,38,15,23,45
STK-0000263,LG-000049,Contractor,Stakeholder Group 1 (West Siang),Low,Negative,17,6,11,82
STK-0000264,LG-000049,Contractor,Stakeholder Group 2 (West Siang),Low,Negative,17,6,11,68
STK-0000265,LG-000049,Village Administration,Stakeholder Group 3 (West Siang),Low,Negative,50,20,30,60
