compensation_id,project_id,total_estimated_amount,total_approved_amount,total_disbursed_amount,total_pending_amount,beneficiaries_total,beneficiaries_paid,beneficiaries_pending,average_processing_days,payment_status,compensation_dispute_count
COMP-000037,LG-000037,6888854085.81,5855525972.94,2459320908.63,3396205064.31,1780,747,1033,78,In Progress,19
COMP-000038,LG-000038,15414572007.52,15414572007.52,13452457413.09,1962114594.43,58,50,8,44,Partially Completed,2
COMP-000039,LG-000039,1075236368.08,1075236368.08,1020464223.72,54772144.36,1875,1779,96,49,Partially Completed,0
COMP-000040,LG-000040,28132249098.03,28132249098.03,26322635827.55,1809613270.48,3459,3236,223,48,Partially Completed,3
COMP-000041,LG-000041,33776900953.74,30399210858.37,16719565972.1,13679644886.27,3105,1707,1398,78,Partially Completed,7
COMP-000042,LG-000042,1490133803.96,1266613733.37,531977768.02,734635965.35,450,189,261,86,In Progress,21
COMP-000043,LG-000043,10569145893.23,8983774009.25,3773185083.88,5210588925.37,309,129,180,139,In Progress,14
COMP-000044,LG-000044,4364572203.76,4364572203.76,3786095988.54,578476215.22,2425,2103,322,45,Partially Completed,0
COMP-000045,LG-000045,12757769717.96,12757769717.96,11246600657.67,1511169060.29,3846,3390,456,47,Partially Completed,0
COMP-000046,LG-000046,23782510766.32,23782510766.32,21508865221.24,2273645545.08,3795,3432,363,59,Partially Completed,1
COMP-000047,LG-000047,30377501130.32,27339751017.29,15036863059.51,12302887957.78,315,173,142,148,Partially Completed,6
COMP-000048,LG-000048,19346588718.63,16444600410.84,6906732172.55,9537868238.29,3098,1301,1797,74,In Progress,13
COMP-000049,LG-000049,27338491554.32,24604642398.89,13532553319.39,11072089079.5,2022,1112,910,105,Partially Completed,6
COMP-000050,LG-000050,30136594746.38,27122935271.74,14917614399.46,12205320872.28,3945,2169,1776,141,Partially Completed,8
COMP-000051,LG-000051,9503786011.0,8553407409.9,4704374075.44,3849033334.46,3409,1874,1535,131,Partially Completed,11
COMP-000052,LG-000052,24861348475.5,24861348475.5,23076024550.67,1785323924.83,4790,4446,344,19,Partially Completed,3
COMP-000053,LG-000053,10799271128.18,10799271128.18,9325126074.3,1474145053.88,1815,1567,248,20,Partially Completed,1
COMP-000054,LG-000054,44571513356.84,37885786353.31,15912030268.39,21973756084.92,2020,848,1172,178,In Progress,14
COMP-000055,LG-000055,31609318234.87,31609318234.87,31094939148.19,514379086.68,2488,2447,41,29,Partially Completed,0
COMP-000056,LG-000056,27093813612.56,23029741570.68,9672491459.69,13357250110.99,772,324,448,76,In Progress,23
COMP-000057,LG-000057,30254513310.93,30254513310.93,29322778218.81,931735092.12,4725,4579,146,33,Partially Completed,2
COMP-000058,LG-000058,12039911323.6,10835920191.24,5959756105.18,4876164086.06,194,106,88,69,Partially Completed,5
COMP-000059,LG-000059,28638164429.99,25774347986.99,14175891392.84,11598456594.15,1837,1010,827,155,Partially Completed,6
COMP-000060,LG-000060,20710882327.0,18639794094.3,10251886751.86,8387907342.44,2776,1526,1250,134,Partially Completed,10
COMP-000061,LG-000061,7129592280.59,7129592280.59,6081071995.4,1048520285.19,3412,2910,502,31,Partially Completed,2
COMP-000062,LG-000062,6799977976.59,6119980178.93,3365989098.41,2753991080.52,4732,2602,2130,122,Partially Completed,6
COMP-000063,LG-000063,34970083463.2,34970083463.2,34072107524.28,897975938.92,943,918,25,27,Partially Completed,1
COMP-000064,LG-000064,41165170765.47,41165170765.47,39826967880.12,1338202885.35,352,340,12,41,Partially Completed,1
COMP-000065,LG-000065,24693810303.32,22224429272.99,12223436100.14,10000993172.85,2972,1634,1338,130,Partially Completed,9
COMP-000066,LG-000066,42045406272.0,37840865644.8,20812476104.64,17028389540.16,3448,1896,1552,88,Partially Completed,11
COMP-000067,LG-000067,2044942104.98,1840447894.48,1012246341.96,828201552.52,267,146,121,133,Partially Completed,5
COMP-000068,LG-000068,133746979.75,133746979.75,132348758.52,1398221.23,3345,3310,35,55,Partially Completed,1
COMP-000069,LG-000069,5823102856.52,5240792570.87,2882435913.98,2358356656.89,3289,1808,1481,109,Partially Completed,7
COMP-000070,LG-000070,27939402058.24,27939402058.24,24732394853.46,3207007204.78,262,231,31,35,Partially Completed,0
COMP-000071,LG-000071,1128277857.67,1128277857.67,1012627893.2,115649964.47,1300,1166,134,52,Partially Completed,0
COMP-000072,LG-000072,39769586388.35,39769586388.35,37592199970.6,2177386417.75,4461,4216,245,26,Partially Completed,3
COMP-000073,LG-000073,34766230061.48,34766230061.48,34185054808.4,581175253.08,3288,3233,55,18,Partially Completed,0
COMP-000074,LG-000074,9998532642.02,9998532642.02,8807873402.67,1190659239.35,1830,1612,218,25,Partially Completed,3
COMP-000075,LG-000075,31228013793.47,31228013793.47,27010727262.42,4217286531.05,3448,2982,466,17,Partially Completed,0
COMP-000076,LG-000076,37001514009.49,31451286908.07,13209540501.39,18241746406.68,1057,443,614,66,In Progress,12
COMP-000077,LG-000077,22336706278.89,22336706278.89,19182051363.82,3154654915.07,1948,1672,276,18,Partially Completed,1
COMP-000078,LG-000078,43542093703.31,39187884332.98,21553336383.14,17634547949.84,1115,613,502,158,Partially Completed,10
COMP-000079,LG-000079,8907181622.79,8907181622.79,8336131418.87,571050203.92,4459,4173,286,29,Partially Completed,3
COMP-000080,LG-000080,4096140168.14,4096140168.14,3590862783.17,505277384.97,1729,1515,214,34,Partially Completed,1
COMP-000081,LG-000081,36784887143.7,36784887143.7,34393779459.41,2391107684.29,3510,3281,229,46,Partially Completed,1
COMP-000082,LG-000082,19114187055.41,17202768349.87,9461522592.43,7741245757.44,1506,828,678,108,Partially Completed,10
COMP-000083,LG-000083,16021308145.45,16021308145.45,13751474345.7,2269833799.75,65,55,10,53,Partially Completed,1
COMP-000084,LG-000084,44690281096.7,44690281096.7,40699097567.99,3991183528.71,2249,2048,201,42,Partially Completed,1
COMP-000085,LG-000085,29367416232.21,29367416232.21,28112542573.32,1254873658.89,2971,2844,127,19,Partially Completed,3
COMP-000086,LG-000086,28278196192.05,28278196192.05,26540595007.05,1737601185.0,4727,4436,291,38,Partially Completed,0
COMP-000087,LG-000087,2560132259.56,2560132259.56,2214085021.26,346047238.3,3699,3199,500,32,Partially Completed,2
COMP-000088,LG-000088,21957554874.0,21957554874.0,19579141127.14,2378413746.86,4829,4305,524,35,Partially Completed,0
COMP-000089,LG-000089,23042261146.61,23042261146.61,22726730963.32,315530183.29,4231,4173,58,21,Partially Completed,0
COMP-000090,LG-000090,6729273154.11,6729273154.11,5943980124.0,785293030.11,4681,4134,547,46,Partially Completed,2
COMP-000091,LG-000091,24462404520.94,24462404520.94,21055815273.38,3406589247.56,1774,1526,248,39,Partially Completed,1
COMP-000092,LG-000092,34229553161.55,30806597845.4,16943628814.97,13862969030.43,1775,976,799,129,Partially Completed,5
COMP-000093,LG-000093,20162050976.3,17137743329.85,7197852198.54,9939891131.31,4252,1785,2467,86,In Progress,25
COMP-000094,LG-000094,14741516722.35,14741516722.35,14496056354.84,245460367.51,4318,4246,72,55,Partially Completed,2
COMP-000095,LG-000095,15260323475.92,12971274954.53,5447935480.9,7523339473.63,4024,1690,2334,77,In Progress,18
COMP-000096,LG-000096,26849230908.47,24164307817.62,13290369299.69,10873938517.93,1695,932,763,148,Partially Completed,6
COMP-000097,LG-000097,33498898537.1,33498898537.1,31670115754.61,1828782782.49,1740,1645,95,36,Partially Completed,1
COMP-000098,LG-000098,8722425861.69,8722425861.69,8213852436.44,508573425.25,1894,1783,111,44,Partially Completed,2
COMP-000099,LG-000099,30808242673.23,27727418405.91,15250080123.25,12477338282.66,2748,1511,1237,147,Partially Completed,12
COMP-000100,LG-000100,21276506556.33,19148855900.7,10531870745.39,8616985155.31,3142,1728,1414,92,Partially Completed,5
COMP-000101,LG-000101,6881824090.42,6881824090.42,6731455114.07,150368976.35,3280,3208,72,43,Partially Completed,1
COMP-000102,LG-000102,37354157298.11,33618741568.3,18490307862.57,15128433705.73,2896,1592,1304,148,Partially Completed,6
COMP-000103,LG-000103,1358690961.22,1358690961.22,1202141036.14,156549925.08,2059,1821,238,28,Partially Completed,2
COMP-000104,LG-000104,10364647456.39,10364647456.39,8954583861.66,1410063594.73,1991,1720,271,50,Partially Completed,2
COMP-000105,LG-000105,8063842484.51,6854266111.83,2878791766.97,3975474344.86,3644,1530,2114,156,In Progress,13
COMP-000106,LG-000106,9710060236.69,9710060236.69,9443956346.16,266103890.53,2460,2392,68,41,Partially Completed,2
COMP-000107,LG-000107,31042831696.5,31042831696.5,29536671445.8,1506160250.7,2769,2634,135,34,Partially Completed,1
COMP-000108,LG-000108,20214039958.78,17181933964.96,7216412265.28,9965521699.68,4177,1754,2423,142,In Progress,22
COMP-000109,LG-000109,27172942040.06,27172942040.06,25617739862.88,1555202177.18,2609,2459,150,60,Partially Completed,2
COMP-000110,LG-000110,21008641184.17,18907777065.75,10399277386.16,8508499679.59,1493,821,672,117,Partially Completed,10
COMP-000111,LG-000111,2476451797.12,2228806617.41,1225843639.58,1002962977.83,1580,869,711,77,Partially Completed,10
COMP-000112,LG-000112,18440935785.63,18440935785.63,16744175460.76,1696760324.87,2860,2596,264,26,Partially Completed,2
COMP-000113,LG-000113,6314209125.58,5367077756.74,2254172657.83,3112905098.91,4972,2088,2884,125,In Progress,16
COMP-000114,LG-000114,8944804156.38,8944804156.38,8482171686.18,462632470.2,3075,2915,160,54,Partially Completed,0
COMP-000115,LG-000115,42344232981.3,42344232981.3,40779298025.36,1564934955.94,4260,4102,158,30,Partially Completed,0
COMP-000116,LG-000116,22680496983.06,22680496983.06,22520702723.02,159794260.04,4693,4659,34,43,Partially Completed,2
COMP-000117,LG-000117,41729128060.9,41729128060.9,38687688268.6,3041439792.3,4774,4426,348,55,Partially Completed,2
COMP-000118,LG-000118,4630701471.36,3936096250.66,1653160425.28,2282935825.38,2420,1016,1404,100,In Progress,18
COMP-000119,LG-000119,8923073634.34,8923073634.34,8175383528.63,747690105.71,1218,1115,103,42,Partially Completed,3
COMP-000120,LG-000120,31787897635.33,31787897635.33,29387329970.99,2400567664.34,4512,4171,341,40,Partially Completed,3
COMP-000121,LG-000121,32515681655.24,32515681655.24,29993791696.62,2521889958.62,1654,1525,129,58,Partially Completed,0
COMP-000122,LG-000122,36156237568.84,36156237568.84,35797052866.71,359184702.13,1362,1348,14,38,Partially Completed,2
COMP-000123,LG-000123,26920074371.32,24228066934.19,13325436813.8,10902630120.39,3339,1836,1503,177,Partially Completed,11
COMP-000124,LG-000124,36682861259.19,36682861259.19,33650875934.0,3031985325.19,2781,2551,230,21,Partially Completed,1
COMP-000125,LG-000125,9236813990.25,9236813990.25,8595465675.51,641348314.74,305,283,22,16,Partially Completed,2
COMP-000126,LG-000126,43122703161.83,43122703161.83,42362469748.98,760233412.85,111,109,2,19,Partially Completed,2
COMP-000127,LG-000127,2603902196.55,2213316867.07,929593084.17,1283723782.9,4474,1879,2595,106,In Progress,17
COMP-000128,LG-000128,30548551115.93,25966268448.54,10905832748.39,15060435700.15,875,367,508,143,In Progress,19
COMP-000129,LG-000129,35866509152.13,35866509152.13,35470783820.15,395725331.98,960,949,11,28,Partially Completed,2
COMP-000130,LG-000130,33646149577.19,33646149577.19,29636568314.99,4009581262.2,1861,1639,222,32,Partially Completed,1
COMP-000131,LG-000131,15077866434.03,13570079790.63,7463543884.85,6106535905.78,3162,1739,1423,101,Partially Completed,7
COMP-000132,LG-000132,12032249734.75,12032249734.75,10509526641.52,1522723093.23,1817,1587,230,55,Partially Completed,0
COMP-000133,LG-000133,17362581061.44,17362581061.44,17175535671.98,187045389.46,206,203,3,40,Partially Completed,1
COMP-000134,LG-000134,5225564547.83,5225564547.83,4813752435.62,411812112.21,693,638,55,20,Partially Completed,0
COMP-000135,LG-000135,32529932291.08,32529932291.08,30971201147.54,1558731143.54,2270,2161,109,25,Partially Completed,3
COMP-000136,LG-000136,30394559410.75,30394559410.75,30379058317.2,15501093.55,1102,1101,1,57,Partially Completed,1
COMP-000137,LG-000137,31314130228.1,31314130228.1,30875008157.79,439122070.31,58,57,1,28,Partially Completed,1
COMP-000138,LG-000138,20261988261.69,20261988261.69,17702726841.68,2559261420.01,3681,3216,465,40,Partially Completed,3
COMP-000139,LG-000139,11908834608.8,11908834608.8,11657822025.87,251012582.93,828,810,18,31,Partially Completed,1
COMP-000140,LG-000140,9635028113.27,9635028113.27,9080838064.95,554190048.32,2381,2244,137,16,Partially Completed,2
COMP-000141,LG-000141,10804108042.27,10804108042.27,10089179729.66,714928312.61,435,406,29,30,Partially Completed,3
COMP-000142,LG-000142,26556495217.5,26556495217.5,26360329058.72,196166158.78,2645,2625,20,55,Partially Completed,3
COMP-000143,LG-000143,12512121805.12,12512121805.12,11055883368.1,1456238437.02,1316,1162,154,42,Partially Completed,2
COMP-000144,LG-000144,8724560438.04,7852104394.24,4318657416.83,3533446977.41,1838,1010,828,82,Partially Completed,9
COMP-000145,LG-000145,26451695801.73,23806526221.56,13093589421.86,10712936799.7,1075,591,484,137,Partially Completed,11
COMP-000146,LG-000146,39143311949.54,39143311949.54,38318742924.77,824569024.77,4822,4720,102,59,Partially Completed,1
COMP-000147,LG-000147,20031589441.07,20031589441.07,17703711281.57,2327878159.5,3243,2866,377,28,Partially Completed,3
COMP-000148,LG-000148,15299504142.33,13004578520.98,5461922978.81,7542655542.17,3952,1659,2293,164,In Progress,20
COMP-000149,LG-000149,8461576262.98,7615418636.68,4188480250.17,3426938386.51,4719,2595,2124,65,Partially Completed,9
COMP-000150,LG-000150,27813061000.09,27813061000.09,25189396898.18,2623664101.91,751,680,71,30,Partially Completed,3
COMP-000151,LG-000151,18463314023.7,18463314023.7,15769794096.94,2693519926.76,373,318,55,51,Partially Completed,1
COMP-000152,LG-000152,1815767173.05,1543402097.09,648228880.78,895173216.31,2308,969,1339,137,In Progress,17
COMP-000153,LG-000153,16313628641.94,16313628641.94,15036880513.73,1276748128.21,2492,2296,196,16,Partially Completed,0
COMP-000154,LG-000154,15287304304.1,13758573873.69,7567215630.53,6191358243.16,2045,1124,921,156,Partially Completed,9
COMP-000155,LG-000155,22311186278.51,22311186278.51,19360314630.92,2950871647.59,2202,1910,292,46,Partially Completed,2
COMP-000156,LG-000156,37733068101.24,37733068101.24,35079523402.27,2653544698.97,2552,2372,180,50,Partially Completed,2
COMP-000157,LG-000157,25589401049.49,25589401049.49,21837151600.98,3752249448.51,1948,1662,286,26,Partially Completed,2
COMP-000158,LG-000158,49066940808.41,49066940808.41,42227085401.99,6839855406.42,178,153,25,51,Partially Completed,3
COMP-000159,LG-000159,38929325182.18,38929325182.18,36298700393.61,2630624788.57,491,457,34,54,Partially Completed,2
COMP-000160,LG-000160,19447755675.21,19447755675.21,19391301929.98,56453745.23,3939,3927,12,24,Partially Completed,1
COMP-000161,LG-000161,15100524191.38,12835445562.67,5390887136.32,7444558426.35,2468,1036,1432,95,In Progress,24
COMP-000162,LG-000162,16068659654.87,16068659654.87,15780942391.02,287717263.85,4778,4692,86,47,Partially Completed,1
COMP-000163,LG-000163,1721230548.2,1721230548.2,1479430271.82,241800276.38,1771,1522,249,56,Partially Completed,0
COMP-000164,LG-000164,34518582253.08,34518582253.08,31453436958.52,3065145294.56,2006,1827,179,57,Partially Completed,0
COMP-000165,LG-000165,44132828920.28,44132828920.28,42741695185.45,1391133734.83,4255,4120,135,16,Partially Completed,1
COMP-000166,LG-000166,11815928432.33,11815928432.33,10104786427.68,1711142004.65,1910,1633,277,57,Partially Completed,2
COMP-000167,LG-000167,13588585828.89,12229727246.0,6726349985.3,5503377260.7,274,150,124,71,Partially Completed,9
COMP-000168,LG-000168,36915346984.16,33223812285.74,18273096757.16,14950715528.58,2900,1595,1305,66,Partially Completed,7
COMP-000169,LG-000169,1876663232.23,1688996909.01,928948299.96,760048609.05,2835,1559,1276,135,Partially Completed,6
COMP-000170,LG-000170,36268180688.28,32641362619.45,17952749440.7,14688613178.75,1952,1073,879,129,Partially Completed,7
COMP-000171,LG-000171,25910277140.77,25910277140.77,24738997864.47,1171279276.3,3032,2894,138,33,Partially Completed,0
COMP-000172,LG-000172,2351008738.74,2351008738.74,2145688133.71,205320605.03,3167,2890,277,18,Partially Completed,3
COMP-000173,LG-000173,29794846199.97,25325619269.97,10636760093.39,14688859176.58,2722,1143,1579,137,In Progress,14
COMP-000174,LG-000174,18190698380.56,18190698380.56,15533064233.31,2657634147.25,4785,4085,700,45,Partially Completed,3
COMP-000175,LG-000175,15919398847.13,13531489020.06,5683225388.43,7848263631.63,2256,947,1309,173,In Progress,20
COMP-000176,LG-000176,9804686086.68,9804686086.68,9476549986.08,328136100.6,3392,3278,114,56,Partially Completed,3
COMP-000177,LG-000177,12395663375.29,10536313869.0,4425251824.98,6111062044.02,4327,1817,2510,119,In Progress,14
COMP-000178,LG-000178,45615458303.23,45615458303.23,44366883305.75,1248574997.48,4608,4481,127,40,Partially Completed,2
COMP-000179,LG-000179,31604077423.4,31604077423.4,30374551693.08,1229525730.32,2211,2124,87,27,Partially Completed,1
COMP-000180,LG-000180,24462418255.5,24462418255.5,22182410802.48,2280007453.02,3718,3371,347,33,Partially Completed,2
COMP-000181,LG-000181,13536613838.17,12182952454.35,6700623849.89,5482328604.46,459,252,207,143,Partially Completed,5
COMP-000182,LG-000182,31756207818.61,31756207818.61,31302927952.29,453279866.32,438,431,7,47,Partially Completed,0
COMP-000183,LG-000183,31376231091.62,28238607982.46,15531234390.35,12707373592.11,1420,781,639,74,Partially Completed,7
COMP-000184,LG-000184,27708073823.8,27708073823.8,27597859069.62,110214754.18,4599,4580,19,44,Partially Completed,1
COMP-000185,LG-000185,9788940441.28,8320599375.09,3494651737.54,4825947637.55,4499,1889,2610,109,In Progress,12
COMP-000186,LG-000186,32721403330.86,29449262997.77,16197094648.77,13252168349.0,3080,1694,1386,103,Partially Completed,9
COMP-000187,LG-000187,29910094567.71,25423580382.55,10677903760.67,14745676621.88,1336,561,775,152,In Progress,14
COMP-000188,LG-000188,9746379464.89,8771741518.4,4824457835.12,3947283683.28,2238,1230,1008,168,Partially Completed,11
COMP-000189,LG-000189,27989696425.6,23791241961.76,9992321623.94,13798920337.82,1682,706,976,70,In Progress,25
COMP-000190,LG-000190,24783849077.72,22305464169.95,12268005293.47,10037458876.48,2958,1626,1332,167,Partially Completed,9
COMP-000191,LG-000191,7244379831.76,6519941848.58,3585968016.72,2933973831.86,4934,2713,2221,160,Partially Completed,6
COMP-000192,LG-000192,10361752134.4,10361752134.4,8965499946.58,1396252187.82,2249,1945,304,21,Partially Completed,2
COMP-000193,LG-000193,6263342179.01,5637007961.11,3100354378.61,2536653582.5,4721,2596,2125,176,Partially Completed,10
COMP-000194,LG-000194,20014085467.43,20014085467.43,18063571137.32,1950514330.11,460,415,45,30,Partially Completed,1
COMP-000195,LG-000195,24506833259.8,22056149933.82,12130882463.6,9925267470.22,1670,918,752,141,Partially Completed,10
COMP-000196,LG-000196,13765897743.62,11701013082.08,4914425494.47,6786587587.61,2632,1105,1527,99,In Progress,14
COMP-000197,LG-000197,7927068424.28,7927068424.28,7302828193.84,624240230.44,4840,4458,382,44,Partially Completed,0
COMP-000198,LG-000198,15394188350.02,15394188350.02,14189850754.26,1204337595.76,4846,4466,380,43,Partially Completed,3
COMP-000199,LG-000199,37560949425.53,31926807011.7,13409258944.91,18517548066.79,3838,1611,2227,122,In Progress,25
COMP-000200,LG-000200,625706492.01,625706492.01,565736801.38,59969690.63,2231,2017,214,16,Partially Completed,1
COMP-000201,LG-000201,13197640245.24,11217994208.45,4711557567.55,6506436640.9,4287,1800,2487,87,In Progress,24
COMP-000202,LG-000202,38144694021.83,38144694021.83,36446256329.32,1698437692.51,3508,3351,157,30,Partially Completed,0
COMP-000203,LG-000203,8223593509.28,7401234158.35,4070678787.09,3330555371.26,4875,2681,2194,74,Partially Completed,7
COMP-000204,LG-000204,25989051690.42,25989051690.42,23714973361.51,2274078328.91,1795,1637,158,47,Partially Completed,2
COMP-000205,LG-000205,36248867864.46,30811537684.79,12940845827.61,17870691857.18,1789,751,1038,130,In Progress,14
COMP-000206,LG-000206,29539588530.04,29539588530.04,28417693468.93,1121895061.11,3358,3230,128,21,Partially Completed,3
COMP-000207,LG-000207,36545004766.03,31063254051.13,13046566701.47,18016687349.66,564,236,328,151,In Progress,14
COMP-000208,LG-000208,23639813642.31,21275832278.08,11701707752.94,9574124525.14,3940,2167,1773,142,Partially Completed,7
COMP-000209,LG-000209,36294861609.35,36294861609.35,34704235243.51,1590626365.84,823,786,37,25,Partially Completed,3
COMP-000210,LG-000210,19320479399.73,17388431459.76,9563637302.87,7824794156.89,4166,2291,1875,86,Partially Completed,5
COMP-000211,LG-000211,38257069577.82,38257069577.82,34595544222.75,3661525355.07,1086,982,104,49,Partially Completed,1
COMP-000212,LG-000212,16648872536.56,14151541656.08,5943647495.55,8207894160.53,243,102,141,73,In Progress,25
COMP-000213,LG-000213,17150500286.31,15435450257.68,8489497641.72,6945952615.96,4313,2372,1941,168,Partially Completed,6
COMP-000214,LG-000214,38727981474.07,34855183326.66,19170350829.66,15684832497.0,1869,1027,842,180,Partially Completed,8
COMP-000215,LG-000215,33002746556.08,33002746556.08,29523146851.48,3479599704.6,127,113,14,58,Partially Completed,3
COMP-000216,LG-000216,14288733709.46,14288733709.46,13693468053.7,595265655.76,753,721,32,21,Partially Completed,3
COMP-000217,LG-000217,5516661594.77,4964995435.29,2730747489.41,2234247945.88,3608,1984,1624,106,Partially Completed,12
COMP-000218,LG-000218,38036304110.38,38036304110.38,33876441887.65,4159862222.73,4189,3730,459,24,Partially Completed,3
COMP-000219,LG-000219,19310937816.03,16414297143.63,6894004800.32,9520292343.31,4759,1998,2761,175,In Progress,21
COMP-000220,LG-000220,15715288450.26,15715288450.26,13387892099.71,2327396350.55,4527,3856,671,52,Partially Completed,0
COMP-000221,LG-000221,1067925136.83,1067925136.83,1062330849.04,5594287.79,3486,3467,19,55,Partially Completed,0
COMP-000222,LG-000222,28263334961.52,24023834717.29,10090010581.26,13933824136.03,3861,1621,2240,143,In Progress,13
COMP-000223,LG-000223,19257378662.93,19257378662.93,16724952029.96,2532426632.97,1248,1083,165,50,Partially Completed,3
COMP-000224,LG-000224,1327776712.56,1194999041.3,657249472.72,537749568.58,2002,1101,901,107,Partially Completed,8
COMP-000225,LG-000225,39725341463.17,39725341463.17,37379743599.91,2345597863.26,147,138,9,21,Partially Completed,0
COMP-000226,LG-000226,23021546631.23,23021546631.23,22785667056.05,235879575.18,4136,4093,43,36,Partially Completed,2
COMP-000227,LG-000227,5686833381.87,5118150043.68,2814982524.02,2303167519.66,2857,1571,1286,73,Partially Completed,12
COMP-000228,LG-000228,47674258329.69,47674258329.69,44745028539.52,2929229790.17,4583,4301,282,57,Partially Completed,0
COMP-000229,LG-000229,37194272586.94,37194272586.94,34238763036.04,2955509550.9,3087,2841,246,32,Partially Completed,3
COMP-000230,LG-000230,25190347659.75,25190347659.75,23363472055.65,1826875604.1,4665,4326,339,23,Partially Completed,0
COMP-000231,LG-000231,1271576358.35,1271576358.35,1236585771.65,34990586.7,806,783,23,22,Partially Completed,3
COMP-000232,LG-000232,7961357740.93,7961357740.93,7590890893.27,370466847.66,959,914,45,19,Partially Completed,2
COMP-000233,LG-000233,26841335245.3,26841335245.3,23867049312.71,2974285932.59,592,526,66,27,Partially Completed,1
