approval_id,project_id,approval_type,submission_date,approval_date,approval_status,responsible_authority,delay_days
APP-0000080,LG-000014,Environmental Clearance,2022-07-30,2022-11-17,Approved,MoEFCC,2
APP-0000081,LG-000014,Land Acquisition Approval,2022-06-29,2022-10-17,Approved,Finance Ministry,0
APP-0000082,LG-000014,Financial Approval,2022-09-10,2022-10-14,Approved,Finance Ministry,8
APP-0000083,LG-000015,Administrative Approval,2020-01-12,2020-05-10,Approved,State Cabinet,7
APP-0000084,LG-000015,Environmental Clearance,2020-01-22,,Submitted,MoEFCC,113
APP-0000085,LG-000015,Land Acquisition Approval,2019-11-17,,In Review,Finance Ministry,129
APP-0000086,LG-000016,Administrative Approval,2023-05-18,2023-08-02,Approved,District Collectorate,13
APP-0000087,LG-000016,Environmental Clearance,2023-05-26,2023-06-25,Approved,District Collectorate,4
APP-0000088,LG-000016,Land Acquisition Approval,2023-06-12,2023-07-13,Approved,Finance Ministry,15
APP-0000089,LG-000016,Financial Approval,2023-06-14,,In Review,District Collectorate,132
APP-0000090,LG-000017,Administrative Approval,2020-11-05,2021-01-01,Approved,District Collectorate,12
APP-0000091,LG-000017,Environmental Clearance,2020-11-21,2021-02-16,Approved,MoEFCC,12
APP-0000092,LG-000017,Land Acquisition Approval,2020-10-10,2021-01-24,Approved,State Cabinet,0
APP-0000093,LG-000017,Financial Approval,2020-11-13,,Submitted,District Collectorate,57
APP-0000094,LG-000017,Government Notification,2020-10-08,2021-02-03,Approved,State Cabinet,8
APP-0000095,LG-000017,Administrative Approval,2020-10-18,,In Review,State Cabinet,49
APP-0000096,LG-000017,Environmental Clearance,2020-11-08,2021-02-20,Approved,State Cabinet,7
APP-0000097,LG-000018,Administrative Approval,2019-12-22,2020-02-05,Approved,District Collectorate,5
APP-0000098,LG-000018,Environmental Clearance,2019-11-02,2020-01-11,Approved,Finance Ministry,13
APP-0000099,LG-000018,Land Acquisition Approval,2019-11-22,,Conditionally Approved,District Collectorate,149
APP-0000100,LG-000018,Financial Approval,2019-11-03,2019-12-16,Approved,State Cabinet,4
APP-0000101,LG-000018,Government Notification,2019-10-18,2020-02-03,Approved,State Cabinet,8
APP-0000102,LG-000018,Administrative Approval,2019-12-30,,Conditionally Approved,District Collectorate,33
APP-0000103,LG-000018,Environmental Clearance,2019-10-25,2020-01-24,Approved,Finance Ministry,4
APP-0000104,LG-000019,Administrative Approval,2018-04-28,2018-08-17,Approved,MoEFCC,6
APP-0000105,LG-000019,Environmental Clearance,2018-06-04,2018-08-09,Approved,MoEFCC,8
APP-0000106,LG-000019,Land Acquisition Approval,2018-04-23,2018-08-01,Approved,MoEFCC,10
APP-0000107,LG-000019,Financial Approval,2018-03-29,2018-06-10,Approved,MoEFCC,12
APP-0000108,LG-000019,Government Notification,2018-04-06,2018-06-18,Approved,Finance Ministry,15
APP-0000109,LG-000020,Administrative Approval,2018-07-24,2018-08-23,Approved,MoEFCC,11
APP-0000110,LG-000020,Environmental Clearance,2018-06-20,2018-08-19,Approved,Finance Ministry,13
APP-0000111,LG-000020,Land Acquisition Approval,2018-08-03,2018-10-20,Approved,Finance Ministry,12
APP-0000112,LG-000020,Financial Approval,2018-07-09,2018-10-31,Approved,Finance Ministry,5
APP-0000113,LG-000020,Government Notification,2018-06-01,2018-08-19,Approved,Finance Ministry,11
APP-0000114,LG-000021,Administrative Approval,2023-09-10,2023-12-11,Approved,Finance Ministry,15
APP-0000115,LG-000021,Environmental Clearance,2023-08-02,2023-09-09,Approved,MoEFCC,7
APP-0000116,LG-000021,Land Acquisition Approval,2023-07-31,2023-10-30,Approved,District Collectorate,3
APP-0000117,LG-000021,Financial Approval,2023-07-24,2023-10-13,Approved,MoEFCC,1
APP-0000118,LG-000021,Government Notification,2023-07-28,2023-10-09,Approved,Finance Ministry,2
APP-0000119,LG-000021,Administrative Approval,2023-07-19,2023-09-09,Approved,Finance Ministry,1
APP-0000120,LG-000021,Environmental Clearance,2023-09-04,2024-01-01,Approved,MoEFCC,12
APP-0000121,LG-000022,Administrative Approval,2018-06-20,2018-09-20,Approved,Finance Ministry,3
APP-0000122,LG-000022,Environmental Clearance,2018-08-02,2018-11-08,Approved,Finance Ministry,9
APP-0000123,LG-000022,Land Acquisition Approval,2018-07-22,2018-11-15,Approved,State Cabinet,2
APP-0000124,LG-000023,Administrative Approval,2022-09-13,2022-11-03,Approved,District Collectorate,10
APP-0000125,LG-000023,Environmental Clearance,2022-11-27,2023-01-30,Approved,MoEFCC,11
APP-0000126,LG-000023,Land Acquisition Approval,2022-11-08,2022-12-26,Approved,State Cabinet,0
APP-0000127,LG-000023,Financial Approval,2022-11-06,2023-02-06,Approved,District Collectorate,13
APP-0000128,LG-000024,Administrative Approval,2020-10-28,,Conditionally Approved,District Collectorate,38
APP-0000129,LG-000024,Environmental Clearance,2020-08-28,,Submitted,District Collectorate,98
APP-0000130,LG-000024,Land Acquisition Approval,2020-08-18,,In Review,Finance Ministry,102
APP-0000131,LG-000024,Financial Approval,2020-09-17,,In Review,MoEFCC,105
APP-0000132,LG-000024,Government Notification,2020-09-23,,In Review,MoEFCC,71
APP-0000133,LG-000025,Administrative Approval,2021-09-24,2022-01-03,Approved,MoEFCC,7
APP-0000134,LG-000025,Environmental Clearance,2021-11-20,2022-03-19,Approved,MoEFCC,5
APP-0000135,LG-000025,Land Acquisition Approval,2021-11-12,2022-02-26,Approved,State Cabinet,8
APP-0000136,LG-000025,Financial Approval,2021-10-03,2021-11-23,Approved,MoEFCC,3
APP-0000137,LG-000026,Administrative Approval,2024-08-04,,Submitted,Finance Ministry,43
APP-0000138,LG-000026,Environmental Clearance,2024-08-07,2024-11-19,Approved,MoEFCC,9
APP-0000139,LG-000026,Land Acquisition Approval,2024-08-16,,Conditionally Approved,Finance Ministry,105
APP-0000140,LG-000026,Financial Approval,2024-07-14,2024-10-19,Approved,Finance Ministry,0
APP-0000141,LG-000026,Government Notification,2024-08-27,,Submitted,Finance Ministry,64
APP-0000142,LG-000026,Administrative Approval,2024-08-14,,Conditionally Approved,District Collectorate,150
APP-0000143,LG-000026,Environmental Clearance,2024-08-11,2024-09-12,Approved,District Collectorate,5
APP-0000144,LG-000027,Administrative Approval,2020-08-16,2020-09-25,Approved,MoEFCC,2
APP-0000145,LG-000027,Environmental Clearance,2020-08-16,2020-11-14,Approved,Finance Ministry,6
APP-0000146,LG-000027,Land Acquisition Approval,2020-07-02,2020-10-07,Approved,Finance Ministry,12
APP-0000147,LG-000027,Financial Approval,2020-07-26,2020-11-14,Approved,Finance Ministry,13
APP-0000148,LG-000027,Government Notification,2020-09-19,2020-12-20,Approved,State Cabinet,13
APP-0000149,LG-000027,Administrative Approval,2020-07-11,2020-10-11,Approved,State Cabinet,14
APP-0000150,LG-000027,Environmental Clearance,2020-09-21,2020-12-27,Approved,State Cabinet,3
APP-0000151,LG-000027,Land Acquisition Approval,2020-08-20,2020-10-09,Approved,MoEFCC,11
APP-0000152,LG-000028,Administrative Approval,2024-10-02,2024-11-03,Approved,District Collectorate,8
APP-0000153,LG-000028,Environmental Clearance,2024-10-25,,Conditionally Approved,District Collectorate,110
APP-0000154,LG-000028,Land Acquisition Approval,2024-10-29,2025-01-30,Approved,MoEFCC,11
APP-0000155,LG-000028,Financial Approval,2024-11-05,2025-03-05,Approved,MoEFCC,6
APP-0000156,LG-000028,Government Notification,2024-10-26,2025-02-14,Approved,MoEFCC,12
APP-0000157,LG-000028,Administrative Approval,2024-11-05,2025-02-06,Approved,State Cabinet,5
APP-0000158,LG-000029,Administrative Approval,2024-05-21,2024-08-22,Approved,District Collectorate,15
APP-0000159,LG-000029,Environmental Clearance,2024-05-28,2024-09-09,Approved,State Cabinet,1
APP-0000160,LG-000029,Land Acquisition Approval,2024-04-12,2024-07-08,Approved,Finance Ministry,7
APP-0000161,LG-000029,Financial Approval,2024-04-11,2024-06-28,Approved,District Collectorate,5
APP-0000162,LG-000029,Government Notification,2024-04-16,2024-06-02,Approved,District Collectorate,2
APP-0000163,LG-000030,Administrative Approval,2021-09-06,2021-12-25,Approved,State Cabinet,12
APP-0000164,LG-000030,Environmental Clearance,2021-10-06,2022-02-01,Approved,Finance Ministry,10
APP-0000165,LG-000030,Land Acquisition Approval,2021-09-02,2021-12-18,Approved,Finance Ministry,14
APP-0000166,LG-000030,Financial Approval,2021-10-29,2021-12-27,Approved,State Cabinet,0
APP-0000167,LG-000030,Government Notification,2021-08-27,2021-10-11,Approved,State Cabinet,9
APP-0000168,LG-000031,Administrative Approval,2022-01-27,2022-04-18,Approved,District Collectorate,2
APP-0000169,LG-000031,Environmental Clearance,2022-02-21,2022-05-22,Approved,Finance Ministry,3
APP-0000170,LG-000031,Land Acquisition Approval,2022-02-04,2022-03-24,Approved,State Cabinet,1
APP-0000171,LG-000031,Financial Approval,2022-03-02,2022-05-09,Approved,State Cabinet,14
APP-0000172,LG-000031,Government Notification,2022-02-24,2022-05-26,Approved,State Cabinet,7
APP-0000173,LG-000031,Administrative Approval,2022-01-25,,Conditionally Approved,MoEFCC,119
APP-0000174,LG-000032,Administrative Approval,2025-01-29,,Submitted,State Cabinet,47
APP-0000175,LG-000032,Environmental Clearance,2025-03-21,,Submitted,Finance Ministry,123
APP-0000176,LG-000032,Land Acquisition Approval,2025-01-14,,In Review,State Cabinet,78
APP-0000177,LG-000033,Administrative Approval,2019-06-30,,In Review,State Cabinet,54
APP-0000178,LG-000033,Environmental Clearance,2019-08-07,,Submitted,MoEFCC,41
APP-0000179,LG-000033,Land Acquisition Approval,2019-08-01,,In Review,State Cabinet,119
APP-0000180,LG-000034,Administrative Approval,2019-11-22,2020-03-18,Approved,MoEFCC,12
APP-0000181,LG-000034,Environmental Clearance,2019-12-18,2020-01-31,Approved,MoEFCC,7
APP-0000182,LG-000034,Land Acquisition Approval,2019-11-22,2020-03-09,Approved,MoEFCC,10
APP-0000183,LG-000034,Financial Approval,2019-12-02,2020-01-11,Approved,State Cabinet,1
APP-0000184,LG-000034,Government Notification,2019-11-08,2020-01-19,Approved,Finance Ministry,5
APP-0000185,LG-000034,Administrative Approval,2019-11-05,2020-03-01,Approved,District Collectorate,9
APP-0000186,LG-000034,Environmental Clearance,2019-11-30,2020-02-02,Approved,District Collectorate,15
APP-0000187,LG-000034,Land Acquisition Approval,2019-11-19,2019-12-28,Approved,State Cabinet,0
APP-0000188,LG-000035,Administrative Approval,2024-06-14,,Submitted,Finance Ministry,65
APP-0000189,LG-000035,Environmental Clearance,2024-06-02,,Conditionally Approved,Finance Ministry,87
APP-0000190,LG-000035,Land Acquisition Approval,2024-07-29,,In Review,MoEFCC,53
APP-0000191,LG-000035,Financial Approval,2024-06-03,2024-08-26,Approved,District Collectorate,10
APP-0000192,LG-000035,Government Notification,2024-06-13,,In Review,Finance Ministry,91
APP-0000193,LG-000035,Administrative Approval,2024-07-30,2024-09-18,Approved,District Collectorate,13
APP-0000194,LG-000035,Environmental Clearance,2024-08-19,,Submitted,State Cabinet,101
APP-0000195,LG-000035,Land Acquisition Approval,2024-06-01,2024-09-13,Approved,District Collectorate,4
APP-0000196,LG-000036,Administrative Approval,2022-04-29,2022-08-04,Approved,MoEFCC,6
APP-0000197,LG-000036,Environmental Clearance,2022-06-03,,Conditionally Approved,MoEFCC,143
APP-0000198,LG-000036,Land Acquisition Approval,2022-06-05,2022-08-27,Approved,District Collectorate,13
APP-0000199,LG-000036,Financial Approval,2022-05-03,,Submitted,Finance Ministry,132
APP-0000200,LG-000036,Government Notification,2022-05-26,,In Review,MoEFCC,83
APP-0000201,LG-000036,Administrative Approval,2022-04-08,,Conditionally Approved,Finance Ministry,71
APP-0000202,LG-000037,Administrative Approval,2020-06-18,,Conditionally Approved,District Collectorate,74
APP-0000203,LG-000037,Environmental Clearance,2020-07-30,,In Review,MoEFCC,88
APP-0000204,LG-000037,Land Acquisition Approval,2020-06-21,,In Review,Finance Ministry,144
APP-0000205,LG-000037,Financial Approval,2020-05-21,,Conditionally Approved,MoEFCC,123
APP-0000206,LG-000037,Government Notification,2020-05-25,2020-07-22,Approved,District Collectorate,4
APP-0000207,LG-000038,Administrative Approval,2018-04-13,2018-07-02,Approved,Finance Ministry,2
APP-0000208,LG-000038,Environmental Clearance,2018-03-08,2018-06-23,Approved,District Collectorate,5
APP-0000209,LG-000038,Land Acquisition Approval,2018-02-04,2018-05-20,Approved,Finance Ministry,11
APP-0000210,LG-000038,Financial Approval,2018-01-27,,Conditionally Approved,State Cabinet,50
APP-0000211,LG-000038,Government Notification,2018-01-31,2018-05-04,Approved,District Collectorate,15
APP-0000212,LG-000039,Administrative Approval,2022-11-14,2023-02-22,Approved,District Collectorate,12
APP-0000213,LG-000039,Environmental Clearance,2023-01-14,2023-04-27,Approved,State Cabinet,8
APP-0000214,LG-000039,Land Acquisition Approval,2022-12-25,2023-02-23,Approved,MoEFCC,4
APP-0000215,LG-000039,Financial Approval,2022-12-12,2023-02-15,Approved,State Cabinet,2
APP-0000216,LG-000039,Government Notification,2023-01-15,2023-04-28,Approved,MoEFCC,12
APP-0000217,LG-000039,Administrative Approval,2023-01-24,2023-03-29,Approved,MoEFCC,8
APP-0000218,LG-000039,Environmental Clearance,2022-11-22,2023-03-16,Approved,District Collectorate,10
APP-0000219,LG-000039,Land Acquisition Approval,2022-11-29,2022-12-31,Approved,MoEFCC,14
APP-0000220,LG-000040,Administrative Approval,2024-05-23,2024-09-20,Approved,Finance Ministry,3
APP-0000221,LG-000040,Environmental Clearance,2024-06-10,2024-07-21,Approved,District Collectorate,4
APP-0000222,LG-000040,Land Acquisition Approval,2024-07-10,,In Review,MoEFCC,132
APP-0000223,LG-000040,Financial Approval,2024-05-14,2024-07-24,Approved,District Collectorate,5
APP-0000224,LG-000040,Government Notification,2024-05-21,2024-08-24,Approved,District Collectorate,2
APP-0000225,LG-000040,Administrative Approval,2024-04-20,2024-08-18,Approved,State Cabinet,10
APP-0000226,LG-000041,Administrative Approval,2024-02-25,,In Review,State Cabinet,106
APP-0000227,LG-000041,Environmental Clearance,2024-02-21,,Conditionally Approved,State Cabinet,143
APP-0000228,LG-000041,Land Acquisition Approval,2024-03-28,2024-05-21,Approved,District Collectorate,8
APP-0000229,LG-000041,Financial Approval,2024-04-07,,In Review,Finance Ministry,77
APP-0000230,LG-000041,Government Notification,2024-03-16,,Conditionally Approved,State Cabinet,114
APP-0000231,LG-000042,Administrative Approval,2024-12-10,2025-03-08,Approved,State Cabinet,12
APP-0000232,LG-000042,Environmental Clearance,2025-01-19,,Submitted,State Cabinet,55
APP-0000233,LG-000042,Land Acquisition Approval,2024-12-30,,Submitted,State Cabinet,60
APP-0000234,LG-000042,Financial Approval,2025-01-16,,Submitted,District Collectorate,49
APP-0000235,LG-000042,Government Notification,2024-11-22,,In Review,Finance Ministry,42
APP-0000236,LG-000043,Administrative Approval,2022-04-24,,In Review,Finance Ministry,93
APP-0000237,LG-000043,Environmental Clearance,2022-03-23,2022-06-18,Approved,State Cabinet,5
APP-0000238,LG-000043,Land Acquisition Approval,2022-04-07,,Conditionally Approved,District Collectorate,136
APP-0000239,LG-000043,Financial Approval,2022-04-15,2022-08-10,Approved,Finance Ministry,3
APP-0000240,LG-000043,Government Notification,2022-04-30,2022-07-22,Approved,State Cabinet,13
APP-0000241,LG-000043,Administrative Approval,2022-05-07,,Submitted,MoEFCC,47
APP-0000242,LG-000043,Environmental Clearance,2022-05-02,,In Review,District Collectorate,32
APP-0000243,LG-000044,Administrative Approval,2020-07-20,2020-09-02,Approved,State Cabinet,14
APP-0000244,LG-000044,Environmental Clearance,2020-10-02,2021-01-18,Approved,MoEFCC,14
APP-0000245,LG-000044,Land Acquisition Approval,2020-08-20,2020-12-04,Approved,Finance Ministry,8
APP-0000246,LG-000044,Financial Approval,2020-10-07,2021-01-09,Approved,District Collectorate,15
APP-0000247,LG-000044,Government Notification,2020-10-09,2021-01-15,Approved,District Collectorate,7
APP-0000248,LG-000044,Administrative Approval,2020-08-23,2020-11-25,Approved,Finance Ministry,9
APP-0000249,LG-000044,Environmental Clearance,2020-08-02,2020-09-24,Approved,MoEFCC,15
APP-0000250,LG-000045,Administrative Approval,2023-07-11,2023-08-22,Approved,District Collectorate,11
APP-0000251,LG-000045,Environmental Clearance,2023-06-27,2023-09-20,Approved,State Cabinet,9
APP-0000252,LG-000045,Land Acquisition Approval,2023-08-16,,Conditionally Approved,Finance Ministry,133
APP-0000253,LG-000045,Financial Approval,2023-07-18,,In Review,District Collectorate,123
APP-0000254,LG-000045,Government Notification,2023-05-24,,Submitted,MoEFCC,52
APP-0000255,LG-000045,Administrative Approval,2023-06-04,2023-07-21,Approved,MoEFCC,15
APP-0000256,LG-000046,Administrative Approval,2024-04-10,,Submitted,State Cabinet,111
APP-0000257,LG-000046,Environmental Clearance,2024-04-09,2024-07-26,Approved,State Cabinet,13
APP-0000258,LG-000046,Land Acquisition Approval,2024-04-25,,In Review,Finance Ministry,67
APP-0000259,LG-000046,Financial Approval,2024-05-26,2024-08-24,Approved,District Collectorate,14
APP-0000260,LG-000046,Government Notification,2024-04-07,2024-06-14,Approved,MoEFCC,0
APP-0000261,LG-000047,Administrative Approval,2023-01-23,,In Review,Finance Ministry,93
APP-0000262,LG-000047,Environmental Clearance,2023-01-25,2023-03-17,Approved,Finance Ministry,0
APP-0000263,LG-000047,Land Acquisition Approval,2023-03-29,2023-06-11,Approved,State Cabinet,15
APP-0000264,LG-000047,Financial Approval,2023-01-25,2023-03-04,Approved,District Collectorate,8
APP-0000265,LG-000047,Government Notification,2023-01-20,2023-04-22,Approved,State Cabinet,13
APP-0000266,LG-000047,Administrative Approval,2023-03-08,,In Review,District Collectorate,69
APP-0000267,LG-000047,Environmental Clearance,2023-02-28,,Conditionally Approved,State Cabinet,82
APP-0000268,LG-000048,Administrative Approval,2022-09-22,2022-12-03,Approved,MoEFCC,14
APP-0000269,LG-000048,Environmental Clearance,2022-10-25,,Submitted,District Collectorate,107
APP-0000270,LG-000048,Land Acquisition Approval,2022-11-09,,Conditionally Approved,MoEFCC,70
APP-0000271,LG-000048,Financial Approval,2022-09-13,2022-12-04,Approved,State Cabinet,0
APP-0000272,LG-000049,Administrative Approval,2020-11-06,,Submitted,Finance Ministry,145
APP-0000273,LG-000049,Environmental Clearance,2020-12-22,,Conditionally Approved,District Collectorate,116
APP-0000274,LG-000049,Land Acquisition Approval,2021-02-01,,In Review,Finance Ministry,132
APP-0000275,LG-000049,Financial Approval,2020-12-26,2021-02-10,Approved,District Collectorate,11
APP-0000276,LG-000049,Government Notification,2021-01-13,,In Review,MoEFCC,64
APP-0000277,LG-000049,Administrative Approval,2020-12-31,2021-02-09,Approved,MoEFCC,10
APP-0000278,LG-000049,Environmental Clearance,2020-11-06,2020-12-19,Approved,MoEFCC,7
APP-0000279,LG-000050,Administrative Approval,2023-01-23,2023-03-18,Approved,State Cabinet,9
APP-0000280,LG-000050,Environmental Clearance,2023-02-03,,Submitted,District Collectorate,68
APP-0000281,LG-000050,Land Acquisition Approval,2023-01-12,,Submitted,Finance Ministry,33
APP-0000282,LG-000051,Administrative Approval,2019-05-31,2019-08-11,Approved,Finance Ministry,11
APP-0000283,LG-000051,Environmental Clearance,2019-06-25,2019-10-20,Approved,MoEFCC,5
APP-0000284,LG-000051,Land Acquisition Approval,2019-06-11,,Conditionally Approved,District Collectorate,48
APP-0000285,LG-000051,Financial Approval,2019-07-07,2019-08-26,Approved,State Cabinet,4
APP-0000286,LG-000051,Government Notification,2019-07-26,,In Review,MoEFCC,142
APP-0000287,LG-000051,Administrative Approval,2019-07-02,,Conditionally Approved,MoEFCC,43
APP-0000288,LG-000051,Environmental Clearance,2019-05-31,2019-09-23,Approved,State Cabinet,5
APP-0000289,LG-000052,Administrative Approval,2018-05-13,2018-07-25,Approved,District Collectorate,9
APP-0000290,LG-000052,Environmental Clearance,2018-04-23,2018-07-22,Approved,Finance Ministry,15
APP-0000291,LG-000052,Land Acquisition Approval,2018-06-11,2018-09-20,Approved,Finance Ministry,4
APP-0000292,LG-000052,Financial Approval,2018-04-27,,In Review,MoEFCC,73
APP-0000293,LG-000052,Government Notification,2018-04-16,2018-06-19,Approved,State Cabinet,9
APP-0000294,LG-000053,Administrative Approval,2021-11-17,2022-01-18,Approved,State Cabinet,14
