timeline_id,project_id,stage_name,planned_start_date,planned_end_date,actual_start_date,actual_end_date,stage_status,responsible_department,planned_duration_days,actual_duration_days,stage_delay_days
TL-0000027,LG-000003,Notification,2019-12-02,2020-02-06,2019-12-02,2020-02-13,Completed,Legal Affairs,66,73,7
TL-0000028,LG-000003,Objection/Hearing,2020-02-11,2020-04-09,2020-02-11,2020-04-15,Completed,Irrigation Department,58,64,6
TL-0000029,LG-000003,Compensation,2020-04-14,2020-08-08,2020-04-14,2020-08-12,Completed,Land Records Cell,116,120,4
TL-0000030,LG-000003,Legal Resolution,2020-08-13,2020-12-01,2020-08-13,,In Progress,Revenue Department,110,0,10
TL-0000031,LG-000003,R&R,2020-12-06,2021-02-13,,,Not Started,Finance Department,69,0,0
TL-0000032,LG-000003,Possession,2021-02-18,2021-03-24,,,Not Started,Legal Affairs,34,0,0
TL-0000033,LG-000003,Final Handover,2021-03-29,2021-05-14,,,Not Started,Land Records Cell,46,0,0
TL-0000034,LG-000004,Land Identification,2024-03-18,2024-06-11,2024-03-18,2024-07-23,Completed,Finance Department,85,127,42
TL-0000035,LG-000004,Survey,2024-06-16,2024-07-25,2024-06-16,2024-12-22,Completed,Legal Affairs,39,189,150
TL-0000036,LG-000004,Documentation,2024-07-30,2024-11-10,2024-07-30,2025-02-12,Completed,R&R Authority,103,197,94
TL-0000037,LG-000004,Approval,2024-11-15,2025-03-15,2024-11-15,2025-07-14,Completed,R&R Authority,120,241,121
TL-0000038,LG-000004,Notification,2025-03-20,2025-05-26,2025-03-20,2025-07-19,Completed,R&R Authority,67,121,54
TL-0000039,LG-000004,Objection/Hearing,2025-05-31,2025-07-02,2025-05-31,,In Progress,Environmental Cell,32,0,61
TL-0000040,LG-000004,Compensation,2025-07-07,2025-10-24,,,Not Started,Finance Department,109,0,0
TL-0000041,LG-000004,Legal Resolution,2025-10-29,2026-02-24,,,Not Started,Legal Affairs,118,0,0
TL-0000042,LG-000004,R&R,2026-03-01,2026-04-11,,,Not Started,R&R Authority,41,0,0
TL-0000043,LG-000004,Possession,2026-04-16,2026-05-29,,,Not Started,Public Works Dept,43,0,0
TL-0000044,LG-000004,Final Handover,2026-06-03,2026-08-27,,,Not Started,R&R Authority,85,0,0
TL-0000045,LG-000005,Land Identification,2021-10-01,2022-01-28,2021-10-01,2022-02-12,Completed,Environmental Cell,119,134,15
TL-0000046,LG-000005,Survey,2022-02-02,2022-03-21,2022-02-02,2022-03-23,Completed,Finance Department,47,49,2
TL-0000047,LG-000005,Documentation,2022-03-26,2022-04-29,2022-03-26,2022-05-08,Completed,Public Works Dept,34,43,9
TL-0000048,LG-000005,Approval,2022-05-04,2022-06-08,2022-05-04,2022-06-14,Completed,Revenue Department,35,41,6
TL-0000049,LG-000005,Notification,2022-06-13,2022-08-22,2022-06-13,2022-08-31,Completed,R&R Authority,70,79,9
TL-0000050,LG-000005,Objection/Hearing,2022-08-27,2022-12-04,2022-08-27,2022-12-19,Completed,Irrigation Department,99,114,15
TL-0000051,LG-000005,Compensation,2022-12-09,2023-01-12,2022-12-09,2023-01-18,Completed,Irrigation Department,34,40,6
TL-0000052,LG-000005,Legal Resolution,2023-01-17,2023-04-02,2023-01-17,,In Progress,Legal Affairs,75,0,0
TL-0000053,LG-000005,R&R,2023-04-07,2023-06-10,,,Not Started,Land Records Cell,64,0,0
TL-0000054,LG-000005,Possession,2023-06-15,2023-08-31,,,Not Started,R&R Authority,77,0,0
TL-0000055,LG-000005,Final Handover,2023-09-05,2023-11-25,,,Not Started,Finance Department,81,0,0
TL-0000056,LG-000006,Land Identification,2018-09-21,2018-11-30,2018-09-21,2019-01-29,Completed,R&R Authority,70,130,60
TL-0000057,LG-000006,Survey,2018-12-05,2019-03-23,2018-12-05,2019-08-04,Completed,Irrigation Department,108,242,134
TL-0000058,LG-000006,Documentation,2019-03-28,2019-07-11,2019-03-28,2019-10-02,Completed,Finance Department,105,188,83
TL-0000059,LG-000006,Approval,2019-07-16,2019-11-13,2019-07-16,2020-03-04,Completed,Irrigation Department,120,232,112
TL-0000060,LG-000006,Notification,2019-11-18,2020-02-16,2019-11-18,2020-07-09,Completed,Revenue Department,90,234,144
TL-0000061,LG-000006,Objection/Hearing,2020-02-21,2020-05-08,2020-02-21,2020-07-29,Completed,Land Records Cell,77,159,82
TL-0000062,LG-000006,Compensation,2020-05-13,2020-08-04,2020-05-13,2020-11-26,Completed,Irrigation Department,83,197,114
TL-0000063,LG-000006,Legal Resolution,2020-08-09,2020-12-05,2020-08-09,2021-04-04,Completed,Revenue Department,118,238,120
TL-0000064,LG-000006,R&R,2020-12-10,2021-03-26,2020-12-10,,In Progress,Irrigation Department,106,0,80
TL-0000065,LG-000006,Possession,2021-03-31,2021-07-22,,,Not Started,Public Works Dept,113,0,0
TL-0000066,LG-000006,Final Handover,2021-07-27,2021-09-01,,,Not Started,Finance Department,36,0,0
TL-0000067,LG-000007,Land Identification,2023-06-03,2023-07-09,2023-06-03,2023-10-01,Completed,R&R Authority,36,120,84
TL-0000068,LG-000007,Survey,2023-07-14,2023-10-19,2023-07-14,2024-01-07,Completed,R&R Authority,97,177,80
TL-0000069,LG-000007,Documentation,2023-10-24,2024-01-14,2023-10-24,2024-03-13,Completed,Irrigation Department,82,141,59
TL-0000070,LG-000007,Approval,2024-01-19,2024-04-06,2024-01-19,2024-06-08,Completed,Finance Department,78,141,63
TL-0000071,LG-000007,Notification,2024-04-11,2024-06-10,2024-04-11,2024-11-05,Completed,Public Works Dept,60,208,148
TL-0000072,LG-000007,Objection/Hearing,2024-06-15,2024-08-22,2024-06-15,2025-01-18,Completed,Environmental Cell,68,217,149
TL-0000073,LG-000007,Compensation,2024-08-27,2024-11-24,2024-08-27,2025-01-10,Completed,R&R Authority,89,136,47
TL-0000074,LG-000007,Legal Resolution,2024-11-29,2025-02-20,2024-11-29,2025-06-11,Completed,Environmental Cell,83,194,111
TL-0000075,LG-000007,R&R,2025-02-25,2025-05-15,2025-02-25,,In Progress,Irrigation Department,79,0,51
TL-0000076,LG-000007,Possession,2025-05-20,2025-07-15,,,Not Started,Legal Affairs,56,0,0
TL-0000077,LG-000007,Final Handover,2025-07-20,2025-11-09,,,Not Started,Land Records Cell,112,0,0
TL-0000078,LG-000008,Land Identification,2023-07-03,2023-10-02,2023-07-03,2024-02-19,Completed,Land Records Cell,91,231,140
TL-0000079,LG-000008,Survey,2023-10-07,2023-12-22,2023-10-07,2024-03-03,Completed,Public Works Dept,76,148,72
TL-0000080,LG-000008,Documentation,2023-12-27,2024-04-15,2023-12-27,2024-07-27,Completed,Public Works Dept,110,213,103
TL-0000081,LG-000008,Approval,2024-04-20,2024-07-17,2024-04-20,2024-09-08,Completed,Environmental Cell,88,141,53
TL-0000082,LG-000008,Notification,2024-07-22,2024-09-28,2024-07-22,2024-11-07,Completed,R&R Authority,68,108,40
TL-0000083,LG-000008,Objection/Hearing,2024-10-03,2024-12-14,2024-10-03,2025-05-10,Completed,R&R Authority,72,219,147
TL-0000084,LG-000008,Compensation,2024-12-19,2025-03-01,2024-12-19,2025-06-05,Completed,Legal Affairs,72,168,96
TL-0000085,LG-000008,Legal Resolution,2025-03-06,2025-05-30,2025-03-06,2025-10-21,Completed,Environmental Cell,85,229,144
TL-0000086,LG-000008,R&R,2025-06-04,2025-08-11,2025-06-04,2025-10-31,Completed,Public Works Dept,68,149,81
TL-0000087,LG-000008,Possession,2025-08-16,2025-11-15,2025-08-16,,In Progress,Environmental Cell,91,0,60
TL-0000088,LG-000008,Final Handover,2025-11-20,2026-02-08,,,Not Started,Legal Affairs,80,0,0
TL-0000089,LG-000009,Land Identification,2020-01-09,2020-03-22,2020-01-09,2020-03-23,Completed,Revenue Department,73,74,1
TL-0000090,LG-000009,Survey,2020-03-27,2020-05-08,2020-03-27,2020-05-22,Completed,Revenue Department,42,56,14
TL-0000091,LG-000009,Documentation,2020-05-13,2020-06-27,2020-05-13,2020-07-02,Completed,Finance Department,45,50,5
TL-0000092,LG-000009,Approval,2020-07-02,2020-09-28,2020-07-02,,In Progress,R&R Authority,88,0,0
TL-0000093,LG-000009,Notification,2020-10-03,2020-11-27,,,Not Started,Environmental Cell,55,0,0
TL-0000094,LG-000009,Objection/Hearing,2020-12-02,2021-03-25,,,Not Started,Irrigation Department,113,0,0
TL-0000095,LG-000009,Compensation,2021-03-30,2021-05-19,,,Not Started,Irrigation Department,50,0,0
TL-0000096,LG-000009,Legal Resolution,2021-05-24,2021-07-04,,,Not Started,Legal Affairs,41,0,0
TL-0000097,LG-000009,R&R,2021-07-09,2021-09-09,,,Not Started,Land Records Cell,62,0,0
TL-0000098,LG-000009,Possession,2021-09-14,2021-11-30,,,Not Started,Environmental Cell,77,0,0
TL-0000099,LG-000009,Final Handover,2021-12-05,2022-01-10,,,Not Started,R&R Authority,36,0,0
TL-0000100,LG-000010,Land Identification,2019-01-16,2019-04-08,2019-01-16,,In Progress,Public Works Dept,82,0,0
TL-0000101,LG-000010,Survey,2019-04-13,2019-07-21,,,Not Started,Legal Affairs,99,0,0
TL-0000102,LG-000010,Documentation,2019-07-26,2019-11-14,,,Not Started,Revenue Department,111,0,0
TL-0000103,LG-000010,Approval,2019-11-19,2020-01-30,,,Not Started,Revenue Department,72,0,0
TL-0000104,LG-000010,Notification,2020-02-04,2020-05-28,,,Not Started,R&R Authority,114,0,0
TL-0000105,LG-000010,Objection/Hearing,2020-06-02,2020-08-10,,,Not Started,Land Records Cell,69,0,0
TL-0000106,LG-000010,Compensation,2020-08-15,2020-10-10,,,Not Started,Public Works Dept,56,0,0
TL-0000107,LG-000010,Legal Resolution,2020-10-15,2021-01-06,,,Not Started,Finance Department,83,0,0
TL-0000108,LG-000010,R&R,2021-01-11,2021-02-17,,,Not Started,Environmental Cell,37,0,0
TL-0000109,LG-000010,Possession,2021-02-22,2021-04-28,,,Not Started,Land Records Cell,65,0,0
TL-0000110,LG-000010,Final Handover,2021-05-03,2021-06-07,,,Not Started,Public Works Dept,35,0,0
TL-0000111,LG-000011,Land Identification,2020-10-07,2020-11-19,2020-10-07,,Delayed,Legal Affairs,43,0,29
TL-0000112,LG-000011,Survey,2020-11-24,2021-01-14,,,Not Started,R&R Authority,51,0,0
TL-0000113,LG-000011,Documentation,2021-01-19,2021-03-10,,,Not Started,Land Records Cell,50,0,0
TL-0000114,LG-000011,Approval,2021-03-15,2021-06-23,,,Not Started,Land Records Cell,100,0,0
TL-0000115,LG-000011,Notification,2021-06-28,2021-09-09,,,Not Started,Finance Department,73,0,0
TL-0000116,LG-000011,Objection/Hearing,2021-09-14,2022-01-12,,,Not Started,Revenue Department,120,0,0
TL-0000117,LG-000011,Compensation,2022-01-17,2022-04-12,,,Not Started,Environmental Cell,85,0,0
TL-0000118,LG-000011,Legal Resolution,2022-04-17,2022-08-02,,,Not Started,R&R Authority,107,0,0
TL-0000119,LG-000011,R&R,2022-08-07,2022-09-26,,,Not Started,Revenue Department,50,0,0
TL-0000120,LG-000011,Possession,2022-10-01,2022-11-12,,,Not Started,Legal Affairs,42,0,0
TL-0000121,LG-000011,Final Handover,2022-11-17,2023-01-12,,,Not Started,Public Works Dept,56,0,0
TL-0000122,LG-000012,Land Identification,2020-01-13,2020-03-09,2020-01-13,2020-07-24,Completed,Environmental Cell,56,193,137
TL-0000123,LG-000012,Survey,2020-03-14,2020-06-25,2020-03-14,,Delayed,Environmental Cell,103,0,117
TL-0000124,LG-000012,Documentation,2020-06-30,2020-09-30,,,Not Started,Land Records Cell,92,0,0
TL-0000125,LG-000012,Approval,2020-10-05,2020-11-20,,,Not Started,R&R Authority,46,0,0
TL-0000126,LG-000012,Notification,2020-11-25,2021-03-16,,,Not Started,R&R Authority,111,0,0
TL-0000127,LG-000012,Objection/Hearing,2021-03-21,2021-06-10,,,Not Started,R&R Authority,81,0,0
TL-0000128,LG-000012,Compensation,2021-06-15,2021-09-14,,,Not Started,R&R Authority,91,0,0
TL-0000129,LG-000012,Legal Resolution,2021-09-19,2021-10-19,,,Not Started,Revenue Department,30,0,0
TL-0000130,LG-000012,R&R,2021-10-24,2022-01-30,,,Not Started,Public Works Dept,98,0,0
TL-0000131,LG-000012,Possession,2022-02-04,2022-04-22,,,Not Started,Revenue Department,77,0,0
TL-0000132,LG-000012,Final Handover,2022-04-27,2022-07-07,,,Not Started,Public Works Dept,71,0,0
TL-0000133,LG-000013,Land Identification,2023-11-13,2023-12-27,2023-11-13,2023-12-30,Completed,Public Works Dept,44,47,3
TL-0000134,LG-000013,Survey,2024-01-01,2024-01-31,2024-01-01,2024-02-10,Completed,Legal Affairs,30,40,10
TL-0000135,LG-000013,Documentation,2024-02-05,2024-05-26,2024-02-05,2024-06-04,Completed,Legal Affairs,111,120,9
TL-0000136,LG-000013,Approval,2024-05-31,2024-09-27,2024-05-31,2024-09-30,Completed,Revenue Department,119,122,3
TL-0000137,LG-000013,Notification,2024-10-02,2024-11-22,2024-10-02,2024-12-07,Completed,Environmental Cell,51,66,15
TL-0000138,LG-000013,Objection/Hearing,2024-11-27,2025-02-17,2024-11-27,2025-02-20,Completed,Irrigation Department,82,85,3
TL-0000139,LG-000013,Compensation,2025-02-22,2025-06-10,2025-02-22,2025-06-16,Completed,Public Works Dept,108,114,6
TL-0000140,LG-000013,Legal Resolution,2025-06-15,2025-07-30,2025-06-15,2025-08-11,Completed,Public Works Dept,45,57,12
TL-0000141,LG-000013,R&R,2025-08-04,2025-10-31,2025-08-04,2025-11-06,Completed,Legal Affairs,88,94,6
TL-0000142,LG-000013,Possession,2025-11-05,2025-12-18,2025-11-05,2025-12-31,Completed,Revenue Department,43,56,13
TL-0000143,LG-000013,Final Handover,2025-12-23,2026-04-13,2025-12-23,,In Progress,Land Records Cell,111,0,10
TL-0000144,LG-000014,Land Identification,2022-06-17,2022-09-17,2022-06-17,,In Progress,Legal Affairs,92,0,7
TL-0000145,LG-000014,Survey,2022-09-22,2023-01-08,,,Not Started,Irrigation Department,108,0,0
TL-0000146,LG-000014,Documentation,2023-01-13,2023-05-11,,,Not Started,Environmental Cell,118,0,0
TL-0000147,LG-000014,Approval,2023-05-16,2023-08-26,,,Not Started,Legal Affairs,102,0,0
TL-0000148,LG-000014,Notification,2023-08-31,2023-11-09,,,Not Started,R&R Authority,70,0,0
TL-0000149,LG-000014,Objection/Hearing,2023-11-14,2024-01-04,,,Not Started,Revenue Department,51,0,0
TL-0000150,LG-000014,Compensation,2024-01-09,2024-03-19,,,Not Started,Public Works Dept,70,0,0
TL-0000151,LG-000014,Legal Resolution,2024-03-24,2024-05-21,,,Not Started,R&R Authority,58,0,0
TL-0000152,LG-000014,R&R,2024-05-26,2024-07-30,,,Not Started,Legal Affairs,65,0,0
TL-0000153,LG-000014,Possession,2024-08-04,2024-09-20,,,Not Started,Legal Affairs,47,0,0
TL-0000154,LG-000014,Final Handover,2024-09-25,2024-12-25,,,Not Started,Finance Department,91,0,0
TL-0000155,LG-000015,Land Identification,2019-10-18,2020-02-03,2019-10-18,2020-02-11,Completed,R&R Authority,108,116,8
TL-0000156,LG-000015,Survey,2020-02-08,2020-04-04,2020-02-08,2020-04-17,Completed,Finance Department,56,69,13
TL-0000157,LG-000015,Documentation,2020-04-09,2020-05-31,2020-04-09,2020-06-11,Completed,Finance Department,52,63,11
TL-0000158,LG-000015,Approval,2020-06-05,2020-08-06,2020-06-05,2020-08-15,Completed,Legal Affairs,62,71,9
TL-0000159,LG-000015,Notification,2020-08-11,2020-12-09,2020-08-11,2020-12-21,Completed,Environmental Cell,120,132,12
TL-0000160,LG-000015,Objection/Hearing,2020-12-14,2021-04-07,2020-12-14,2021-04-10,Completed,Public Works Dept,114,117,3
TL-0000161,LG-000015,Compensation,2021-04-12,2021-07-08,2021-04-12,2021-07-13,Completed,Land Records Cell,87,92,5
TL-0000162,LG-000015,Legal Resolution,2021-07-13,2021-09-08,2021-07-13,2021-09-20,Completed,Legal Affairs,57,69,12
TL-0000163,LG-000015,R&R,2021-09-13,2021-12-22,2021-09-13,2021-12-23,Completed,Environmental Cell,100,101,1
TL-0000164,LG-000015,Possession,2021-12-27,2022-03-16,2021-12-27,2022-03-16,Completed,Land Records Cell,79,79,0
TL-0000165,LG-000015,Final Handover,2022-03-21,2022-05-08,2022-03-21,,In Progress,R&R Authority,48,0,7
TL-0000166,LG-000016,Land Identification,2023-04-27,2023-08-24,2023-04-27,2023-08-26,Completed,Public Works Dept,119,121,2
TL-0000167,LG-000016,Survey,2023-08-29,2023-10-19,2023-08-29,2023-10-31,Completed,Land Records Cell,51,63,12
TL-0000168,LG-000016,Documentation,2023-10-24,2023-12-05,2023-10-24,2023-12-07,Completed,Finance Department,42,44,2
TL-0000169,LG-000016,Approval,2023-12-10,2024-03-19,2023-12-10,2024-03-20,Completed,Revenue Department,100,101,1
TL-0000170,LG-000016,Notification,2024-03-24,2024-06-12,2024-03-24,2024-06-14,Completed,Land Records Cell,80,82,2
TL-0000171,LG-000016,Objection/Hearing,2024-06-17,2024-08-19,2024-06-17,2024-08-23,Completed,Land Records Cell,63,67,4
TL-0000172,LG-000016,Compensation,2024-08-24,2024-12-15,2024-08-24,2024-12-27,Completed,Irrigation Department,113,125,12
TL-0000173,LG-000016,Legal Resolution,2024-12-20,2025-02-17,2024-12-20,2025-02-24,Completed,Irrigation Department,59,66,7
TL-0000174,LG-000016,R&R,2025-02-22,2025-05-19,2025-02-22,2025-05-23,Completed,Environmental Cell,86,90,4
TL-0000175,LG-000016,Possession,2025-05-24,2025-08-29,2025-05-24,,In Progress,Revenue Department,97,0,2
TL-0000176,LG-000016,Final Handover,2025-09-03,2025-10-07,,,Not Started,Legal Affairs,34,0,0
TL-0000177,LG-000017,Land Identification,2020-09-26,2020-11-07,2020-09-26,2020-11-10,Completed,Public Works Dept,42,45,3
TL-0000178,LG-000017,Survey,2020-11-12,2021-02-18,2020-11-12,2021-03-02,Completed,Public Works Dept,98,110,12
TL-0000179,LG-000017,Documentation,2021-02-23,2021-04-18,2021-02-23,2021-04-25,Completed,Environmental Cell,54,61,7
TL-0000180,LG-000017,Approval,2021-04-23,2021-08-02,2021-04-23,,In Progress,R&R Authority,101,0,8
TL-0000181,LG-000017,Notification,2021-08-07,2021-09-19,,,Not Started,Legal Affairs,43,0,0
TL-0000182,LG-000017,Objection/Hearing,2021-09-24,2022-01-18,,,Not Started,Finance Department,116,0,0
TL-0000183,LG-000017,Compensation,2022-01-23,2022-05-22,,,Not Started,R&R Authority,119,0,0
TL-0000184,LG-000017,Legal Resolution,2022-05-27,2022-07-09,,,Not Started,Environmental Cell,43,0,0
TL-0000185,LG-000017,R&R,2022-07-14,2022-09-05,,,Not Started,R&R Authority,53,0,0
TL-0000186,LG-000017,Possession,2022-09-10,2022-12-13,,,Not Started,Legal Affairs,94,0,0
TL-0000187,LG-000017,Final Handover,2022-12-18,2023-04-11,,,Not Started,Environmental Cell,114,0,0
TL-0000188,LG-000018,Land Identification,2019-10-05,2019-12-13,2019-10-05,,In Progress,Finance Department,69,0,62
TL-0000189,LG-000018,Survey,2019-12-18,2020-03-07,,,Not Started,Environmental Cell,80,0,0
TL-0000190,LG-000018,Documentation,2020-03-12,2020-04-13,,,Not Started,Legal Affairs,32,0,0
TL-0000191,LG-000018,Approval,2020-04-18,2020-08-13,,,Not Started,Legal Affairs,117,0,0
TL-0000192,LG-000018,Notification,2020-08-18,2020-11-01,,,Not Started,Irrigation Department,75,0,0
TL-0000193,LG-000018,Objection/Hearing,2020-11-06,2021-01-05,,,Not Started,Irrigation Department,60,0,0
TL-0000194,LG-000018,Compensation,2021-01-10,2021-02-16,,,Not Started,Irrigation Department,37,0,0
TL-0000195,LG-000018,Legal Resolution,2021-02-21,2021-05-11,,,Not Started,Revenue Department,79,0,0
TL-0000196,LG-000018,R&R,2021-05-16,2021-08-25,,,Not Started,Irrigation Department,101,0,0
TL-0000197,LG-000018,Possession,2021-08-30,2021-10-27,,,Not Started,Environmental Cell,58,0,0
TL-0000198,LG-000018,Final Handover,2021-11-01,2022-01-13,,,Not Started,R&R Authority,73,0,0
TL-0000199,LG-000019,Land Identification,2018-03-05,2018-07-03,2018-03-05,2018-07-12,Completed,R&R Authority,120,129,9
TL-0000200,LG-000019,Survey,2018-07-08,2018-10-23,2018-07-08,2018-11-02,Completed,Irrigation Department,107,117,10
TL-0000201,LG-000019,Documentation,2018-10-28,2019-02-02,2018-10-28,2019-02-13,Completed,Environmental Cell,97,108,11
TL-0000202,LG-000019,Approval,2019-02-07,2019-05-26,2019-02-07,,In Progress,Finance Department,108,0,9
TL-0000203,LG-000019,Notification,2019-05-31,2019-09-04,,,Not Started,Finance Department,96,0,0
TL-0000204,LG-000019,Objection/Hearing,2019-09-09,2019-12-11,,,Not Started,Environmental Cell,93,0,0
TL-0000205,LG-000019,Compensation,2019-12-16,2020-04-02,,,Not Started,Public Works Dept,108,0,0
TL-0000206,LG-000019,Legal Resolution,2020-04-07,2020-08-05,,,Not Started,Irrigation Department,120,0,0
TL-0000207,LG-000019,R&R,2020-08-10,2020-10-03,,,Not Started,Revenue Department,54,0,0
TL-0000208,LG-000019,Possession,2020-10-08,2020-11-22,,,Not Started,Revenue Department,45,0,0
TL-0000209,LG-000019,Final Handover,2020-11-27,2021-02-24,,,Not Started,Land Records Cell,89,0,0
TL-0000210,LG-000020,Land Identification,2018-05-05,2018-07-13,2018-05-05,2018-07-25,Completed,Land Records Cell,69,81,12
TL-0000211,LG-000020,Survey,2018-07-18,2018-11-01,2018-07-18,2018-11-04,Completed,R&R Authority,106,109,3
TL-0000212,LG-000020,Documentation,2018-11-06,2019-01-16,2018-11-06,2019-01-31,Completed,Revenue Department,71,86,15
TL-0000213,LG-000020,Approval,2019-01-21,2019-03-03,2019-01-21,2019-03-09,Completed,Environmental Cell,41,47,6
TL-0000214,LG-000020,Notification,2019-03-08,2019-06-20,2019-03-08,2019-06-20,Completed,Environmental Cell,104,104,0
TL-0000215,LG-000020,Objection/Hearing,2019-06-25,2019-10-17,2019-06-25,2019-10-21,Completed,Finance Department,114,118,4
TL-0000216,LG-000020,Compensation,2019-10-22,2020-01-28,2019-10-22,2020-02-06,Completed,R&R Authority,98,107,9
TL-0000217,LG-000020,Legal Resolution,2020-02-02,2020-05-20,2020-02-02,2020-06-03,Completed,Public Works Dept,108,122,14
TL-0000218,LG-000020,R&R,2020-05-25,2020-07-20,2020-05-25,2020-07-30,Completed,Irrigation Department,56,66,10
TL-0000219,LG-000020,Possession,2020-07-25,2020-11-04,2020-07-25,2020-11-13,Completed,R&R Authority,102,111,9
TL-0000220,LG-000020,Final Handover,2020-11-09,2021-01-22,2020-11-09,,In Progress,Revenue Department,74,0,1
TL-0000221,LG-000021,Land Identification,2023-06-02,2023-07-09,2023-06-02,2023-07-17,Completed,Irrigation Department,37,45,8
TL-0000222,LG-000021,Survey,2023-07-14,2023-09-04,2023-07-14,2023-09-18,Completed,Land Records Cell,52,66,14
TL-0000223,LG-000021,Documentation,2023-09-09,2023-12-10,2023-09-09,2023-12-16,Completed,R&R Authority,92,98,6
TL-0000224,LG-000021,Approval,2023-12-15,2024-02-05,2023-12-15,2024-02-20,Completed,Land Records Cell,52,67,15
TL-0000225,LG-000021,Notification,2024-02-10,2024-03-29,2024-02-10,2024-04-11,Completed,Public Works Dept,48,61,13
TL-0000226,LG-000021,Objection/Hearing,2024-04-03,2024-07-20,2024-04-03,2024-07-23,Completed,Finance Department,108,111,3
TL-0000227,LG-000021,Compensation,2024-07-25,2024-09-26,2024-07-25,2024-09-29,Completed,Revenue Department,63,66,3
TL-0000228,LG-000021,Legal Resolution,2024-10-01,2024-11-09,2024-10-01,2024-11-11,Completed,Irrigation Department,39,41,2
TL-0000229,LG-000021,R&R,2024-11-14,2025-02-09,2024-11-14,2025-02-09,Completed,Finance Department,87,87,0
TL-0000230,LG-000021,Possession,2025-02-14,2025-04-04,2025-02-14,,In Progress,Revenue Department,49,0,10
TL-0000231,LG-000021,Final Handover,2025-04-09,2025-05-13,,,Not Started,R&R Authority,34,0,0
TL-0000232,LG-000022,Land Identification,2018-04-24,2018-08-21,2018-04-24,2018-08-27,Completed,Land Records Cell,119,125,6
TL-0000233,LG-000022,Survey,2018-08-26,2018-12-13,2018-08-26,,In Progress,Revenue Department,109,0,5
TL-0000234,LG-000022,Documentation,2018-12-18,2019-03-23,,,Not Started,Legal Affairs,95,0,0
TL-0000235,LG-000022,Approval,2019-03-28,2019-05-03,,,Not Started,Land Records Cell,36,0,0
TL-0000236,LG-000022,Notification,2019-05-08,2019-07-26,,,Not Started,Legal Affairs,79,0,0
TL-0000237,LG-000022,Objection/Hearing,2019-07-31,2019-10-28,,,Not Started,Revenue Department,89,0,0
